list	genes
FLT14_all	303
FLT14_not_GC8	140
FLT9_all	913
FLT9_not_GC2	502
FLT6_all	1422
FLT6_not_GC2	650
FLT15_all	278
FLT15_not_GC1	111
FLT13_all	326
FLT13_not_GC7	74
FLT2_all	2085
FLT2_not_GC4	964
FLT5_all	1431
FLT5_not_GC11	691
FLT1_all	2137
FLT1_not_GC5	879
FLT12_not_GC6	24
FLT7_not_GC2	272
