FLT14_all,FLT14_not_GC8,FLT9_all,FLT9_not_GC2,FLT6_all,FLT6_not_GC2,FLT15_all,FLT15_not_GC1,FLT13_all,FLT13_not_GC7,FLT2_all,FLT2_not_GC4,FLT5_all,FLT5_not_GC11,FLT1_all,FLT1_not_GC5,FLT12_not_GC6,FLT7_not_GC2
Pyroxd2,Serpinb6a,Dync2i1,Alpk1,Cys1,Cage1,Osr1,,Tmprss4,,Inpp5k,Taf1a,Dgkz,AU022252,Klhl2,Ptpn9,,Hoxb1
Elovl3,Gm7694,Grk1,Guca1a,Dll1,Dph6,Bves,,Fsd2,,Lum,Dhx58,Nsmf,Uhrf1bp1,Cux1,Ddx47,,Itk
Scarna6,Rps29,Itgax,Dgke,Zfp511,Tsacc,Myoz2,,Myh8,,Polr1h,Pibf1,Samm50,Tmem242,Hsd3b2,Bmp5,,Nfatc2
Samd9l,Coq10b,BC028528,Cenpl,Mogat1,Btbd8,Hspb7,,Col17a1,,Uxt,Zfp960,Hdhd2,Snrnp70,Plrg1,Phlpp1,,Cxcl5
Ndufb4,Tpm3,Snhg3,Dzip3,Ankrd13b,Cd19,Crhr2,,Plekha4,,Emp2,Sema3d,Plin5,Mif4gd,Hltf,Msh3,,Cd276
Serpina3c,Serpina6,Rnf150,Cyp4a31,Klhdc8a,Samd5,Mylk2,,Pira12,,Snx17,Plaat3,Cldn2,Med8,Efcab14,Tet3,,Carns1
Neil2,Rtn4rl1,Sgcb,Zfp984,Rab7b,4632428C04Rik,Grin3b,,Myl3,,Zbtb26,Shq1,Fkbp4,Pcsk7,Mccc1,Gucy1a1,,Fbln7
Tiam2,Nipal1,Col5a3,Trem2,G6pc3,Clcn6,Sncg,,Pax8,,Yeats2,Frmd6,Adcy9,Galt,Ythdc1,Zc3h13,,Opcml
C6,Neb,Ms4a6b,Serpina3g,Cdnf,Capn3,Slurp1,,Plat,,Sema6a,Herc3,C77080,Cd151,Rnf139,Ahr,,Slc24a3
Nr1d1,Ndufb7,Hspa2,Snord89,Tle2,Lpin3,Kcna1,,Hhipl2,,Trim30a,Zbtb2,Naxd,Mcm3ap,Usp33,Ttc19,,Ube2c
Mup2,H2-K2,Gucy2c,Susd4,Pidd1,Trim35,Trim72,,Gm13889,,Thap11,Cdk19,Brap,Myh9,Cxxc5,Myo9a,,1700010I14Rik
Mthfr,Ndufs4,Bbs5,Adgrf1,Cntf,Fbxo36,Mlip,,Gm16008,,P4ha1,Fam174a,Arpc4,Gstk1,Ccnl2,Tcerg1,,Ren1
Tymp,,Sytl2,Gm6225,Rai2,Rab27a,Cpa3,,Anxa8,,Tmem41a,Polh,Ftsj3,Med13l,Ube2z,2010315B03Rik,,2210039B01Rik
Ltbp4,,Prkcb,Igsf6,Mcm2,Nupl2,Npy,,Pkp1,,Bcl2,Cd53,Epha2,Rpn2,Ppp2r5c,Bmpr1a,,Angptl1
Ndufa11,,Sall2,Ripor2,Cd37,Prune2,Epn3,,Gm10804,,Sde2,Tlr3,Keap1,Timm44,Zfand1,Tbccd1,,Vmn1r38
Ccnf,,Cdcp1,Fgf2,Pde8b,Spata22,ENSMUSG00000074199,,Ckm,,Mppe1,Ripk4,Nudcd3,Ski,Fbxw2,Ptk2b,,Vmn1r173
Ifi27l2a,,Ptpn22,Tlr13,Dync2i2,Fbln1,Col7a1,,Snora61,,Chic2,Bcl2l11,Eif3h,Ly6e,Ago3,Emsy,,Ubtd2
Sult2a7,,Ctse,Nat8f5,Flt3l,Zfp521,Olfr1388,,Spef1,,Nmnat3,Ccdc125,Ext2,Ppif,Slc30a4,Synrg,,L1cam
Cyp2c69,,9530026P05Rik,Brca1,P3h3,Wfdc1,Chrdl2,,Myl1,,A430033K04Rik,Efcab2,Rreb1,Psmd11,Pdpr,Atg5,,Olfr633
Gbp10,,Ube2u,H4f16,Blnk,D11Wsu47e,Serpinb2,,Apbb1,,Tmem42,Coro7,Clptm1,Mmp14,Abhd12,Taf1d,,Satb2
Rpl39,,Bloc1s4,Nr1h5,Prr5l,1700052K11Rik,Epdr1,,Ccl19,,Erh,Ttc21b,Emc10,Dgcr6,Trim12c,Zfp825,,Mab21l2
Gpat3,,Casp1,9130409I23Rik,Cx3cr1,Zfp457,Rtl8c,,Noxa1,,Actr6,Elk1,Sin3b,Clptm1l,Rsrc1,Stom,,Vmn2r89
Cyp2b9,,Bend4,Epb41l4aos,Smco4,E2f2,Eno2,,Fam83f,,Tnfsf10,Reep5,Nop53,Ankrd13a,Gm14391,Zbtb4,,Nptxr
Rnf152,,Olfr63,Matn2,Vash1,Nuak1,Nectin4,,Myh2,,Trmt2a,Prcp,Brd3,Pgghg,Phactr4,Psma5,,Rab3c
Iah1,,Lpcat2,Sec61a2,Pqlc3,Sspo,Sec14l5,,Dtx1,,AU041133,Sorl1,Gtf3c1,Ppp2r5d,Sptssa,Ints13,,Lamc2
Mup18,,Tlr8,Lipo3,Rassf2,Mrnip,Apol6,,Pknox2,,Zfp971,Alms1,Shfl,Sfxn5,Rap2a,Enpp4,,Nrip2
Sult2a1,,Epha3,Treh,Bambi,Vmn2r86,Asprv1,,Amy2a5,,Tatdn1,Gtf2f2,Tuba1b,Psmd9,Ganc,Ncald,,Dnase1
Trim34a,,Zfp697,Glmn,Gm5512,B430010I23Rik,Tmem190,,Mfap3l,,Prkg1,AW554918,Rab5c,Spata2l,Eloc,Clasp1,,2700046G09Rik
Sult1c2,,Mir17hg,Rpgr,Isyna1,Trim47,Aldh3a1,,Tsix,,Tk2,Mettl1,Pfdn1,Mrpl2,Mxi1,Supt20,,Ptpn7
Slc17a8,,Naaa,Brip1,Sufu,Npnt,ENSMUSG00000045545,,Apod,,Plcl1,Zfp952,Ninj1,Ncln,Ddhd2,Fam98a,,Pkdrej
Nox4,,Cxcr6,Gbp5,Ankrd23,9930111J21Rik1,Cspg4,,Gm10745,,Arsb,Smc2,Hectd3,Nacc1,Pam,Myadm,,Hmga2
Xist,,Etv1,Olfr986,Htra3,Kcnk10,Cma1,,Mb,,Trit1,Rcsd1,Pigq,Fgfr4,Clip1,Zfp369,,Olfr720
D630045J12Rik,,Cdkn2c,Clec12a,Cfap126,Cmklr1,Aox4,,Trim63,,Tmem144,Cav2,Dpp3,Sdc1,Pdhx,Srp9,,Fcer2a
Sult3a1,,BC065397,Ifit1bl1,Epb41l4a,Zfp11,Aoc3,,R74862,,Cyp4f17,Pitpnm1,Rps16,Txndc17,Plaa,Usp46,,Vmn1r188
Irs2,,Dbf4,Haus8,Zfp503,Tubd1,Bicdl2,,Prss50,,Arsk,Vamp1,Kdm5c,Suclg1,Mrps33,Sall1,,1500015L24Rik
Cyp2c39,,Lrit2,Adamts5,Prag1,Nxt1,Amy2b,,Stac3,,Zfp976,Mad2l1,Nup210,Vps16,Gtf2h5,Chka,,Olfr715
Cyp2c23,,Cmtm7,2610035D17Rik,Tmem44,B4galnt3,Ucp3,,Actg2,,Zfp866,Asic5,Cep170b,Dhx16,Lurap1l,Gypc,,Nfasc
Pim3,,Tspan2,Dlgap1,Gadd45b,Astn2,C1qtnf9,,Myef2l,,Vmac,Impg2,Rnf187,Daglb,Lyz2,Uevld,,Gm11696
Cep85,,Slc15a5,Rrm2,Arl2,Bmp6,Usp13,,Inka2,,Scaf4,Ralgps1,Dnmt3a,Ankrd52,Usp45,Yipf1,,Espl1
Nr0b2,,Rps23rg1,Ces4a,Plekhh2,Gas7,ENSMUSG00000044594,,Smtnl2,,Gyg,Exd1,Strn4,Tbc1d20,Fam162a,Tspan7,,Icos
Nhsl1,,Gpx6,H3c2,Plppr1,Cdc25a,Wnt7b,,Tnnt2,,Slc25a33,Spc24,Fuca1,Klhdc3,Rsf1,Gtf2e1,,Kazn
Hmgn5,,Gm5113,Glb1l,Mark1,Smarcd1,Asb14,,Snora31,,Mpzl3,Fli1,Wdr81,Odc1,Syf2,Kat6b,,Tulp1
Lgr5,,Lrfn3,Apbb1ip,Sh3kbp1,Cdin1,Casq2,,Ryr1,,Zfp426,Gfod2,Numa1,Msra,Pi4k2b,Repin1,,Tfap2a
Sec61g,,Olfr624,Cep70,H2ax,Rnf186,Speer9-ps1,,Slamf9,,Tada2a,Zfp354a,Gpx4,Abhd14b,Srrm1,Mmachc,,BC049715
Gatm,,H4c12,Mettl18,Metrnl,Taf1c,Ano5,,Mybpc1,,Amigo2,Fam219a,Eef1d,Ogdh,Pphln1,Appl2,,Cd6
Serpina12,,Apobec3,1700034P13Rik,Wnt4,Antxr1,ENSMUSG00000046748,,Wnk2,,Fbf1,Ptprm,Mdh2,Grpel1,Sdhaf2,Stard13,,6430562O15Rik
Sult2a2,,Rab6b,Lilrb4a,Pnpla3,Tiam1,Actn3,,2210010C04Rik,,Zfp39,Zfp169,Gpr182,Ppm1f,Arid4b,Gusb,,Dlgap5
H4c8,,Crppa,Fitm1,Kif20a,Fmod,Acsbg1,,Nuggc,,Fzd5,Zfp709,Dhcr7,Arhgef18,Hlcs,Rnf2,,Pcdhgb8
Mrpl14,,Akr1b10,Ms4a6c,Irag1,Sort1,ENSMUSG00000031757,,Ckmt1,,Vim,Eml5,Ubl4a,Use1,Casd1,Pole3,,Sh3gl2
Rpl27,,Derl3,Il1a,Tmod4,Col6a6,Alox15,,Celsr2,,Zfp750,Ago4,Ilk,Tacc2,Dync1i2,Brix1,,Gjd4
Rgs16,,H4c17,Gm5431,Trmt61a,Ppp3cc,Cnksr1,,Gpc3,,Fkbp14,2700049A03Rik,Rnh1,Acox3,Becn1,Cfap97,,Pax9
Hspe1,,Tmem71,Me2,Armcx6,Ankrd42,Lrrc17,,Upp1,,Setd7,Wdcp,Trp53inp2,2610005L07Rik,Tpd52l2,Dusp12,,Foxm1
Slc13a3,,1700007L15Rik,Nat8,Rbm38,Wdr19,Prr33,,Fndc5,,Ubqln2,5530601H04Rik,Tor1a,Cgnl1,Mcts1,Mettl16,,Ribc1
Dbp,,Pcdhgb2,Dusp8,Ocstamp,Notch4,Myl7,,Gm12718,,Iftap,Trdmt1,Pmm2,Sbk1,Asap1,Aga,,4930404I05Rik
Rsph3b,,Awat2,Vmn2r63,Hnf4aos,Pisd-ps1,P2rx5,,Tmem100,,Pknox1,5031425E22Rik,Idh3g,Selenbp1,Xrn2,Aggf1,,Olfr586
Hsd17b6,,Mtnr1a,Ppm1h,Spice1,Arhgap44,ENSMUSG00000057899,,B9d1,,Sntg2,Apaf1,Anp32a,Pitpnm2,Sfmbt1,Irgm1,,Kif9
Scarna2,,Rfc4,H3c13,Bcl2l12,Cd52,Rnase1,,Gsto2,,Manba,Glt8d1,Mrps5,Fxr2,Csgalnact2,Sgk3,,Pax6
Scarna10,,Olfr90,Gnpda2,Nt5c3b,Satb1,Boc,,Cela2a,,Cmtm3,Arhgdib,Rtf2,Epha1,Metap1,Pgap2,,Polq
Sfi1,,Cyp4a12a,C130083M11Rik,Icosl,Ramp1,Mapk13,,Gm7030,,Slc25a36,Ccn1,Ranbp10,Tmem176a,Wasf2,Mapkapk5,,Pcyox1l
Serpinb1a,,Nudt15,Nucb2,Zfp341,Kctd7,Csta1,,Atp2a1,,Ctns,Lbh,Spr,Micu1,Stx17,Cnot10,,Nkd2
Rarres1,,Mthfd2l,Adamts6,Lynx1,Crtap,Pvalb,,Tnnt3,,Zkscan5,Scnm1,Fis1,Ak2,Plcb1,Gpatch8,,Spag5
Usp2,,Bmf,Cyp26a1,Col13a1,Abcc1,Gm839,,Atxn7l2,,Poc5,Zfp142,Pdia5,Eif5a,Acp6,Lrrc8d,,Olfr1124
Snord15b,,Tnfaip8,H3c3,Speg,Iqcg,Kif12,,Uckl1os,,Prkra,Abcc5,F7,Ppp1r11,Dnajc7,Tbc1d5,,Vmn1r1
Syt1,,Clec2h,Trps1,Mfsd10,Telo2,Retnla,,Unc13c,,Zfp738,Cyth3,Irak1,Coa3,Sugt1,Slc5a3,,Dram1
Ifi204,,Ap1s3,Map3k8,2210417A02Rik,Klhl26,Tmem182,,Pcdhb9,,Taf7,Pcbd2,Lztr1,Tmem134,Lig3,Kat7,,4933408N05Rik
Rpl3,,Olfr344,Ugt2b37,AU021092,Itpka,Fgf7,,Erp27,,Ror1,Katnal1,S100a1,Eefsec,Map2k1,Cr1l,,Pisd-ps2
Abhd1,,Med12l,Snora15,Pirb,Fgd1,Ptrh1,,Gfap,,Prkx,Csrp1,Mapk14,Slc26a1,Mecp2,Rab3gap2,,Olfr1204
Pik3c2g,,Pdss1,Snhg5,Grid1,Plek2,Reg1,,Ppp1r3a,,Lancl2,Snx12,Phb2,Pigt,Ube2v2,Cfap20,,Chst10
Smlr1,,H2bc7,Serinc2,Hand2,Mrgbp,Slc4a3,,Nkain4,,Zfp791,2410006H16Rik,Ssr2,Dhx30,Lrch3,Khdrbs3,,Ccnb2
Rps18,,Hspb1,Gvin1,Slc22a29,Wdsub1,Card14,,Mir1983,,Fcgr3,Niban1,Fkbp8,Pi4k2a,Mtmr2,Pdik1l,,Ankef1
Ablim3,,Snora7a,Tuba8,Snai2,Tatdn3,Mmp3,,Klf5,,Znrf1,Nsmce2,Egln2,Ngef,Dnaaf9,Cibar1,,Vmn1r4
Hba-a1,,Disp2,Rexo5,Wnt2b,Cpsf4l,Lrrc15,,Pgam2,,Foxa1,Utp25,Rnf123,Cdc42ep4,Uspl1,Ncstn,,Cfap20dc
Fmo3,,A530072M11Rik,Nup43,B3gntl1,Ccdc149,Il1r2,,Cyp4f39,,Agtpbp1,Npr3,Hmbs,Ssu72,Them4,Oxnad1,,4930455J16Rik
Rpph1,,Ctla2b,Sp110,Gm16793,Zfp213,Tyro3,,Ppfia4,,Itfg2,Cryl1,Mtfr1l,Slc6a13,Desi2,Pofut1,,Olfr975
Mif,,B4galt6,H2bc12,Maff,Syde1,Car15,,Olfml2b,,Cyp2j9,Ccp110,Syvn1,Chmp4b,Trak2,Bms1,,Mamld1
Rps7,,Bag2,Arl2bp,Vmn1r213,Hps1,Try4,,Recql4,,Plk2,Ropn1l,Mul1,Nectin2,Cd38,Zfp397,,Sh2d2a
Prlr,,Tnfrsf11a,Klf2,Cnrip1,Cntfr,Ccn3,,Cyp21a1,,Miga1,Tmem67,Asgr2,Dcaf5,Calcrl,Malsu1,,C030037D09Rik
Slc22a7,,Siglece,Slfn2,Tmem120b,Pilrb2,Zfp185,,Pacsin1,,Ncbp2,Setmar,Pop5,Eif4a3,Camk2n1,Lats2,,Ttll13
Cldn3,,Olfr374,Snora16a,Sergef,Coro1a,Acsl6,,Olfr1425,,Hmg20a,Gmfg,Ephx1,Calm3,Fbxo22,Vps26b,,Rad51c
Slc10a2,,Hspbap1,Sult2a5,Ift43,Hmgb2,Cercam,,Neurl2,,Pdk4,Ccpg1os,0610040J01Rik,Dmac2,Clns1a,Rnf216,,Cd2
Rplp0,,Osbpl3,Ssbp2,Hmces,Gm20605,Mup6,,Dab1,,Arhgef6,Sned1,Ints3,Sec16a,Kcnk5,Zdhhc3,,Gm3143
Rplp2,,Rps6ka5,Zfp383,Rd3,Zfp628,Sdcbp2,,Mmp23,,Zfp938,Pramel12,Grhpr,Clcn2,Polr3f,Trim24,,Mpo
Cyp3a44,,Ccdc122,Zfp607a,Msh5,Ppic,Endou,,Sfn,,Mfap1b,Tyrobp,Acsf2,Gpat4,Marchf2,Pnn,,Nsl1
Cdh1,,Vmn1r13,Oas2,Cyp2g1,H4c2,Wt1,,Akap6,,Cep152,Zfp955b,Map2k3,Polr1a,Atp9b,Rnf43,,4930563E18Rik
Acot3,,Slc18a2,Gm6710,F13a1,Zfp862-ps,A530016L24Rik,,R3hdml,,Gm14295,Zfp787,Elob,Babam1,Cask,Ndufab1,,Cd3e
Tut4,,Srpx2,Ranbp3l,Tctn2,Qtrt1,Sync,,Ripply1,,Commd10,Tbxas1,Pxmp2,Slc25a39,Exoc6,Mtf1,,Vmn1r84
Gbp6,,Cd86,Sla,Klk1b4,Ntm,Sgca,,Vmn1r78,,Katnbl1,Inip,Pmvk,Smpd1,Zfp946,Tle1,,4930579G24Rik
Cyp3a13,,Rad51b,H1f5,Spi1,Mllt11,Egflam,,Mmp7,,Fbxo4,Ppih,Txnrd2,Crcp,Uba3,Xrcc6,,Gm2762
Nnmt,,Jph1,Pigw,Dpf3,Syt9,Dsg1a,,Cdc20,,Col5a2,Cep44,Pmpca,Qars,Carnmt1,Ddx19b,,Rwdd2a
Lyve1,,Sft2d3,Olfr539,Olfr646,Vmn1r208,ENSMUSG00000056632,,Igfbp6,,Med17,Folr2,Abhd4,Tkfc,Armc8,Dpysl2,,Olfr1178
Camk1d,,Thpo,4930412C18Rik,Acap3,Rassf1,Diras2,,Prom2,,Zfp267,Pot1a,D2hgdh,Lims2,Tmcc1,Pdzd11,,Olfr1152
Fkbp11,,Gm16291,Grk4,Pmm1,Pld4,ENSMUSG00000042306,,Syngr1,,Camsap3,Abcc4,Tnpo2,Rnaset2b,Prkci,Tmtc3,,Slc51a
Gm4952,,Rbl1,Olfr648,Gtpbp6,Obox3,Col8a2,,Tnfrsf18,,Trim7,Snx16,Xpnpep1,Tpi1,Ptpmt1,Traf6,,Olfr1383
Lrtm1,,Clec9a,Des,Aplf,Prkcq,Sox8,,4732491K20Rik,,Pdss2,Tnfrsf11b,Ssrp1,C8b,Ubxn2a,Fkbp15,,Dnah11
Rpl10,,Cldn34c1,Terc,2810021J22Rik,Vaultrc5,Trim16,,H3c1,,L3mbtl3,Cep57l1,Rps26,Sptan1,Mfsd4a,Crebrf,,Lrrc1
Arntl,,Prl8a1,Ppp1r1b,Bmp4,Dusp7,Aldh3b2,,Fhl3,,Myd88,Agbl3,Mink1,Agrn,Gas2,Whamm,,Olfr596
Myh11,,Nat8f7,Dubr,Pars2,Atp8b2,Zfp385c,,Pdpn,,Lpcat1,Mcam,Dhx32,Plvap,Mtr,Rint1,,Macroh2a2
Slc22a27,,6430550D23Rik,Ccr2,Ppard,4931428F04Rik,Cpa2,,H2bc9,,Serf1,Icam1,Csnk1g2,Cox15,Sltm,Zmynd8,,Pask
Pctp,,Pygm,Gng2,Pde5a,Lgals3,Klhl40,,Mirt2,,Map2k6,Ncf2,Prpf6,Tns2,Zfp36l2,Tafazzin,,Asb18
Synj2,,A430035B10Rik,Gas2l3,Ndn,Fam118a,4930579F01Rik,,Xirp2,,Alkbh1,Spats2,Otub1,Rorc,Pak1ip1,Rfx7,,Vmn1r184
Ces1b,,2810001G20Rik,Synm,Ddit3,Haghl,Pcdhb11,,Sfrp1,,Tmem267,Morrbid,Chmp7,Eps8l2,Nup155,Cbl,,Clec2e
Dio1,,Syne4,St8sia4,Nos1ap,Cenpa,Atp6v1c2,,Nos1,,Dusp22,Prkch,Ube2v1,Poldip3,Rnf185,Eny2,,Olfr1109
Sult3a2,,Ifi209,Pitx3,4930520P13Rik,Ccnj,Rnf223,,Tmod2,,Tsr2,Gata6,Taldo1,Habp2,Adap2,Ddx19a,,Ikzf4
Hyi,,Snhg15,B3gnt3,1110038F14Rik,Accs,Aif1l,,Olfr1484,,Il18bp,Samd4,Aco2,Mroh1,Anxa4,Parp4,,1700030C10Rik
C4a,,Olfr161,Eif2s3y,Prom1,Rusc1,Neurl1a,,Nrap,,Alkbh3,Zfp101,Afmid,Arhgef19,Srpk1,Casp7,,Haspin
Snora23,,Pdgfd,Cep128,Nhsl2,Shkbp1,Smpx,,Lrrc24,,Gemin5,Ctnnbip1,Sema4a,Itsn1,Snx14,Snrnp48,,Ttc12
Cdkn1a,,Zfp708,H4c11,Klhdc8b,Smyd4,Cilp,,Abca12,,E130311K13Rik,Fam76b,Trio,Nfkb1,Pcsk9,Abhd3,,Acsm2
Apoa4,,Alpk1,Snora78,Slc37a1,Septin1,Alpk2,,Pdxp,,Eral1,Zfp366,Timm17b,Lrp10,Zfp292,Tmem50a,,Cdca8
Dpm3,,Cd300e,Zfp85,Rasa4,Enoph1,Klk14,,Cfd,,Tdg,Rad52,Acnat2,Actn1,Fam13b,Ecd,,Slc4a1
Ahcy,,Pfn2,Mnd1,Prox2,Hck,Plch2,,Adarb2,,Bace2,Galc,Agpat2,Rpl36al,Itga9,Patl1,,Mboat1
Timm8b,,Dsel,5430405H02Rik,St6galnac4,Fam78a,Large2,,Pnp2,,Asb8,Ing2,Nfs1,Abcd1,Hhex,Tent2,,Cfap74
Cyp2a22,,Snora70,Slc38a1,Ackr1,Pianp,Snai3,,Itgbl1,,Hapln4,Dntt,Mtch1,Ifitm3,Wrn,Susd6,,4930579G18Rik
Elovl6,,Mapkapk3,Gbp8,Ablim2,Gipc3,Art1,,Wdr54,,Camta1,Tnfrsf21,Dpp9,Coq5,Prps1l3,Slc16a5,,Kcnk4
Upp2,,Guca1a,Hcrtr2,Abhd8,5033406O09Rik,Kcna7,,Ncam1,,Exoc8,Zfp949,Kdelr1,Tom1l2,Snx2,Ccnl1,,Procr
Rpl35,,Dgke,Spc25,AI463170,Tmsb15l,Asb5,,Sln,,Eola1,Ggta1,Fam32a,B4galt5,Dip2b,Mrps15,,Olfr2
Slc22a26,,Gm5150,Dmac2l,Il34,Agbl5,Cd209b,,Myom2,,Vipas39,Jade3,Slc25a23,Erp29,Ccdc58,Hivep1,,Mcmdc2
Slco1a1,,Cenpl,Lair1,Cd63,Ncapd2,Nipal4,,Tppp3,,Sccpdh,Me3,Gck,Tango2,Arnt,Thoc2l,,Pcdhga3
D630039A03Rik,,Itprip,Olfr1385,Akr1b7,Prim1,Scn4a,,Dync2li1,,Clec1b,Zfp932,Ndufv3,Ube2m,Baiap2l1,Zbtb18,,9530053A07Rik
Ccnd1,,Mill2,Vmn2r114,Acrbp,Rap1gap,1700084E18Rik,,Tmem107,,Tsen15,Uggt2,H2-T23,Fkbp5,Ero1b,Asxl1,,Grm8
Gde1,,Spaca6,Marchf1,Spn,Bspry,Rspo1,,Pnliprp1,,Polr3k,Clec1a,Arap1,1810055G02Rik,Sfr1,Ints4,,A630010A05Rik
Gm10319,,Ldhb,1810014B01Rik,Azin2,Hapln1,Pnliprp2,,Ankrd2,,Armcx3,Banp,Bcl2l1,Akt1,Gtf2a2,Nek1,,Kif26b
Casp6,,Dzip3,Senp8,Ndufa4l2,Pdgfc,Slc29a2,,Ccne1,,Eif1b,Lyar,Il4ra,Stub1,Ormdl1,Ebag9,,Spta1
Med21,,Cyp4a31,Osgin2,Cables1,Lhx6,Aloxe3,,Dtna,,Fam222b,1700028E10Rik,Psmd7,H1f4,Ccdc117,Dennd10,,Unc93a
Gstp3,,Zfp984,H3c15,Oas1b,Rabl2,Plpp7,,Kctd1,,Hccs,Plac8,Cox7a2l,Pttg1ip,Wwtr1,Ptcd3,,Ccdc60
Keg1,,Trem2,Ncam2,Nlgn2,Armc9,Itga11,,Gpr12,,Frmd4a,Cyria,Dnajb2,Flnb,Stam2,Pfdn2,,Vmn2r7
Rab11fip4,,Serpina3g,Ap1s2,Ufsp1,Zfp747,Hspb2,,Actn2,,Cep162,Atad2,Mocs1,Aqp11,Dennd1b,Mis12,,Nnat
Oasl1,,Snord89,Taf4b,Dnaaf2,Col4a4,Try5,,Plin1,,Cacfd1,Tagln,Eng,Slc25a20,Farsb,Patj,,Olfr1246
Ankrd55,,Susd4,Scara5,Podn,Obsl1,Cldn15,,Il3ra,,Bicd1,Top3a,Eif3k,Pomp,Ube2q2,Rtf1,,Hs3st3a1
Rpl22l1,,Adgrf1,Napb,Rtl8b,Dbndd2,Myoc,,Sgcg,,Xpa,Eri2,Ndufs7,Ehmt2,Usp6nl,Sntb2,,Gm16982
Cd163,,Cd72,Cd300ld,Il2rb,Rab13,Tgm3,,Plcd1,,Rab29,Zfp760,Chtf8,Spen,Rsu1,Ccdc82,,AU019990
Mgst3,,Gm6225,H3c10,A730063M14Rik,Sema6b,Sh3rf2,,Rbm24,,Zfp870,Dock2,Bcr,Mrps18b,Senp2,Frrs1,,Psg23
Cyp2r1,,Igsf6,0610040B10Rik,Smox,Plagl2,Sypl2,,Map7d2,,Ackr4,Hacd1,Psmb2,Mlx,Cdc5l,Mrps2,,Clmp
Hamp2,,Ripor2,Skp2,Nova1,Tmem45b,Spata3,,Ubd,,Taf1a,Plekha2,Irs1,Atg2a,Nt5c2,Xpo5,,Fam184a
Prrg1,,Fgf2,Vmn1r218,Lrrn4,Dennd3,Ctrb1,,Upk1b,,Gprasp1,Urb1,Oaf,Lima1,Lcorl,Tada2b,,Mrgpre
Cyp3a41a,,Tlr13,Omd,A630072M18Rik,Kcnc3,Clec3b,,Acta1,,Dhx58,Med30,Trim26,Adra1b,Tnfaip1,Zfp131,,Cndp1
Sel1l3,,Nat8f5,Ccl27a,Sox12,Ppp1r18,Map3k9,,4933417D19Rik,,Pibf1,Jun,Prdx5,Esyt1,Emc6,Ube4b,,9430018G01Rik
Gadd45g,,Eno3,Adh6-ps1,Selenoh,Stx1b,Tacr2,,Pcdh20,,Clcn5,Klf11,Nudt9,Tnfaip8l1,Tgs1,Gnl3l,,Pax5
F830016B08Rik,,Brca1,Ifi213,Papln,Nipa1,Fgfbp1,,Gpr84,,Zfp960,Recql,Tm2d2,Eif2b5,Cpped1,Rai14,,Spred3
Rpl26,,H4f16,Srl,Zfp653,Zc3h6,Mlf1,,Cd79a,,Epn2,Ggct,Cox6a1,B3gat3,Mfsd14a,Spopl,,Olfr1309
Tenm3,,Nr1h5,E130008D07Rik,Kif3c,Zc2hc1c,Dusp13,,Sema3b,,Sema3d,Rnd2,Zmiz1,Cpn1,Elavl1,Prkce,,Vmn1r12
Tsku,,Cytip,Trib2,Micall2,Ntpcr,Slc35e4,,Cidea,,Plaat3,Adgrv1,Rpn1,Pex11g,Pdcl,Impact,,Sectm1a
Erbb4,,Platr4,Pbx3,Crocc,Stxbp1,Crip3,,6030498E09Rik,,Hexdc,Taf6l,Sirt3,Tspan9,Bag4,Kdm3a,,Nr4a2
Eif4ebp3,,9130409I23Rik,Fhad1,Ccdc189,Ptgds,Adig,,Flnc,,Laptm4b,Gt(ROSA)26Sor,Txndc5,H1f0,8030462N17Rik,Diablo,,Mdga1
Serpinb6a,,Rgs19,Mbip,Hsf4,Eln,Pcdh19,,Cand2,,Shq1,Nfkbiz,Sars,Abhd16a,Snx1,Pomt2,,Kcnj15
Ces2c,,Epb41l4aos,Msantd2,Cpe,Srms,Shisa4,,Asf1b,,Frmd6,Gimap8,Atg4b,Ccdc107,Fbxl17,Trim37,,
Gm7694,,Matn2,Cxcl14,Pcsk4,Itpr3,Spint1,,Chrnb1,,Herc3,Siah1a,Pdcd11,Higd2a,Ktn1,6030458C11Rik,,
Gstm3,,Sec61a2,C1s2,Thsd1,Pigl,Snora52,,Fmn2,,Ift88,Nagk,Brk1,Anxa11,Trim56,Hdac2,,
Coa6,,Lipo3,Zfp788,Loxl3,Tmem216,ENSMUSG00000059956,,Dmbt1,,Cradd,Nemp1,Soat2,Pkn1,Ikbkb,Bmp2k,,
Plxnb1,,Treh,Ect2,Tmem17,Ncf1,Prr18,,Cxcl13,,Cbll1,Chchd4,Cyp4f13,Slc48a1,Usp16,Ctr9,,
Rps29,,Glmn,Olig1,Moap1,Il1rn,Olfr16,,Chil1,,Zbtb2,Rbak,Mst1,Irf3,Smchd1,Nop58,,
Serpina1d,,Rpgr,Olfr1336,Lzts2,Slc13a2,,,Ldb3,,Nup188,Srd5a3,Csf1r,Psmb5,Capn7,Nr3c2,,
Coq10b,,Brip1,Sult2a3,Itga2b,Stn1,,,Rab26os,,Yaf2,Bzw2,Imp4,Tmem208,Nceh1,Kansl1l,,
Hexb,,Ppp1r3e,Enah,Amigo3,Rpa2,,,Kif1a,,Cdk19,Erc2,Trak1,Mien1,Snx9,G3bp1,,
Apcs,,Gbp5,Mcm6,Tnfrsf12a,Zfp703,,,Myh4,,Hmgb3,Grem2,Pja1,Wrnip1,Knop1,Ifngr1,,
