FLT14_all,FLT14_not_GC8,FLT9_all,FLT9_not_GC2,FLT6_all,FLT6_not_GC2,FLT15_all,FLT15_not_GC1,FLT13_all,FLT13_not_GC7,FLT2_all,FLT2_not_GC4,FLT5_all,FLT5_not_GC11,FLT1_all,FLT1_not_GC5,FLT12_not_GC6,FLT7_not_GC2
Mvd,Ntrk2,Snord118,Snora44,1190005I06Rik,Pold1,Myh7b,Slc30a3,H2ac21,ENSMUSG00000044041,Zfp72,Armcx2,Dctn2,Fads6,Rffl,Dis3l,,Gm5111
Rps2,Hddc3,Snora17,Olfr1034,Tigd5,Mylk3,Psmc3ip,Methig1,Klhl31,Nol3,Xk,Nepro,Ivd,Chchd10,Naa35,Dclre1a,,Sftpd
Extl1,Hspg2,Slc39a6,Cep83os,Cacna1d,9930104L06Rik,Vwa1,Kcnj14,Plekhn1,Myl3,Olfm3,Dut,Gstp1,Kdm4a,Lrat,Isca2,,C430049B03Rik
Rpl30,Morf4l1-ps1,Klf1,Abcg3,Zbtb12,Lrp2,Slc35f2,2010106E10Rik,Slco1a6,Plat,Cdk7,Rttn,Acp5,Actg1,Impa1,Arhgef7,,Tril
Kpna2,Rpl29,Nat8f6,C3ar1,Ctbp2,Cyren,Clba1,Gzmm,Mylpf,Gm13889,Snip1,Zfp119b,Atp6v0b,Idnk,Tbc1d23,Ttc33,,Olfr1221
Hao2,Srp54b,Trim80,Parp8,Srrm4os,Sh3bp1,Sfrp5,Wnt9a,Ctrl,Pkp1,Zfp637,Emcn,Anxa6,Ecsit,Cog5,Adh7,,4921507P07Rik
Cyp2c38,Sirpa,Ddx3y,Prr12,Ercc1,Lmo2,Smtnl1,Spata33,Nalf2,Myl1,Ripk2,Prmt6,Cops7a,Pepd,Dnajb4,Rnf145,,Olfr102
Rnf125,Prg4,Gm11127,Donson,Cd1d2,Cnr2,Cpz,Hebp2,Snhg9,Myh2,Rwdd2b,H2-Ab1,Abcf1,Tmem234,Cog3,Ppil4,,Ak7
Thrsp,Stap1,Vmn2r60,Cxcl10,Capn5,Cd248,Slc6a4,Mpz,Cdc42ep5,Amy2a5,Riox2,Fastkd3,Myo1c,Cib1,Denr,Ifngr2,,Gm16861
Nr1d2,Hopx,Fam241a,Xlr3a,Teddm2,Fxyd5,Rhox5,Gm16063,Fbxl22,Mfap3l,Arrdc2,Adcy7,Tnrc18,Rela,Eps15l1,Depdc5,,Gabra2
Fmc1,Vldlr,Zfp40,Trim30d,Adcy3,Mansc1,Lgals2,Klk8,Nckap5l,Apod,Aamdc,Fzd6,Cog4,Fgfrl1,Oxsr1,Plbd1,,Pcdh15
Snord22,Churc1,C920021L13Rik,Slfn8,Myc,Cyb5r1,Pof1b,Actc1,Myh7,Mb,Gin1,Zfp560,Flot2,Ttc39c,Aak1,Chst15,,Olfr1157
Asap2,Fmo4,C1ql3,Gm15446,Kcnj16,Knstrn,Trdn,Sectm1b,Lgi2,Trim63,Abracl,Rpa3,Hba-a2,Bag1,Cdc26,Fkbp1a,,Vmn1r193
Gsta4,Lsm7,Vmn1r229,4833418N02Rik,Fam216a,4933431E20Rik,Cabp2,Kcnq4,Itgae,Stac3,Ednra,Snapc1,Tfr2,Cdc34,Mrpl3,Zmym4,,Pcdhga7
