flt_cluster	eligible_genes	significant_genes	significant_fraction	fisher_odds_ratio	fisher_p_value	mean_meta_log2fc_sig	mean_abs_meta_log2fc_sig	mean_latent_shift_sig	top_significant_genes	fisher_fdr_bh
0	1213	13	0.010717230008244023	6.2595	2.884510365811979e-06	0.5426091699159339	1.5345443761632491	0.6561400305009328	Tg,Barx2,Shox2,4931429L15Rik,Cdk3,Dio2,1700027J07Rik,Il6,Ebf2,Zdbf2	4.615216585299166e-05
13	696	6	0.008620689655172414	4.063858695652174	0.006132822372652621	1.9144558436997687	1.9144558436997687	4.1426725415106995	Tnnt3,Xirp2,Acta1,Myh4,Myh1,Adcy1	0.032708385987480645
15	216	5	0.023148148148148147	11.082866580496912	0.00016401632566496663	-0.20841800770715802	1.303380551471694	1.5940392709135716	Trpm5,Pitx3,Prtn3,Olfr827,Cyp2c53-ps	0.001312130605319733
7	1272	4	0.0031446540880503146	1.3339209500835034	0.37181059016678863	0.5366689343222224	1.3962136471294175	4.5989130829602844	Mup15,Treh,Trim80,Tuba8	1.0
11	708	3	0.00423728813559322	1.8164133738601824	0.24494803328391918	2.0384039354900465	2.0384039354900465	2.0198396580928972	Myot,Trdn,Phospho1	0.9797921331356767
4	1378	2	0.001451378809869376	0.5761062661498708	0.8588526748330094	1.17316096831131	1.17316096831131	0.9546087297743759	Ckmt1,Mab21l4	1.0
8	1002	2	0.001996007984031936	0.8136111111111111	0.7079940799997084	0.009002224170890027	1.13539443217162	2.5633464552160348	Cyp4a14,Mup17	1.0
10	772	2	0.0025906735751295338	1.0732323232323233	0.5644549997908042	1.10670099644579	1.10670099644579	2.7227921212008956	Sult1e1,Cdkn1a	1.0
14	636	1	0.0015723270440251573	0.6388593317727176	0.7930023584251262	1.41389148390648	1.41389148390648	3.2272897497046347	Apoa4	1.0
1	9	0	0.0	0.0	1.0	NA	NA	NA		1.0
2	2011	0	0.0	0.0	1.0	NA	NA	NA		1.0
3	1490	0	0.0	0.0	1.0	NA	NA	NA		1.0
5	1400	0	0.0	0.0	1.0	NA	NA	NA		1.0
6	1347	0	0.0	0.0	1.0	NA	NA	NA		1.0
9	834	0	0.0	0.0	1.0	NA	NA	NA		1.0
12	699	0	0.0	0.0	1.0	NA	NA	NA		1.0
