gc_cluster	eligible_genes	significant_genes	significant_fraction	fisher_odds_ratio	fisher_p_value	mean_meta_log2fc_sig	mean_abs_meta_log2fc_sig	mean_latent_shift_sig	top_significant_genes	fisher_fdr_bh
1	1941	13	0.006697578567748583	3.699605809128631	0.0004133801798854144	0.9326895732820747	1.514150557581633	1.1192802974219545	Tg,Barx2,Shox2,Trpm5,Pitx3,Ebf2,Ckmt1,Prtn3,Mab21l4,Zdbf2	0.003100351349140608
12	744	8	0.010752688172043012	5.401811594202899	0.00034020307659437697	2.0736351643326287	2.0736351643326287	3.6616042284820867	Myot,Tnnt3,Xirp2,Acta1,Myh4,Trdn,Myh1,Adcy1	0.003100351349140608
0	804	7	0.008706467661691543	4.206743028291577	0.002840556486994585	-0.538116192239	1.3040491907917284	0.5512271920204757	4931429L15Rik,Cdk3,Dio2,1700027J07Rik,Il6,Gjb6,Cxcl2	0.014202782434972925
6	1163	4	0.0034393809114359416	1.4704359742171242	0.3102774186244259	0.5366689343222224	1.3962136471294175	4.5989130829602844	Mup15,Treh,Trim80,Tuba8	1.0
5	1426	2	0.001402524544179523	0.5548142946317104	0.8720562303792118	1.10670099644579	1.10670099644579	2.7227921212008956	Sult1e1,Cdkn1a	1.0
13	666	2	0.003003003003003003	1.2534303882195448	0.4839966011713568	0.009002224170890027	1.13539443217162	2.5633464552160348	Cyp4a14,Mup17	1.0
8	894	1	0.0011185682326621924	0.44647559093247785	0.8928015335614496	1.01286555400772	1.01286555400772	1.6227203954862	Phospho1	1.0
9	828	1	0.0012077294685990338	0.4842641916402497	0.8730108422728123	1.41389148390648	1.41389148390648	3.2272897497046347	Apoa4	1.0
2	1627	0	0.0	0.0	1.0	NA	NA	NA		1.0
3	1602	0	0.0	0.0	1.0	NA	NA	NA		1.0
4	1536	0	0.0	0.0	1.0	NA	NA	NA		1.0
7	907	0	0.0	0.0	1.0	NA	NA	NA		1.0
10	790	0	0.0	0.0	1.0	NA	NA	NA		1.0
11	753	0	0.0	0.0	1.0	NA	NA	NA		1.0
14	2	0	0.0	0.0	1.0	NA	NA	NA		1.0
