h5_accession	condition_label	ercc_biological_key	profile	ercc_status	duplicate_group	retained	decision
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	not_annotated	False	True	kept_unannotated
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	not_annotated	False	True	kept_unannotated
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	not_annotated	False	True	kept_unannotated
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	not_annotated	False	True	kept_unannotated
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	not_annotated	False	True	kept_unannotated
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	not_annotated	False	True	kept_unannotated
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	not_annotated	False	True	kept_unannotated
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	not_annotated	False	True	kept_unannotated
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	not_annotated	False	True	kept_unannotated
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	not_annotated	False	True	kept_unannotated
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	not_annotated	False	True	kept_unannotated
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	not_annotated	False	True	kept_unannotated
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	not_annotated	False	True	kept_unannotated
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	Mmus_C57-6T_LVR_FLT_LAR_Rep5_F7	not_annotated	False	True	kept_unannotated
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	Mmus_C57-6T_LVR_FLT_LAR_Rep6_F10	not_annotated	False	True	kept_unannotated
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	Mmus_C57-6T_LVR_FLT_LAR_Rep7_F8	not_annotated	False	True	kept_unannotated
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	Mmus_C57-6T_LVR_FLT_LAR_Rep8_F9	not_annotated	False	True	kept_unannotated
OSD-245	FLT	Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	Mmus_C57-6T_LVR_FLT_LAR_Rep9_F4	not_annotated	False	True	kept_unannotated
OSD-245	GC	Mmus_C57-6T_LVR_GC_ISS-T_Rep10_G6	Mmus_C57-6T_LVR_GC_ISS-T_Rep10_G6	not_annotated	False	True	kept_unannotated
OSD-245	GC	Mmus_C57-6T_LVR_GC_ISS-T_Rep1_G4	Mmus_C57-6T_LVR_GC_ISS-T_Rep1_G4	not_annotated	False	True	kept_unannotated
OSD-245	GC	Mmus_C57-6T_LVR_GC_ISS-T_Rep2_G9	Mmus_C57-6T_LVR_GC_ISS-T_Rep2_G9	not_annotated	False	True	kept_unannotated
OSD-245	GC	Mmus_C57-6T_LVR_GC_ISS-T_Rep3_G10	Mmus_C57-6T_LVR_GC_ISS-T_Rep3_G10	not_annotated	False	True	kept_unannotated
OSD-245	GC	Mmus_C57-6T_LVR_GC_ISS-T_Rep4_G7	Mmus_C57-6T_LVR_GC_ISS-T_Rep4_G7	not_annotated	False	True	kept_unannotated
OSD-245	GC	Mmus_C57-6T_LVR_GC_ISS-T_Rep5_G8	Mmus_C57-6T_LVR_GC_ISS-T_Rep5_G8	not_annotated	False	True	kept_unannotated
OSD-245	GC	Mmus_C57-6T_LVR_GC_ISS-T_Rep6_G1	Mmus_C57-6T_LVR_GC_ISS-T_Rep6_G1	not_annotated	False	True	kept_unannotated
OSD-245	GC	Mmus_C57-6T_LVR_GC_ISS-T_Rep7_G2	Mmus_C57-6T_LVR_GC_ISS-T_Rep7_G2	not_annotated	False	True	kept_unannotated
OSD-245	GC	Mmus_C57-6T_LVR_GC_ISS-T_Rep8_G3	Mmus_C57-6T_LVR_GC_ISS-T_Rep8_G3	not_annotated	False	True	kept_unannotated
OSD-245	GC	Mmus_C57-6T_LVR_GC_ISS-T_Rep9_G5	Mmus_C57-6T_LVR_GC_ISS-T_Rep9_G5	not_annotated	False	True	kept_unannotated
OSD-245	GC	Mmus_C57-6T_LVR_GC_LAR_Rep1_G6	Mmus_C57-6T_LVR_GC_LAR_Rep1_G6	not_annotated	False	True	kept_unannotated
OSD-245	GC	Mmus_C57-6T_LVR_GC_LAR_Rep2_G4	Mmus_C57-6T_LVR_GC_LAR_Rep2_G4	not_annotated	False	True	kept_unannotated
OSD-245	GC	Mmus_C57-6T_LVR_GC_LAR_Rep3_G10	Mmus_C57-6T_LVR_GC_LAR_Rep3_G10	not_annotated	False	True	kept_unannotated
OSD-245	GC	Mmus_C57-6T_LVR_GC_LAR_Rep4_G5	Mmus_C57-6T_LVR_GC_LAR_Rep4_G5	not_annotated	False	True	kept_unannotated
OSD-245	GC	Mmus_C57-6T_LVR_GC_LAR_Rep5_G7	Mmus_C57-6T_LVR_GC_LAR_Rep5_G7	not_annotated	False	True	kept_unannotated
