module	n_genes	flt_n	gc_n	flt_mean	gc_mean	flt_minus_gc_mean	flt_median	gc_median	welch_p	mannwhitney_p	accession_adjusted_flt_minus_gc	accession_adjusted_p
FLT_cluster_14_liver_secreted	303	73	71	5.006385672582339	5.045306675870654	-0.038921003288314715	4.940861225128174	5.010484218597412	0.302933520619298	0.15603051624184353	-0.025400661189844645	0.40925096300341157
FLT_cluster_3_mixed_stress	1968	73	71	0.14024611388983793	0.1423576228635412	-0.002111508973703269	0.14033882319927216	0.13653923571109772	0.8047573325418196	0.9299481412371071	0.0010698576479970228	0.8728011496265478
GC_cluster_1_DE_enriched	2185	73	71	0.1526463644145286	0.14406935482377736	0.00857700959075125	0.15116971731185913	0.13517993688583374	0.3625014760064259	0.5356749412303887	0.01168313008422575	0.14177317639246176
FLT3_GC1_overlap	1874	73	71	0.1363775153478531	0.13781313094454753	-0.0014356155966944173	0.1365307867527008	0.12814107537269592	0.8635139600470384	0.9968117312441581	0.0016548658374275211	0.8026033699793986
