location	cluster	n_genes	variable	n_groups	eta_squared	p_value	fdr_bh	strong_batch_driver
FLT	3	1968	h5_accession	6	0.5649595728021343	5.2600415690028605e-11	2.1040166276011442e-10	True
FLT	3	1968	mission	6	0.5649595728021343	5.2600415690028605e-11	2.1040166276011442e-10	True
FLT	3	1968	library_selection	2	0.1217235115317007	0.0024852829715015	0.004970565943003	False
FLT	3	1968	library_layout	1				False
FLT	3	1968	sex	2	0.3868693864653109	4.267306691237932e-09	2.2758969019935637e-08	True
FLT	3	1968	strain	5	0.5481734705231031	3.6486628215150065e-11	1.43352236991844e-10	True
FLT	3	1968	sequencing_instrument	2	0.0001496639040066	0.918181480471683	0.9532575907170138	False
FLT	14	303	h5_accession	6	0.2755348037937244	0.0005095909772762	0.0006271888951091	True
FLT	14	303	mission	6	0.2755348037937244	0.0005095909772762	0.0006271888951091	True
FLT	14	303	library_selection	2	0.0856017361290053	0.0120094643667699	0.0174683118062108	False
FLT	14	303	library_layout	1				False
FLT	14	303	sex	2	0.2183444584733422	3.076417551914658e-05	7.031811547233504e-05	False
FLT	14	303	strain	5	0.2656318982450776	0.0002769711661179	0.0003692948881572	True
FLT	14	303	sequencing_instrument	2	0.025973046300187	0.1731595610312897	0.9532575907170138	False
GC	1	2185	h5_accession	6	0.3135113512459552	0.0001398051114294	0.0001613135901109	True
GC	1	2185	mission	6	0.3135113512459552	0.0001398051114294	0.0001613135901109	True
GC	1	2185	library_selection	2	0.040404548107742	0.0927881067821132	0.0994158286951213	False
GC	1	2185	library_layout	1				False
GC	1	2185	sex	2	0.2235707555460736	3.130262935491046e-05	0.0001173848600809	False
GC	1	2185	strain	5	0.2569519241961508	0.000525218029029	0.0006060208027257	True
GC	1	2185	sequencing_instrument	2	0.0001264924001184	0.9291465510997832	0.9291465510997832	False
