module	h5_accession	flt_n	gc_n	flt_mean	gc_mean	flt_minus_gc_mean	flt_median	gc_median
FLT3_GC1_overlap	OSD-137	5	6	0.15500027388334275	0.1480883831779162	0.006911890705426554	0.15760266780853271	0.149305559694767
FLT3_GC1_overlap	OSD-173	2	2	0.07803312316536903	0.10333934426307678	-0.02530622109770775	0.07803312316536903	0.10333934426307678
FLT3_GC1_overlap	OSD-242	5	3	0.09967783093452454	0.1355486512184143	-0.03587082028388977	0.10500452667474747	0.13537222146987915
FLT3_GC1_overlap	OSD-245	18	19	0.17912236932251188	0.16159612763869136	0.017526241683820526	0.16700641065835953	0.1478525549173355
FLT3_GC1_overlap	OSD-379	31	31	0.14282800677803256	0.14403339787836997	-0.0012053911003374052	0.14537662267684937	0.13426817953586578
FLT3_GC1_overlap	OSD-463	12	10	0.07285258267074823	0.07475155964493752	-0.0018989769741892815	0.07117155939340591	0.0672026202082634
FLT_cluster_14_liver_secreted	OSD-137	5	6	5.0669149398803714	5.084313790003459	-0.017398850123087506	5.102689743041992	5.095065116882324
FLT_cluster_14_liver_secreted	OSD-173	2	2	5.178216934204102	5.250542640686035	-0.0723257064819336	5.178216934204102	5.250542640686035
FLT_cluster_14_liver_secreted	OSD-242	5	3	4.855284595489502	4.942396640777588	-0.08711204528808558	4.8258891105651855	4.915029525756836
FLT_cluster_14_liver_secreted	OSD-245	18	19	5.180091857910156	5.219817613300524	-0.03972575539036782	5.222333192825317	5.317188262939453
FLT_cluster_14_liver_secreted	OSD-379	31	31	4.994393810149162	5.012168930422876	-0.017775120273713974	4.958117961883545	5.010484218597412
FLT_cluster_14_liver_secreted	OSD-463	12	10	4.785905083020528	4.7828844547271725	0.003020628293355365	4.779489994049072	4.756878614425659
FLT_cluster_3_mixed_stress	OSD-137	5	6	0.1582507982850075	0.15142704794804254	0.0068237503369649455	0.16016548871994019	0.15266532450914383
FLT_cluster_3_mixed_stress	OSD-173	2	2	0.08514459058642387	0.11138754338026047	-0.026242952793836594	0.08514459058642387	0.11138754338026047
FLT_cluster_3_mixed_stress	OSD-242	5	3	0.10344684571027755	0.1402208904425303	-0.03677404473225275	0.10827457904815674	0.13963986933231354
FLT_cluster_3_mixed_stress	OSD-245	18	19	0.18721254294117293	0.17007138423229518	0.01714115870887775	0.17399848252534866	0.15786471962928772
FLT_cluster_3_mixed_stress	OSD-379	31	31	0.14469618975154816	0.146806389453911	-0.0021101997023628416	0.14792700111865997	0.13735930621623993
FLT_cluster_3_mixed_stress	OSD-463	12	10	0.07531510479748249	0.07730368040502071	-0.0019885756075382205	0.07293067499995232	0.06915216147899628
GC_cluster_1_DE_enriched	OSD-137	5	6	0.16164637356996536	0.15472510705391565	0.006921266516049712	0.16522714495658875	0.15523996949195862
GC_cluster_1_DE_enriched	OSD-173	2	2	0.0814657211303711	0.10727494582533836	-0.02580922469496727	0.0814657211303711	0.10727494582533836
GC_cluster_1_DE_enriched	OSD-242	5	3	0.10755684226751328	0.14386820793151855	-0.03631136566400528	0.11370762437582016	0.1438940316438675
GC_cluster_1_DE_enriched	OSD-245	18	19	0.18003835943010119	0.16220336877986005	0.017834990650241134	0.167727492749691	0.1504669487476349
GC_cluster_1_DE_enriched	OSD-379	31	31	0.1748277530554802	0.1529285244403347	0.02189922861514551	0.1720973551273346	0.14042429625988007
GC_cluster_1_DE_enriched	OSD-463	12	10	0.08115718886256218	0.0831770770251751	-0.0020198881626129206	0.07921374589204788	0.0756174772977829
