FLT_cluster_01,FLT_cluster_02,FLT_cluster_03,FLT_cluster_04,FLT_cluster_05,FLT_cluster_06,FLT_cluster_07,FLT_cluster_08,FLT_cluster_09,FLT_cluster_10,FLT_cluster_11,FLT_cluster_12,FLT_cluster_13,FLT_cluster_14,FLT_cluster_15,GC_cluster_01,GC_cluster_02,GC_cluster_03,GC_cluster_04,GC_cluster_05,GC_cluster_06,GC_cluster_07,GC_cluster_08,GC_cluster_09,GC_cluster_10,GC_cluster_11,GC_cluster_12,GC_cluster_13,GC_cluster_14
Rsrc2,Mon1b,ENSMUSG00000111356,Olfr287,Ube3b,Irag2,A930019D19Rik,Pick1,Tspan32,Snx13,Nudt4,Itpkc,Hr,Grip2,Cacna1s,Olfr287,Irag2,Rnf167,Mon1b,Rsrc2,Ifi27l2b,Myl4,Grip2,Snx13,Sdk1,Ube3b,Cyp4f14,Ms4a4b,Homer3
Tox4,Mfsd11,Cdca5,Myl4,Rnf167,Ifi27l2b,Ypel1,Ddx41,Ms4a4b,Rab14,Cyp4f14,Rhog,Mst1r,Tma7,Thbs3,Cacna1s,A930019D19Rik,Ddx41,Mfsd11,Tox4,Itpkc,Thbs3,Dhps,Dido1,Olfr1437,Pgpep1,Orm1,Moxd1,Alkbh2
Dmac1,Dhps,Ly6i,Sdk1,Dido1,Evc2,Vmn1r85,Letmd1,Cidec,Adi1,Orm1,Aimp2,Adamtsl3,Mup14,Sorcs2,ENSMUSG00000111356,Tspan32,Letmd1,Dmac1,Rab22a,Trmt9b,Hr,Cidec,Rab14,Pla2g2d,Faf2,Uroc1,Rerg,Kif26a
Rab22a,Sprtn,ENSMUSG00000086259,Olfr1437,Pgpep1,Gm10433,Mycn,Agap1,Cyp4a12b,Mib1,Uroc1,Kptn,Mthfd2,Hectd2os,Asb10,Cdca5,Ypel1,Cdk10,Sprtn,Plce1,Arfip2,Mst1r,Endod1,Nudt4,Vmn1r217,Shmt2,Fgb,1500004A13Rik,Tmem79
Plce1,Rnpc3,Mir1968,Pla2g2d,Faf2,Riox1,Ndst4,Cdk10,Trmt9b,Osbpl1a,Cyp3a11,Caskin2,Chrdl1,Rps13,Aplnr,Ly6i,Evc2,Myh14,Pick1,Sypl,Riox1,Gm10433,Cxcl1,Adi1,Olfr1440,Mxd4,Clu,Zc3h8,1190005I06Rik
C2cd3,Endod1,ENSMUSG00000047117,Vmn1r217,Shmt2,Stambpl1,Rassf9,Myh14,Rad18,Rtn3,Fgb,Maged2,Scn7a,Fhl1,Olfr482,ENSMUSG00000086259,Rad18,Morc2a,C2cd3,Hacd2,Rhog,Gm12070,Cyp4a12b,Ipo5,Mir1898,Dapk1,Cnbp,Acpp,Sirt6
Ipo5,Cxcl1,Jph4,Olfr1440,Mxd4,Usp35,Olfr1330,Atxn7l3,Gsta1,Twf1,Ndfip1,Pelp1,1700067K01Rik,Alas2,Kcnab3,Mir1968,Gsta1,Tbcd,Rnpc3,Gramd1c,Sgsm1,Adamtsl3,Ankra2,Mib1,Lrrtm3,Prrc2a,Gstp1,Olfr1034,Pold1
Sypl,Prorsd1,Snord82,Npbwr1,Dapk1,Lrrcc1,Vmn1r80,Anxa2,Gm12070,Zmpste24,Clu,Rundc3a,Olfr39,Spry4,Cox6a2,ENSMUSG00000047117,Vmn1r85,Atxn7l3,Prorsd1,Mdm4,Aimp2,Mycn,Cyp3a11,Osbpl1a,4930442L01Rik,Fam210b,Oat,C3ar1,Sh3bp1
Hacd2,Ankra2,Vmn1r89,Lrrtm3,Tcf20,Sgsm1,Gm10390,Psme3ip1,Moxd1,Glrx3,Cnbp,Trp53rka,Sstr2,Mup20,Sycn,Jph4,Rassf9,Gpatch2,Agap1,4833420G17Rik,Kptn,Npbwr1,Lrrcc1,Ssb,Olfr352,Stat5b,Tfr2,Parp8,Pnlip
Ssb,Arfip2,Nxnl1,4930442L01Rik,Prrc2a,Gulp1,Ifi214,Prkag1,5730405O15Rik,Ube2b,Chpt1,Tbkbp1,Lep,Cyp2c40,Ccdc96,Snord82,Stambpl1,Anxa2,Zfp277,Ppa2,Fgfr1,Ndst4,Ttc30b,Rtn3,Vmn2r101,Cpt2,Ftcd,Cxcl10,Dagla
Parn,Zfp277,ENSMUSG00000066896,Fgd3,Fam210b,B3gnt8,Omg,Tmem63a,Mbd4,Wasl,Oat,Gdpgp1,Ccr7,Mettl23,Foxs1,Vmn1r89,Fgd3,Vcl,Parn,Dnajc25,Caskin2,Tmem191c,Tmem251,Twf1,Cdr1os,Tsc2,Sardh,Xlr3a,Ssbp4
Gramd1c,Srfbp1,Troap,Olfr352,Stat5b,Bbs2,Scn3a,Fbrsl1,Rerg,Rhobtb1,Gbe1,Rcc1l,Slc25a35,Cyp3a16,Ckmt2,Nxnl1,Olfr1330,Gpr107,Srfbp1,Lims1,Orm3,BC049352,Mblac2,Tcf20,Omg,Nploc4,Prdx6,Snora3,Ankrd13b
