_MEMBER_FLT_cluster_01,_MEMBER_FLT_cluster_02,_MEMBER_FLT_cluster_03,_MEMBER_FLT_cluster_04,_MEMBER_FLT_cluster_05,_MEMBER_FLT_cluster_06,_MEMBER_FLT_cluster_07,_MEMBER_FLT_cluster_08,_MEMBER_FLT_cluster_09,_MEMBER_FLT_cluster_10,_MEMBER_FLT_cluster_11,_MEMBER_FLT_cluster_12,_MEMBER_FLT_cluster_13,_MEMBER_FLT_cluster_14,_MEMBER_FLT_cluster_15,_MEMBER_GC_cluster_01,_MEMBER_GC_cluster_02,_MEMBER_GC_cluster_03,_MEMBER_GC_cluster_04,_MEMBER_GC_cluster_05,_MEMBER_GC_cluster_06,_MEMBER_GC_cluster_07,_MEMBER_GC_cluster_08,_MEMBER_GC_cluster_09,_MEMBER_GC_cluster_10,_MEMBER_GC_cluster_11,_MEMBER_GC_cluster_12,_MEMBER_GC_cluster_13,_MEMBER_GC_cluster_14,_LogP_FLT_cluster_01,_LogP_FLT_cluster_02,_LogP_FLT_cluster_03,_LogP_FLT_cluster_04,_LogP_FLT_cluster_05,_LogP_FLT_cluster_06,_LogP_FLT_cluster_07,_LogP_FLT_cluster_08,_LogP_FLT_cluster_09,_LogP_FLT_cluster_10,_LogP_FLT_cluster_11,_LogP_FLT_cluster_12,_LogP_FLT_cluster_13,_LogP_FLT_cluster_14,_LogP_FLT_cluster_15,_LogP_GC_cluster_01,_LogP_GC_cluster_02,_LogP_GC_cluster_03,_LogP_GC_cluster_04,_LogP_GC_cluster_05,_LogP_GC_cluster_06,_LogP_GC_cluster_07,_LogP_GC_cluster_08,_LogP_GC_cluster_09,_LogP_GC_cluster_10,_LogP_GC_cluster_11,_LogP_GC_cluster_12,_LogP_GC_cluster_13,_LogP_GC_cluster_14,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.0,0.0,-8.042677970241064,0.0,0.0,0.0,0.0,-2.0399223449661568,-60.76664404262083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.104094789550531,0.0,-9.393143846642756,-62.0794894674862,0.0,0.0,GO:0044282,M00001000011000000000000101100,6,0,GO Biological Processes,19,small molecule catabolic process,19_GO:0009987 cellular process,-62.0794894674862,8.026951741440378,25.51175793562583,17405,352,616,100,16.233766233766232,1.4857775180653394,11363|11364|11370|11430|11522|11532|11668|11669|11720|11816|11846|11898|12411|12583|12623|12894|13884|13885|14080|14085|14317|14433|14645|14651|14661|14711|14718|14719|14874|15107|15109|15112|15233|15445|15488|16548|16828|16922|18242|18416|18478|18563|18655|18979|19193|19211|19299|20322|20425|21991|22262|23986|26458|30956|51798|52538|54608|56720|56794|58810|58875|64385|66841|66904|71755|72157|74114|74147|76971|78920|93732|93747|97212|98256|99586|101502|102632|103149|104086|104158|104174|104776|107747|107766|109801|110446|110695|110842|208665|212647|225913|230163|231086|234564|234724|235582|235674|243537|268860|270076,Acadl|Acadm|Acadvl|Acox1|Adh1|Adh5|Aldh1a1|Aldh2|Mat1a|Apoe|Arg1|Ass1|Cbs|Cdo1|Ces1g|Cpt1a|Ces1c|Esd|Fabp1|Fah|Ftcd|Gapdh|Glul|Hagh|Glud1|Gnmt|Got1|Got2|Gstz1|Hadh|Hal|Hao1|Hgd|Hpd|Hsd17b4|Khk|Ldha|Phyh|Oat|Otc|Pah|Pcx|Pgk1|Pon1|Pipox|Pten|Abcd3|Sord|Shmt1|Tpi1|Uox|Eci2|Slc27a2|Aass|Ech1|Acaa2|Abhd2|Tdo2|Hacl1|Akr1a1|Hibadh|Cyp4f14|Etfdh|Pccb|Dhdh|Pgm1|Crot|Ehhadh|Sult2a8|Dlst|Acox2|Echs1|Hadha|Kmo|Dpyd|Hsd3b7|Acad11|Upb1|Cyp27a1|Ces1d|Gldc|Aldh6a1|Aldh1l1|Haao|Glo1|Acat1|Aldh7a1|Etfa|Akr1d1|Aldh4a1|Tkfc|Aldob|Hadhb|Ces1f|Tat|Glyctk|Acaa1b|Uroc1|Abat|Gcdh,-57.83528659140321,0,1.0,1.0,1.0,-62.0794894674862,12.24377705627706,
0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,-6.9283844249869695,0.0,0.0,0.0,0.0,-4.770926185511755,-56.66030784304352,0.0,0.0,-13.443523575618318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.473256525033188,-9.022385397589026,0.0,-6.327626363587514,-53.39978406690301,0.0,0.0,GO:0032787,M00001000011001000000001101100,8,0,GO Biological Processes,19,monocarboxylic acid metabolic process,19_GO:0009987 cellular process,-56.66030784304352,5.96986101169172,22.566200787288533,17405,528,635,115,18.11023622047244,1.5282345153783152,11364|11370|11430|11522|11532|11668|11816|12012|12623|12780|12846|12870|12894|13077|13085|13087|13095|13096|13101|13106|13107|13109|13112|13119|13122|13167|13806|13850|13884|14079|14080|14081|14085|14104|14245|14433|14732|14775|14862|15107|15112|15488|16548|16828|16889|16922|17777|18655|18770|18984|19299|20249|20322|23986|26378|26458|26459|27413|30924|52538|54326|54608|55951|56428|56473|56794|57874|58810|64385|64898|66841|67452|67460|67528|68465|68801|69116|72094|74114|74147|74155|74159|76267|76279|76971|83702|93747|97212|98256|102294|102632|104086|104112|104158|105387|107141|107146|107476|109672|110446|110842|117147|208665|226105|229905|230163|231086|234564|235674|237320|270076|404195|433247|433256|545288,Acadm|Acadvl|Acox1|Adh1|Adh5|Aldh1a1|Apoe|Baat|Ces1g|Abcc2|Comt|Cp|Cpt1a|Cyp1a2|Cyp2a12|Cyp2a5|Cyp2c29|Cyp2c37|Cyp2d10|Cyp2e1|Cyp2f2|Cyp2j5|Cyp3a11|Cyp4a14|Cyp7a1|Dbi|Eno1|Ephx2|Ces1c|Fabp2|Fabp1|Acsl1|Fah|Fasn|Lpin1|Gapdh|Gpam|Gpx1|Gstm1|Hadh|Hao1|Hsd17b4|Khk|Ldha|Lipa|Phyh|Mttp|Pgk1|Pklr|Por|Abcd3|Scd1|Sord|Eci2|Decr2|Slc27a2|Slc27a5|Abcb11|Angptl3|Acaa2|Elovl2|Abhd2|Mpc1|Mtch2|Fads2|Hacl1|Hacd3|Akr1a1|Cyp4f14|Lpin2|Etfdh|Pnpla8|Decr1|Nudt7|Adipor2|Elovl5|Ubr4|Ugt2a3|Crot|Ehhadh|Errfi1|Acbd5|Fads1|Cyp2d26|Sult2a8|Akr1c6|Echs1|Hadha|Kmo|Cyp4v3|Acad11|Cyp27a1|Acly|Ces1d|Akr1c14|Cyp2c50|Glyat|Acaca|Cyb5a|Acat1|Etfa|Acsm1|Akr1d1|Cyp2c70|Kyat3|Aldob|Hadhb|Ces1f|Acaa1b|Aldh8a1|Gcdh|Cyp2c54|Cyp2c68|Acsl5|Cyp2c67,-52.893226221680194,0,2.0,1.0,1.0,-56.66030784304352,11.772862554112553,
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.0,0.0,-6.792685514969321,0.0,0.0,0.0,0.0,-2.2949888383081825,-52.46166470994514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.767065862666987,0.0,-7.904686781843035,-52.28202723419755,0.0,0.0,GO:0046395,M00001000011000000000000101100,6,0,GO Biological Processes,19,carboxylic acid catabolic process,19_GO:0009987 cellular process,-52.46166470994514,9.176206778500514,24.28914794395247,17405,230,635,77,12.125984251968504,1.2953939789946265,11364|11370|11430|11720|11846|11898|12411|12583|12623|12894|13119|13884|14080|14085|14245|14645|14661|14711|14718|14719|14874|15107|15109|15112|15233|15445|15488|16828|16922|18242|18416|18478|18563|18979|19193|19299|20322|20425|23986|26378|26458|30956|52538|54608|56720|56794|58810|58875|64385|64898|66841|67460|67528|74114|74147|76971|93747|97212|98256|102632|104158|104776|107747|107766|108682|110446|110695|110842|212647|229905|231086|234564|234724|235674|243537|268860|270076,Acadm|Acadvl|Acox1|Mat1a|Arg1|Ass1|Cbs|Cdo1|Ces1g|Cpt1a|Cyp4a14|Ces1c|Fabp1|Fah|Lpin1|Glul|Glud1|Gnmt|Got1|Got2|Gstz1|Hadh|Hal|Hao1|Hgd|Hpd|Hsd17b4|Ldha|Phyh|Oat|Otc|Pah|Pcx|Pon1|Pipox|Abcd3|Sord|Shmt1|Eci2|Decr2|Slc27a2|Aass|Acaa2|Abhd2|Tdo2|Hacl1|Akr1a1|Hibadh|Cyp4f14|Lpin2|Etfdh|Decr1|Nudt7|Crot|Ehhadh|Sult2a8|Echs1|Hadha|Kmo|Acad11|Ces1d|Aldh6a1|Aldh1l1|Haao|Gpt2|Acat1|Aldh7a1|Etfa|Aldh4a1|Kyat3|Hadhb|Ces1f|Tat|Acaa1b|Uroc1|Abat|Gcdh,-48.91643183819817,0,1.0,0.0,0.0,-62.0794894674862,12.24377705627706,
0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,-4.3903643664325935,0.0,0.0,0.0,0.0,-2.617894327045902,-46.78892384867454,0.0,0.0,-8.292244603039126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.663445256482897,-6.8958283998076055,0.0,-3.211504541510727,-43.96542533952751,0.0,0.0,GO:0006631,M00001000011001000000001101100,8,0,GO Biological Processes,19,fatty acid metabolic process,19_GO:0009987 cellular process,-46.78892384867454,6.608305468665732,21.071146474159672,17405,365,635,88,13.858267716535433,1.3711166709205242,11364|11370|11430|11532|11816|12012|12623|12846|12870|12894|13077|13085|13087|13095|13096|13101|13106|13107|13109|13119|13167|13850|13884|14079|14080|14081|14104|14245|14732|14775|14862|15107|15112|15488|16889|16922|18984|19299|20249|23986|26378|26458|26459|27413|30924|52538|54326|54608|56473|56794|57874|64385|64898|66841|67452|67460|67528|68465|68801|69116|74114|74147|74159|76267|76279|83702|93747|97212|102294|102632|104112|104158|105387|107141|107476|109672|110446|110842|117147|226105|231086|234564|235674|270076|404195|433247|433256|545288,Acadm|Acadvl|Acox1|Adh5|Apoe|Baat|Ces1g|Comt|Cp|Cpt1a|Cyp1a2|Cyp2a12|Cyp2a5|Cyp2c29|Cyp2c37|Cyp2d10|Cyp2e1|Cyp2f2|Cyp2j5|Cyp4a14|Dbi|Ephx2|Ces1c|Fabp2|Fabp1|Acsl1|Fasn|Lpin1|Gpam|Gpx1|Gstm1|Hadh|Hao1|Hsd17b4|Lipa|Phyh|Por|Abcd3|Scd1|Eci2|Decr2|Slc27a2|Slc27a5|Abcb11|Angptl3|Acaa2|Elovl2|Abhd2|Fads2|Hacl1|Hacd3|Cyp4f14|Lpin2|Etfdh|Pnpla8|Decr1|Nudt7|Adipor2|Elovl5|Ubr4|Crot|Ehhadh|Acbd5|Fads1|Cyp2d26|Akr1c6|Echs1|Hadha|Cyp4v3|Acad11|Acly|Ces1d|Akr1c14|Cyp2c50|Acaca|Cyb5a|Acat1|Etfa|Acsm1|Cyp2c70|Hadhb|Ces1f|Acaa1b|Gcdh|Cyp2c54|Cyp2c68|Acsl5|Cyp2c67,-43.38981901260581,0,2.0,0.0,0.0,-56.66030784304352,11.772862554112553,
0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.0,0.0,-5.382699034758247,0.0,0.0,0.0,0.0,0.0,-42.68502589728497,0.0,0.0,-5.26259997719281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1323283738604473,0.0,-4.161137750830037,-39.267451881956426,0.0,0.0,GO:0044283,M00001000001001000000000101100,6,0,GO Biological Processes,19,small molecule biosynthetic process,19_GO:0009987 cellular process,-42.68502589728497,5.777167198362499,19.44849426570199,17405,427,635,90,14.173228346456693,1.3840727490351927,11430|11534|11668|11806|11898|12012|12116|12411|13119|13122|13180|13595|13806|14080|14081|14104|14121|14377|14433|14645|14718|14719|14862|15112|15360|15488|16889|17449|18242|18416|18478|18534|18563|18655|18770|19299|19662|19733|20249|20322|20425|20768|26378|26458|26459|50799|52633|54326|54608|56473|57874|58810|64705|64918|67452|68801|69116|72999|74147|74155|74754|76267|98256|99586|103149|104086|104112|107476|107766|107869|108682|109900|110391|117147|192166|208665|208715|213053|229905|230163|231070|234564|235293|235674|237320|268756|268860|404195|433247|545288,Acox1|Adk|Aldh1a1|Apoa1|Ass1|Baat|Bhmt|Cbs|Cyp4a14|Cyp7a1|Pcbd1|Ebp|Eno1|Fabp1|Acsl1|Fasn|Fbp1|G6pc1|Gapdh|Glul|Got1|Got2|Gstm1|Hao1|Hmgcs2|Hsd17b4|Lipa|Mdh1|Oat|Otc|Pah|Pck1|Pcx|Pgk1|Pklr|Abcd3|Rbp4|Rgn|Scd1|Sord|Shmt1|Sephs2|Decr2|Slc27a2|Slc27a5|Slc25a13|Nit2|Elovl2|Abhd2|Fads2|Hacd3|Akr1a1|Dpys|Bhmt2|Pnpla8|Elovl5|Ubr4|Insig2|Ehhadh|Errfi1|Dhcr24|Fads1|Kmo|Dpyd|Upb1|Cyp27a1|Acly|Acaca|Haao|Cth|Gpt2|Asl|Qdpr|Acsm1|Sardh|Akr1d1|Hmgcs1|Slc39a14|Kyat3|Aldob|Insig1|Ces1f|Sc5d|Acaa1b|Aldh8a1|Gulo|Abat|Cyp2c54|Cyp2c68|Cyp2c67,-39.39506553064131,0,3.0,1.0,1.0,-42.68502589728497,9.61110543000307,
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.79628629067293,0.0,0.0,-3.7320552381692136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5800815042829566,0.0,-2.1338360476682716,-31.597360810227297,0.0,0.0,GO:0046394,M00000000001001000000000101100,5,0,GO Biological Processes,19,carboxylic acid biosynthetic process,19_GO:0009987 cellular process,-36.79628629067293,7.183928117856236,19.085980075753064,17405,248,635,65,10.236220472440944,1.2029110607082685,11430|11668|11898|12012|12116|12411|13119|13122|13180|14080|14081|14104|14645|14718|14719|14862|15112|15488|18242|18416|18478|18770|19299|19733|20249|20425|20768|26378|26458|26459|52633|54326|54608|56473|57874|58810|64705|64918|67452|68801|69116|74147|74155|76267|98256|99586|103149|104086|104112|107476|107766|107869|108682|109900|117147|192166|208665|229905|235674|237320|268756|268860|404195|433247|545288,Acox1|Aldh1a1|Ass1|Baat|Bhmt|Cbs|Cyp4a14|Cyp7a1|Pcbd1|Fabp1|Acsl1|Fasn|Glul|Got1|Got2|Gstm1|Hao1|Hsd17b4|Oat|Otc|Pah|Pklr|Abcd3|Rgn|Scd1|Shmt1|Sephs2|Decr2|Slc27a2|Slc27a5|Nit2|Elovl2|Abhd2|Fads2|Hacd3|Akr1a1|Dpys|Bhmt2|Pnpla8|Elovl5|Ubr4|Ehhadh|Errfi1|Fads1|Kmo|Dpyd|Upb1|Cyp27a1|Acly|Acaca|Haao|Cth|Gpt2|Asl|Acsm1|Sardh|Akr1d1|Kyat3|Acaa1b|Aldh8a1|Gulo|Abat|Cyp2c54|Cyp2c68|Cyp2c67,-33.59347609974817,0,3.0,0.0,0.0,-42.68502589728497,9.61110543000307,
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,-3.293554248855328,0.0,0.0,0.0,0.0,0.0,-34.87469939859698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.801664189762298,-36.72143251708426,0.0,0.0,GO:0170039,M00001000001000000000000001100,4,0,GO Biological Processes,19,proteinogenic amino acid metabolic process,19_GO:0009987 cellular process,-36.72143251708426,10.006933170995671,20.78871708855143,17405,144,616,51,8.279220779220779,1.11029464120007,11668|11720|11846|11898|12012|12116|12411|12583|14080|14085|14317|14645|14661|14711|14718|14719|14874|15109|15112|15233|15445|17777|18242|18416|18478|19193|20425|20768|30956|52633|56720|58875|64918|78920|93747|98256|104174|104776|107146|107766|107869|108156|109900|110446|110695|192166|212647|234724|243537|268860|270076,Aldh1a1|Mat1a|Arg1|Ass1|Baat|Bhmt|Cbs|Cdo1|Fabp1|Fah|Ftcd|Glul|Glud1|Gnmt|Got1|Got2|Gstz1|Hal|Hao1|Hgd|Hpd|Mttp|Oat|Otc|Pah|Pipox|Shmt1|Sephs2|Aass|Nit2|Tdo2|Hibadh|Bhmt2|Dlst|Echs1|Kmo|Gldc|Aldh6a1|Glyat|Haao|Cth|Mthfd1|Asl|Acat1|Aldh7a1|Sardh|Aldh4a1|Tat|Uroc1|Abat|Gcdh,-33.5564108870489,0,1.0,0.0,0.0,-62.0794894674862,12.24377705627706,
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,-6.25664276892963,0.0,0.0,0.0,0.0,0.0,-34.608444367010016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.24010555562163,-36.40827576571315,0.0,0.0,GO:0006520,M00001000001000000000000001100,4,0,GO Biological Processes,19,amino acid metabolic process,19_GO:0009987 cellular process,-36.40827576571315,7.550870465741156,19.240767789882756,17405,232,616,62,10.064935064935066,1.212215014461524,11668|11720|11846|11898|12012|12116|12411|12583|14080|14085|14317|14629|14630|14645|14661|14711|14718|14719|14874|15109|15112|15233|15445|17777|17850|18242|18416|18453|18478|18563|19193|20425|20768|30956|52633|56720|58875|64705|64918|78920|93747|98256|99586|102436|103149|104174|104776|107146|107766|107869|108156|109900|110446|110695|110842|192166|212647|234724|234734|243537|268860|270076,Aldh1a1|Mat1a|Arg1|Ass1|Baat|Bhmt|Cbs|Cdo1|Fabp1|Fah|Ftcd|Gclc|Gclm|Glul|Glud1|Gnmt|Got1|Got2|Gstz1|Hal|Hao1|Hgd|Hpd|Mttp|Mmut|Oat|Otc|P4hb|Pah|Pcx|Pipox|Shmt1|Sephs2|Aass|Nit2|Tdo2|Hibadh|Dpys|Bhmt2|Dlst|Echs1|Kmo|Dpyd|Lars2|Upb1|Gldc|Aldh6a1|Glyat|Haao|Cth|Mthfd1|Asl|Acat1|Aldh7a1|Etfa|Sardh|Aldh4a1|Tat|Aars1|Uroc1|Abat|Gcdh,-33.278016241937,0,1.0,0.0,0.0,-62.0794894674862,12.24377705627706,
0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5470834980415424,-32.592111892632026,0.0,0.0,-14.355822651367989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2878083682668118,-2.829797879628114,0.0,-2.405377786621782,-35.3422519942967,0.0,0.0,GO:0008202,M00000000011001000000001101100,7,0,GO Biological Processes,19,steroid metabolic process,19_GO:0009987 cellular process,-35.3422519942967,7.120227272727272,18.670015212346826,17405,250,616,63,10.227272727272727,1.2208484949196168,11303|11804|11806|11807|11808|11812|11814|11816|12012|12359|12401|12623|12780|12846|13077|13106|13124|14080|14151|14377|15450|15483|15488|15494|16816|16889|16971|17777|18145|18979|19299|20887|22238|26458|26459|27413|28194|30924|54150|56388|66113|71773|72094|72999|74155|74754|76971|83702|93732|100727|101502|103161|104086|105387|208665|208715|234199|234564|235293|235674|238055|394436|404195,Abca1|Aplp2|Apoa1|Apoa2|Apoa4|Apoc1|Apoc3|Apoe|Baat|Cat|Serpina6|Ces1g|Abcc2|Comt|Cyp1a2|Cyp2e1|Cyp8b1|Fabp1|Fech|G6pc1|Lipc|Hsd11b1|Hsd17b4|Hsd3b3|Lcat|Lipa|Lrp1|Mttp|Npc1|Pon1|Abcd3|Sult1a1|Ugt2b5|Slc27a2|Slc27a5|Abcb11|Apon|Angptl3|Rdh7|Cyp3a25|Apoa5|Ugt2b1|Ugt2a3|Insig2|Errfi1|Dhcr24|Sult2a8|Akr1c6|Acox2|Ugt2b34|Hsd3b7|Apof|Cyp27a1|Akr1c14|Akr1d1|Hmgcs1|Fgl1|Ces1f|Sc5d|Acaa1b|Apob|Ugt1a1|Cyp2c54,-32.244177153891954,0,4.0,1.0,1.0,-35.3422519942967,25.115440115440112,
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,-3.1139436696376364,0.0,0.0,0.0,0.0,0.0,-29.033437350986535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.969625455593598,-32.16613324671787,0.0,0.0,WP662,M00001000001000000000000001100,4,0,WikiPathways,27,Amino acid metabolism,,-32.16613324671787,12.24377705627706,20.484469035065857,17405,90,616,39,6.3311688311688314,0.9811810273121555,11364|11429|11522|11532|11668|11846|11898|12116|12411|14085|14317|14630|14645|14661|14718|14719|15107|15109|15360|15926|16828|17449|17850|18242|18293|18416|18534|18563|56451|56720|58875|74147|78920|102436|104112|107869|109900|110695|234724,Acadm|Aco2|Adh1|Adh5|Aldh1a1|Arg1|Ass1|Bhmt|Cbs|Fah|Ftcd|Gclm|Glul|Glud1|Got1|Got2|Hadh|Hal|Hmgcs2|Idh1|Ldha|Mdh1|Mmut|Oat|Ogdh|Otc|Pck1|Pcx|Suclg1|Tdo2|Hibadh|Ehhadh|Dlst|Lars2|Acly|Cth|Asl|Aldh7a1|Tat,-29.177202875738192,0,1.0,0.0,0.0,-62.0794894674862,12.24377705627706,
