gene	gene_cluster
ENSMUSG00000029422	2
ENSMUSG00000076126	1
ENSMUSG00000049036	1
ENSMUSG00000029577	12
ENSMUSG00000040746	2
ENSMUSG00000020590	8
ENSMUSG00000030263	7
ENSMUSG00000038914	2
ENSMUSG00000026878	2
ENSMUSG00000093241	1
ENSMUSG00000030098	2
ENSMUSG00000078908	7
ENSMUSG00000025056	1
ENSMUSG00000090129	1
ENSMUSG00000026407	5
ENSMUSG00000034239	1
ENSMUSG00000020818	9
ENSMUSG00000060038	1
ENSMUSG00000020029	3
ENSMUSG00000085958	1
ENSMUSG00000024292	14
ENSMUSG00000111356	1
ENSMUSG00000016831	2
ENSMUSG00000024791	1
ENSMUSG00000028398	9
ENSMUSG00000113338	1
ENSMUSG00000022586	1
ENSMUSG00000091034	1
ENSMUSG00000056204	6
ENSMUSG00000065472	1
ENSMUSG00000056197	1
ENSMUSG00000031986	9
ENSMUSG00000086259	1
ENSMUSG00000000244	7
ENSMUSG00000027519	12
ENSMUSG00000061086	5
ENSMUSG00000056290	7
ENSMUSG00000068206	9
ENSMUSG00000077815	1
ENSMUSG00000021208	1
ENSMUSG00000088054	1
ENSMUSG00000024998	14
ENSMUSG00000047248	2
ENSMUSG00000027981	9
ENSMUSG00000039683	1
ENSMUSG00000047117	1
ENSMUSG00000030278	3
ENSMUSG00000037419	12
ENSMUSG00000099616	1
ENSMUSG00000022208	10
ENSMUSG00000055197	1
ENSMUSG00000059632	4
ENSMUSG00000064823	1
ENSMUSG00000095629	1
ENSMUSG00000034829	9
ENSMUSG00000029380	1
ENSMUSG00000073001	1
ENSMUSG00000031073	1
ENSMUSG00000028047	1
ENSMUSG00000039196	0
ENSMUSG00000032673	1
ENSMUSG00000096584	1
ENSMUSG00000022773	1
ENSMUSG00000078597	1
ENSMUSG00000021494	4
ENSMUSG00000050248	1
ENSMUSG00000003752	9
ENSMUSG00000037353	5
ENSMUSG00000022096	12
ENSMUSG00000091311	1
ENSMUSG00000096436	1
ENSMUSG00000021661	9
ENSMUSG00000039620	1
ENSMUSG00000033765	9
ENSMUSG00000032584	9
ENSMUSG00000072884	1
ENSMUSG00000066896	1
ENSMUSG00000094606	1
ENSMUSG00000032783	1
ENSMUSG00000029093	9
ENSMUSG00000030254	1
ENSMUSG00000077991	1
ENSMUSG00000021090	1
ENSMUSG00000094687	1
