gene_cluster	n_entities	pc1_mean	pc2_mean
0	263	-4.441253	0.23694994
1	9845	4.3412347	-0.29176798
2	1183	-6.554233	2.840789
3	473	-11.774047	-0.85470223
4	911	-2.1673603	2.5481532
5	502	-5.374072	-2.4309647
6	417	-4.3685665	-1.2337687
7	685	-4.834918	4.5565248
8	789	-5.88924	-3.0138888
9	2845	1.0254993	0.49468318
10	807	-5.167026	-4.328228
11	209	-1.7763449	1.6918224
12	1612	-5.775388	0.6189883
13	122	-11.750078	-5.924778
14	347	-4.1187797	-0.05508607
