gene_cluster	n_genes	flight	ground_or_control	unknown
0	263	7665.90087890625	9646.4931640625	7079.0126953125
1	9845	134.5964813232422	123.19473266601562	72.90928649902344
2	1183	3506.53564453125	3341.46240234375	1753.0645751953125
3	473	12767.2861328125	12452.0849609375	7090.81787109375
4	911	1188.8594970703125	1102.7484130859375	735.11181640625
5	502	4825.96240234375	4748.0322265625	3811.181640625
6	417	3548.384033203125	4348.75146484375	1741.1566162109375
7	685	1562.3929443359375	1560.765380859375	1048.4656982421875
8	789	3299.84375	2863.3720703125	1443.540771484375
9	2845	863.7927856445312	808.34375	499.67108154296875
10	807	1883.9659423828125	1229.13623046875	943.1395874023438
11	209	732.2689819335938	701.3048095703125	528.97802734375
12	1612	3070.664306640625	2839.541748046875	1707.7388916015625
13	122	58521.75390625	54425.1171875	51885.94921875
14	347	2059.77490234375	2348.645263671875	826.7202758789062
