filter_name	genes_kept	genes_removed	scheme	fold	train_rows	test_rows	accuracy	f1	roc_auc
remove_curated_20_skeletal_muscle_markers	20990	20	random_kfold_glare	1	33584	8396	0.891734159123392	0.8758366343395712	0.9763111209759767
remove_curated_20_skeletal_muscle_markers	20990	20	random_kfold_glare	2	33584	8396	0.8858980466888995	0.8721985058697972	0.973763991710247
remove_curated_20_skeletal_muscle_markers	20990	20	random_kfold_glare	3	33584	8396	0.887446403049071	0.8982010126036841	0.9753164067458417
remove_curated_20_skeletal_muscle_markers	20990	20	random_kfold_glare	4	33584	8396	0.8941162458313483	0.8846503178928247	0.9779990133666677
remove_curated_20_skeletal_muscle_markers	20990	20	random_kfold_glare	5	33584	8396	0.8900666984278228	0.8782803639720427	0.9758373267239591
remove_curated_20_skeletal_muscle_markers	20990	20	gene_grouped_kfold_audit	1	33584	8396	0.8888756550738447	0.8753839989314812	0.9752801760678704
remove_curated_20_skeletal_muscle_markers	20990	20	gene_grouped_kfold_audit	2	33584	8396	0.8881610290614579	0.8746495794953945	0.9749207351852704
remove_curated_20_skeletal_muscle_markers	20990	20	gene_grouped_kfold_audit	3	33584	8396	0.8951881848499286	0.8835362625727898	0.9779282473266496
remove_curated_20_skeletal_muscle_markers	20990	20	gene_grouped_kfold_audit	4	33584	8396	0.8920914721295855	0.8797132235793946	0.9764492313656473
remove_curated_20_skeletal_muscle_markers	20990	20	gene_grouped_kfold_audit	5	33584	8396	0.8928060981419723	0.8803827751196173	0.9768689620797673
