filter_name	genes_kept	genes_removed	scheme	fold	train_rows	test_rows	accuracy	f1	roc_auc
baseline_all_genes	21010	0	random_kfold_glare	1	33616	8404	0.8906473108043789	0.8982844493635861	0.9774967295588929
baseline_all_genes	21010	0	random_kfold_glare	2	33616	8404	0.8921941932413137	0.8803486529318542	0.9765456415719145
baseline_all_genes	21010	0	random_kfold_glare	3	33616	8404	0.8869585911470729	0.8972972972972973	0.976498172142988
baseline_all_genes	21010	0	random_kfold_glare	4	33616	8404	0.8876725368871966	0.877147319104633	0.9756994162594536
baseline_all_genes	21010	0	random_kfold_glare	5	33616	8404	0.8823179438362685	0.8686761386270083	0.9746879262576134
baseline_all_genes	21010	0	gene_grouped_kfold_audit	1	33616	8404	0.8896953831508805	0.8769414575866189	0.9755461690575487
baseline_all_genes	21010	0	gene_grouped_kfold_audit	2	33616	8404	0.8918372203712518	0.8795228628230616	0.9765644450717128
baseline_all_genes	21010	0	gene_grouped_kfold_audit	3	33616	8404	0.8935030937648739	0.8816294140986642	0.977134933366197
baseline_all_genes	21010	0	gene_grouped_kfold_audit	4	33616	8404	0.8885054735840077	0.8750166733360011	0.9750474094858843
baseline_all_genes	21010	0	gene_grouped_kfold_audit	5	33616	8404	0.8927891480247501	0.8802339492223847	0.9769330565146445
