gene_list	rank	go	description	category	logp	logq	enrichment	hits
FLT_cluster_05	1	mmu05012	Parkinson disease - Mus musculus (house mouse)	KEGG Pathway	-31.0	-28.0	4.3	Atf4|Atp5mc1|Bcl2l1|Calm3|Cox5b|Cox6a1|Cox8a|Gnai2|Slc39a7|Itpr2|Psmd7|Ndufa2|Ndufv1|Prkaca|Plcg1|Psmb1|Psmb5|Psmb6|Psmc1|Psmc2|Psmc3|Psmc5|Psmd4|Sem1|Cox7a2l|Psmd2|Psmd3|Tuba1b|Tuba4a|Tuba1c|Tubb2a|Tubb5|Uba52|Ube2l3|Uba1|Ube2g2|Uqcrq|Uqcrc1|Psmc4|Psmd13|Psma7|Psmb2|Psmb3|Keap1|Ndufa1|Adrm1|Txn2|Psmd8|Park7|Atp5f1d|Sdhc|Ndufa3|Ndufa9|Uqcr10|Ndufa12|Ndufa7|Cyc1|Ndufb3|Uqcr11|Atp5f1e|Psmd9|Ndufa13|Ndufb8|Ndufa10|Sdhb|Trap1|Ndufa5|Ndufa8|Pink1|Psmd11|Klc4|Ndufs7|Ndufv3|Ern1|Ndufb11|Ppif|Mfn2|Ndufs8|Ndufs2|Tubb4b|Ndufs6|Ndufs5
FLT_cluster_05	2	mmu05022	Pathways of neurodegeneration - multiple diseases - Mus musculus (house mouse)	KEGG Pathway	-28.0	-25.0	3.2	App|Araf|Atf4|Atp5mc1|Bcl2l1|Calm3|Capn2|Ccs|Cox5b|Cox6a1|Cox8a|Csnk2b|Dvl1|Hsd17b10|Hras|Itpr2|Lrp5|Rab8a|Psmd7|Ndufa2|Ndufv1|Nfkb1|Sigmar1|Plcg1|Psen2|Psmb1|Psmb5|Psmb6|Psmc1|Psmc2|Psmc3|Psmc5|Psmd4|Rela|Sem1|Cox7a2l|Sptbn2|Psmd2|Tnfrsf1a|Psmd3|Tuba1b|Tuba4a|Tuba1c|Tubb2a|Tubb5|Uba52|Ube2l3|Uba1|Ube2g2|Ulk1|Uqcrq|Uqcrc1|Psmc4|Psmd13|Map2k2|Map2k3|Mapk14|Psma7|Psmb2|Psmb3|Actr1a|Ndufa1|Adrm1|Vapb|Mtor|Psmd8|Park7|Atp5f1d|Sdhc|Ndufa3|Ndufa9|Uqcr10|Ndufa12|Ndufa7|Cyc1|Ndufb3|Uqcr11|Atp5f1e|Psmd9|Ndufa13|Ndufb8|Ndufa10|Map1lc3b|Sdhb|Trap1|Ndufa5|Ndufa8|Pink1|Psmd11|Dctn2|Als2|Klc4|Wipi2|Ndufs7|Atg2b|Ndufv3|Ern1|Ndufb11|Ppif|Raf1|Mfn2|Zfyve1|Ndufs8|Ndufs2|Actr1b|Tubb4b|Ambra1|Atg2a|Ndufs6|Ndufs5
FLT_cluster_05	3	R-MMU-72766	Translation	Reactome Gene Sets	-27.0	-24.0	3.9	Psmd7|Mrpl49|Psmb1|Psmb5|Psmb6|Psmc1|Psmc2|Psmc3|Psmc5|Rpl18|Rpl37a|Rpl36a|Rps14|Rps15|Rps16|Rps19|Rps5|Psmd2|Psmd3|Uba52|Eif4h|Psmc4|Psmd13|Psma7|Psmb2|Psmb3|Rpl8|Rps26|Mrpl17|Mrpl2|Eif3b|Mrps7|Eif3g|Rps28|Eif3i|Eif3d|Rplp1|Mrpl12|Adrm1|Psmd8|Mrpl38|Aurkaip1|Eif3f|Mrps16|Mrps21|Mrpl11|Mrpl20|Rps21|Rpl36al|Mrpl51|Eef1d|Tcf25|Mrps18b|Rpl11|Rps10|Rpl14|Eef1g|Mrpl42|Rpl37|Rps20|Elob|Ppa1|Eif3h|Mrps18a|Mrpl28|Psmd11|Eif3k|Rpl18a|Rps9|Mrps5|Mrpl27|Mrpl10|Mrpl41|Zfp598|Srp68|Eif3l|Eif2b5|Apeh|Rps15a|Rpl13
FLT_cluster_05	4	mmu05016	Huntington disease - Mus musculus (house mouse)	KEGG Pathway	-26.0	-24.0	3.8	Ap2a2|Ap2m1|Atp5mc1|Clta|Cox5b|Cox6a1|Cox8a|Creb3|Psmd7|Ndufa2|Ndufv1|Psmb1|Psmb5|Psmb6|Psmc1|Psmc2|Psmc3|Psmc5|Psmd4|Sem1|Cox7a2l|Psmd2|Tgm2|Psmd3|Tuba1b|Tuba4a|Tuba1c|Tubb2a|Tubb5|Ulk1|Uqcrq|Uqcrc1|Psmc4|Psmd13|Psma7|Psmb2|Psmb3|Actr1a|Ndufa1|Adrm1|Mtor|Psmd8|Atp5f1d|Sdhc|Ndufa3|Ndufa9|Uqcr10|Ndufa12|Ndufa7|Cyc1|Polr2l|Ndufb3|Uqcr11|Atp5f1e|Psmd9|Ndufa13|Ndufb8|Ndufa10|Sdhb|Ndufa5|Ndufa8|Psmd11|Dctn2|Cltb|Klc4|Wipi2|Ndufs7|Atg2b|Ndufv3|Ern1|Ndufb11|Ppif|Creb3l3|Ndufs8|Ndufs2|Actr1b|Tubb4b|Ambra1|Atg2a|Ndufs6|Ndufs5
FLT_cluster_05	5	mmu05014	Amyotrophic lateral sclerosis - Mus musculus (house mouse)	KEGG Pathway	-26.0	-24.0	3.5	Actg1|Anxa11|Atf4|Atp5mc1|Bcl2l1|Ccs|Cox5b|Cox6a1|Cox8a|Rab8a|Psmd7|Ndufa2|Ndufv1|Sigmar1|Pfn1|Psmb1|Psmb5|Psmb6|Psmc1|Psmc2|Psmc3|Psmc5|Psmd4|Sem1|Cox7a2l|Psmd2|Tnfrsf1a|Psmd3|Tuba1b|Tuba4a|Tuba1c|Tubb2a|Tubb5|Ulk1|Uqcrq|Uqcrc1|Psmc4|Psmd13|Map2k3|Mapk14|Psma7|Psmb2|Psmb3|Actr1a|Ndufa1|Nup210|Adrm1|Vapb|Mtor|Psmd8|Atp5f1d|Sdhc|Ndufa3|Ndufa9|Uqcr10|Ndufa12|Ndufa7|Cyc1|Ndufb3|Uqcr11|Atp5f1e|Psmd9|Ndufa13|Ndufb8|Ndufa10|Map1lc3b|Sdhb|Ndufa5|Ndufa8|Pink1|Psmd11|Dctn2|Als2|Klc4|Wipi2|Ndufs7|Atg2b|Ndufv3|Ern1|Ubqln4|Chchd10|Ndufb11|Sec13|Ndufs8|Ndufs2|Actr1b|Tubb4b|Ambra1|Atg2a|Ndufs6|Ndufs5
FLT_cluster_06	1	GO:0030031	cell projection assembly	GO Biological Processes	-8.9	-7.7	2.2	Aif1|Cep131|Capg|Cdh13|Ift81|Emp1|Emp3|Fscn1|Fgd1|Lpar1|Ajuba|Kcnj10|Kif3a|Nck2|P2rx7|Pmp22|Rab34|Rfx2|Sh3bp1|Fgd2|Ahi1|Arl6|Asb2|Dynlt2b|Ccdc28b|Ccdc159|Ift22|Bbs2|Tctn2|Tmem216|Rabl2|Iqcg|Rfx4|Dync2i2|Cep89|Tmem138|Cabcoco1|Rilpl1|Ift43|Cyfip2|Odad3|Armc9|Ift122|Cep41|Ttll3|Enkd1|Bbs4|Tmem17|Drc4|Prickle1|Wdr90|Dnaaf2|Tpgs1|Parvb|Dcdc2a|Cep78|Rsph4a|Wdr19|Wdpcp|Ablim2|B9d2|Cfap119|Dnai4|Ehd2|Sh3pxd2b|Ttll1|Tctn1
FLT_cluster_06	2	GO:0120031	plasma membrane bounded cell projection assembly	GO Biological Processes	-8.4	-7.2	2.1	Aif1|Cep131|Cdh13|Ift81|Emp1|Emp3|Fscn1|Fgd1|Lpar1|Ajuba|Kcnj10|Kif3a|Nck2|P2rx7|Pmp22|Rab34|Rfx2|Sh3bp1|Fgd2|Ahi1|Arl6|Asb2|Dynlt2b|Ccdc28b|Ccdc159|Ift22|Bbs2|Tctn2|Tmem216|Rabl2|Iqcg|Rfx4|Dync2i2|Cep89|Tmem138|Cabcoco1|Rilpl1|Ift43|Odad3|Armc9|Ift122|Cep41|Ttll3|Enkd1|Bbs4|Tmem17|Drc4|Prickle1|Wdr90|Dnaaf2|Tpgs1|Parvb|Dcdc2a|Cep78|Rsph4a|Wdr19|Wdpcp|Ablim2|B9d2|Cfap119|Dnai4|Ehd2|Sh3pxd2b|Ttll1|Tctn1
FLT_cluster_06	3	GO:0044782	cilium organization	GO Biological Processes	-6.1	-5.2	2.0	Cep131|Ift81|Kcnj10|Kif3a|Rab34|Rfx2|Tulp3|Ahi1|Arl6|Dynlt2b|Ccdc28b|Ccdc159|Ift22|Bbs2|Tctn2|Ccdc88c|Tmem216|Rabl2|Iqcg|Rfx4|Dync2i2|Cep89|Tmem138|Cabcoco1|Cfap126|Rilpl1|Ift43|Odad3|Armc9|Ift122|Cep41|Ttll3|Enkd1|Bbs4|Tmem17|Drc4|Prickle1|Wdr90|Dnaaf2|Tpgs1|Dcdc2a|Cep78|Rsph4a|Wdr19|Wdpcp|Cstpp1|Crocc|B9d2|Cfap119|Dnai4|Ehd2|Ttll1|Tctn1
FLT_cluster_06	4	GO:0060271	cilium assembly	GO Biological Processes	-5.8	-4.9	2.0	Cep131|Ift81|Kcnj10|Kif3a|Rab34|Rfx2|Ahi1|Arl6|Dynlt2b|Ccdc28b|Ccdc159|Ift22|Bbs2|Tctn2|Tmem216|Rabl2|Iqcg|Rfx4|Dync2i2|Cep89|Tmem138|Cabcoco1|Rilpl1|Ift43|Odad3|Armc9|Ift122|Cep41|Ttll3|Enkd1|Bbs4|Tmem17|Drc4|Prickle1|Wdr90|Dnaaf2|Tpgs1|Dcdc2a|Cep78|Rsph4a|Wdr19|Wdpcp|B9d2|Cfap119|Dnai4|Ehd2|Ttll1|Tctn1
FLT_cluster_06	5	GO:0030036	actin cytoskeleton organization	GO Biological Processes	-5.5	-4.7	1.8	Aif1|Capg|Capn3|Coro1a|Eln|Epb41l1|Epb41l4a|Evl|Fscn1|Fgd1|Gas7|Kcnc3|Limk1|Myo1f|Myo5a|Nck2|Pdgfa|Pmp22|Rac2|S100a9|Sh3bp1|Sptb|Src|Tnnt1|Dpysl3|Was|Twf2|Plek2|Tmod4|Pkp3|Fmnl1|Sh3kbp1|Asb2|Abi3|Cap2|Pdlim7|Rab13|Antxr1|Gulp1|Nos1ap|Ptk7|Syde1|Zbed3|Limch1|Rhoj|Myl9|Cdc42ep2|Coro2a|Tle6|Acap3|Parvb|Mical1|Pdlim2|Mylk3|Agap2|Acap1|Fhod3|Pgm5|Itpka|Micall2|Arhgap25|Kctd13|Coro2b|Myo1g|Ehd2|Fam107a|Tmsb15b1
FLT_cluster_07	1	GO:0000280	nuclear division	GO Biological Processes	-13.0	-11.0	3.4	Birc5|Aspm|Ccnb2|Ereg|Haspin|Kif4|Mybl1|Nek2|Uhrf1|Rad51|Rad54l|Sycp1|Ttk|Racgap1|Cdca8|Spag5|Ncapg|Msh4|Cenpk|Fignl1|Suv39h2|Tex12|Nuf2|Ndc80|Fbxo5|Sgo2a|Ube2c|Ckap2l|Tpx2|Map10|Knl1|Cenpi|Espl1|Nusap1|Kif22|Brdt|Rad51c|Kntc1|Kif15|Chtf18|Ncaph|Kif18a|Cenpe|Mcmdc2|Ccnb1|Nsl1|Rad54b
FLT_cluster_07	2	GO:0048285	organelle fission	GO Biological Processes	-12.0	-10.0	3.1	Birc5|Aspm|Ccnb2|Ereg|Haspin|Kif4|Mybl1|Nek2|Uhrf1|Rad51|Rad54l|Sycp1|Ttk|Racgap1|Cdca8|Spag5|Ncapg|Msh4|Cenpk|Fignl1|Suv39h2|Tex12|Nuf2|Ndc80|Fbxo5|Sgo2a|Ube2c|Ckap2l|Dram1|Tpx2|Map10|Knl1|Cenpi|Espl1|Nusap1|Kif22|Brdt|Rad51c|Kntc1|Kif15|Chtf18|Ncaph|Kif18a|Cenpe|Mcmdc2|Ccnb1|Nsl1|Rad54b
FLT_cluster_07	3	GO:0098813	nuclear chromosome segregation	GO Biological Processes	-11.0	-9.6	3.6	Birc5|Aspm|Ccnb2|Haspin|Kif4|Nek2|Uhrf1|Sycp1|Ttk|Racgap1|Cdca8|Spag5|Ncapg|Msh4|Cenpk|Tex12|Dsn1|Nuf2|Ndc80|Fbxo5|Sgo2a|Ckap2l|Tpx2|Map10|Knl1|Cenpi|Espl1|Nusap1|Kif22|Kntc1|Kif15|Ncaph|Kif18a|Cenpe|Mcmdc2|Ccnb1|Nsl1
FLT_cluster_07	4	GO:0007059	chromosome segregation	GO Biological Processes	-11.0	-9.1	3.1	Birc5|Bub1|Aspm|Ccnb2|Haspin|Kif4|Nek2|Uhrf1|Sycp1|Ttk|Racgap1|Cdca8|Spag5|Ncapg|Msh4|Diaph3|Cenpk|Tex12|Dsn1|Nuf2|Ndc80|Fbxo5|Sgo2a|Ckap2l|Esco2|Tpx2|Cenpn|Map10|Knl1|Cenpi|Espl1|Nusap1|Cdca2|Kif22|Kntc1|Kif15|Ncaph|Dlgap5|Kif18a|Cenpe|Mcmdc2|Ccnb1|Nsl1
FLT_cluster_07	5	GO:0000070	mitotic sister chromatid segregation	GO Biological Processes	-10.0	-8.8	4.4	Birc5|Kif4|Nek2|Uhrf1|Ttk|Racgap1|Cdca8|Spag5|Ncapg|Cenpk|Nuf2|Ndc80|Ckap2l|Tpx2|Map10|Knl1|Cenpi|Espl1|Nusap1|Kif22|Kntc1|Kif15|Ncaph|Kif18a|Cenpe|Ccnb1|Nsl1
FLT_cluster_08	1	GO:0006366	transcription by RNA polymerase II	GO Biological Processes	-11.0	-9.7	3.1	Apex1|Anxa2|Cdk11b|Ell|Ercc3|Foxa2|Ldb1|Maz|Men1|Phf2|Rara|Polr2c|Polr2j|Rxrb|Smarcb1|Stat5a|Med22|Taf6|Hnf1a|Vps72|Tfdp1|Thra|Trp53|Med24|Nelfe|Sart3|Rbm14|Gtf2ird1|Nelfcd|Nelfb|Med29|Trmt112|Ints1|Rpap1|Znhit1|Ints11|Sgf29|Med25|Med15|Gtf2f1|Phrf1|Cdk9|Ints5|Sirt7|Arrb2|Ints15|Setd1a
FLT_cluster_08	2	GO:0006351	DNA-templated transcription	GO Biological Processes	-9.6	-8.3	2.5	Apex1|Anxa2|Cdk11b|Ell|Ercc3|Foxa2|Ldb1|Lipe|Zbtb7a|Maz|Men1|Phf2|Rara|Polr1c|Polr2c|Polr2j|Rxrb|Smarcb1|Stat5a|Med22|Taf6|Hnf1a|Vps72|Tfdp1|Thra|Traf3|Trp53|Med24|Nelfe|Sart3|Rbm14|Gtf2ird1|Nelfcd|Nelfb|Med29|Gtf3c6|Xab2|Trmt112|Ints1|Rpap1|Znhit1|Ints11|Brf1|Sgf29|Med25|Med15|Gtf2f1|Phrf1|Cdk9|Ints5|Sirt7|Polrmt|Arrb2|Ints15|Setd1a|Fubp3
FLT_cluster_08	3	GO:0006364	rRNA processing	GO Biological Processes	-8.5	-7.3	3.3	Bop1|Fbl|Sart1|Exosc10|Nhp2|Bysl|Wdr46|Myg1|Bud23|Rexo1|Trmt112|Rbfa|Pih1d1|Ngdn|Ebna1bp2|Pin4|Ddx54|Rrp7a|Nat10|Wdr74|Slx9|Nop2|Pwp2|Eri3|Tbl3|Kri1|Rrp36|Spout1|Ddx27|Nol6|Ddx49
FLT_cluster_08	4	GO:0016072	rRNA metabolic process	GO Biological Processes	-8.3	-7.1	3.1	Bop1|Fbl|Sart1|Trp53|Exosc10|Nhp2|Bysl|Wdr46|Myg1|Bud23|Rexo1|Trmt112|Trir|Rbfa|Pih1d1|Ngdn|Ebna1bp2|Pin4|Ddx54|Rrp7a|Nat10|Wdr74|Slx9|Nop2|Pwp2|Eri3|Sirt7|Tbl3|Kri1|Rrp36|Spout1|Ddx27|Nol6|Ddx49
FLT_cluster_08	5	GO:0042254	ribosome biogenesis	GO Biological Processes	-8.3	-7.1	2.8	Bop1|Fbl|Sart1|Nop16|Exosc10|Nhp2|Mtg2|Bysl|Wdr46|Noc2l|Myg1|Bud23|Rexo1|Nop56|Trmt112|Rbfa|Pih1d1|Ngdn|Ebna1bp2|Pin4|Ddx54|Rrp7a|Ipo4|Ngrn|Nat10|Wdr74|Slx9|Nop2|Pwp2|Eri3|Mtg1|Tbl3|Kri1|Lsg1|Rrp36|Spout1|Ddx27|Nol6|Ddx49
FLT_cluster_09	1	R-MMU-9843940	Regulation of endogenous retroelements by KRAB-ZFP proteins	Reactome Gene Sets	-19.0	-17.0	7.4	H3c14|H2ac18|Zfp54|H4c8|Zfp995|Zfp383|H3c15|H4c14|Zfp979|Zfp947|H3c3|H3c2|H3c10|H3c11|H3c13|H4c6|H4c11|H4c12|H4c18|H2ac4|H2bc3|H2bc7|H2bc11|H2bc12|H2bc13|H2bc15|H4c1|Zfp992|Gm6710|Zfp991|H4c17|Zfp984
FLT_cluster_09	2	R-MMU-9842860	Regulation of endogenous retroelements	Reactome Gene Sets	-19.0	-17.0	7.4	H3c14|H2ac18|Zfp54|H4c8|Zfp995|Zfp383|H3c15|H4c14|Zfp979|Zfp947|H3c3|H3c2|H3c10|H3c11|H3c13|H4c6|H4c11|H4c12|H4c18|H2ac4|H2bc3|H2bc7|H2bc11|H2bc12|H2bc13|H2bc15|H4c1|Zfp992|Gm6710|Zfp991|H4c17|Zfp984
FLT_cluster_09	3	R-MMU-2299718	Condensation of Prophase Chromosomes	Reactome Gene Sets	-17.0	-15.0	8.7	Cdk1|H3c14|H2ac18|H4c8|Ncapg2|H3c15|H4c14|H3c3|H3c2|H3c10|H3c11|H3c13|H4c6|H4c11|H4c12|H4c18|H2ac4|H2bc3|H2bc7|H2bc11|H2bc12|H2bc13|H2bc15|H4c1|H4c17
FLT_cluster_09	4	mmu05322	Systemic lupus erythematosus - Mus musculus (house mouse)	KEGG Pathway	-16.0	-14.0	6.2	Cd86|Fcgr1|H2-DMb1|H3c14|H2ac18|H4c8|H3c15|H4c14|Fcgr4|C1s2|H3c3|H3c2|H3c10|H3c11|H3c13|H4c6|H4c11|H4c12|H4c18|H2ac25|H2ac4|H2bc3|H2bc7|H2bc11|H2bc12|H2bc13|H2bc14|H2bc15|H4c1|C1rb|H4c17|H2-Ea
FLT_cluster_09	5	R-MMU-9909649	Regulation of PD-L1(CD274) transcription	Reactome Gene Sets	-16.0	-14.0	8.7	H3c14|H2ac18|H4c8|H3c15|H4c14|H3c3|H3c2|H3c10|H3c11|H3c13|H4c6|H4c11|H4c12|H4c18|H2ac4|H2bc3|H2bc7|H2bc11|H2bc12|H2bc13|H2bc15|H4c1|H4c17
FLT_cluster_10	1	R-MMU-1280218	Adaptive Immune System	Reactome Gene Sets	-12.0	-10.0	2.3	Ap1g1|Cd36|Cdc42|Csnk2a1|Ctsc|Cxadr|Trip12|H3f3b|Herc2|Itch|Itgav|Stt3a|Itpr1|Kif5b|Anapc1|Mrc1|Pdpk1|Pik3ca|Pik3r1|Prkacb|Ppp2ca|Psma2|Psmb7|Psme1|Ptprj|Rab7|Rbbp4|Rlim|Rnf4|Sec23a|Sos1|Spop|Tpp2|Ube2b|Ube2h|Ube3a|Ywhaz|Psma1|Psma4|Psma6|Cul3|Ppp2r5e|Cul1|Bcap31|Ywhab|Rapgef4|Ube2d2a|Gsk3b|Rnf14|Rnf130|Osbpl1a|Psmd12|Magt1|Psmc6|Herc4|Ube2r2|Derl1|H2bc4|Psmd1|Ap2b1|Sec24a|Ltn1|Erap1|Pik3ap1|Btbd1|Ube3c|Wwp1|Rap1a|Derl2|Ube4a|Dtx3l|Rap1b|Ubr2|Ppp2r5a|Ctso|Herc1|Lnpep|Klhl9|Znrf2
FLT_cluster_10	2	GO:0061024	membrane organization	GO Biological Processes	-12.0	-10.0	2.3	Ankfy1|Anxa7|Ap1g1|Rhoa|Cd2ap|Cdc42|Cdh2|Clcn3|Degs1|Dlg1|Gnai3|Npc1|Pafah1b1|Pdcd6ip|Pikfyve|Rab1a|Rab7|Rtn3|Sar1a|Sec23a|Vps4b|Vdac2|Cul3|Tomm70a|Reep3|Vapa|Arl6ip1|Atp8b1|Sh3glb1|Uso1|Atl2|Rab2a|Chchd3|Golph3|Chmp3|Ccdc47|Arl8b|Rer1|Tmem33|Cert1|Rab14|Tmed10|Rtn4|Tmco1|Afg3l2|Vcpip1|Emc7|Wasl|Dnm1l|Opa1|Bltp3b|Vmp1|Trappc8|Osbp|Immt|Sec24a|Stard7|Osbpl9|Pdzd8|Mims1|Atl3|Timd2|Mtss1|Vps41|Fcho2|Bltp1|Zmpste24|Tardbp|Wnk1|Picalm|Dnajc13|Atp2c1|Osbpl8|Tor1aip2|Gphn|Rab5a|Syne2|Vps13c
FLT_cluster_10	3	GO:0061013	regulation of mRNA catabolic process	GO Biological Processes	-12.0	-10.0	3.9	Zfp36l1|Noct|Cryz|Celf1|Dhx9|Fxr1|Hnrnpab|Npm1|Pabpc1|Qki|Rock1|Rock2|Tob1|Ybx1|Syncrip|Lrpprc|Zc3h14|Zc3hav1|Pum2|Cul4a|Srsf1|Dicer1|Tnrc6b|Tut7|Larp4b|Paip1|Gigyf2|Ythdf3|Thrap3|Tardbp|Cnot6l|Tnrc6a|Cnot1|Rbm47|Alkbh5|Rc3h1
FLT_cluster_10	4	GO:0010496	intercellular transport	GO Biological Processes	-12.0	-10.0	2.3	Abcb7|Ankfy1|Ap1g1|Atp6v1a|Clcn3|Eps15|Evi5|Sfxn1|Hif1a|Hspa4|Kpnb1|Itgav|Itpr1|Kpna1|Kpna4|Lyst|M6pr|Npc1|Npm1|Pex7|Pik3r1|Pikfyve|Rab1a|Rab6a|Rab7|Ran|Sar1a|Sec23a|Vps4b|Vdac1|Ywhae|Cul3|Bcap31|Washc2|Tomm70a|Vps26a|Vapa|Copb2|Hnrnpa2b1|Ap3m1|Uso1|Txnip|Gsk3b|Osbpl1a|Vps35|Xpo7|Tmed7|Chmp3|Mfsd1|Mon2|Arl8b|Ergic2|Derl1|Tomm20|Rab14|Tmed10|Afg3l2|Copb1|Mpc2|Spag9|Pex13|Tmed5|Opa1|Bltp3b|Akap13|Trappc8|Sec24a|Hook1|Ibtk|Tpr|Trip11|Derl2|Dtx3l|Arcn1|Vps41|Ric1|Ahcyl1|Ipo7|Tnpo1|Rab5a|Ipo8|Tnpo3
FLT_cluster_10	5	GO:1903311	regulation of mRNA metabolic process	GO Biological Processes	-11.0	-9.9	3.1	Zfp36l1|Noct|Cryz|Celf1|Dhx9|Fxr1|Hnrnpc|Hnrnpab|Npm1|Pabpc1|Qki|Rock1|Rock2|Srsf5|Eif1|Tob1|Ybx1|Hnrnpa2b1|Syncrip|Mbnl1|Rbm25|Ddx17|Srsf6|Lrpprc|Zc3h14|Zc3hav1|Pum2|Cul4a|Mbnl2|Srsf1|Rbm39|Dicer1|Tnrc6b|Tut7|Larp4b|Paip1|Gigyf2|Ythdf3|Ahcyl1|Ptbp3|Thrap3|Tardbp|Cnot6l|Tnrc6a|Cnot1|Rbm47|Alkbh5|Rc3h1
FLT_cluster_11	1	GO:0044282	small molecule catabolic process	GO Biological Processes	-61.0	-57.0	7.8	Acadm|Acadvl|Acox1|Adh1|Adh5|Aldh1a1|Aldh2|Mat1a|Apoe|Arg1|Ass1|Cbs|Cdo1|Ces1g|Cpt1a|Cyp4a14|Cyp7a1|Eno1|Ces1c|Esd|Fabp1|Fah|Lpin1|Gapdh|Glul|Glud1|Gnmt|Got1|Got2|Gstz1|Gk|Hadh|Hal|Hao1|Hgd|Hpd|Hsd17b4|Khk|Ldha|Phyh|Oat|Otc|Pah|Pcx|Pgk1|Pon1|Pipox|Pten|Abcd3|Sord|Shmt1|Uox|Xdh|Eci2|Decr2|Slc27a2|Aass|Acaa2|Abhd2|Tdo2|Hacl1|Akr1a1|Hibadh|Cyp4f14|Lpin2|Etfdh|Decr1|Nudt7|Dhdh|Crot|Ehhadh|Sult2a8|Echs1|Hadha|Kmo|Dpyd|Hsd3b7|Acad11|Upb1|Cyp27a1|Ces1d|Aldh6a1|Aldh1l1|Haao|Gpt2|Glo1|Acat1|Aldh7a1|Etfa|Akr1d1|Aldh4a1|Kyat3|Aldob|Hadhb|Ces1f|Tat|Acaa1b|Uroc1|Abat|Gcdh
FLT_cluster_11	2	GO:0032787	monocarboxylic acid metabolic process	GO Biological Processes	-57.0	-53.0	6.0	Acadm|Acadvl|Acox1|Adh1|Adh5|Aldh1a1|Apoe|Baat|Ces1g|Abcc2|Comt|Cp|Cpt1a|Cyp1a2|Cyp2a12|Cyp2a5|Cyp2c29|Cyp2c37|Cyp2d10|Cyp2e1|Cyp2f2|Cyp2j5|Cyp3a11|Cyp4a14|Cyp7a1|Dbi|Eno1|Ephx2|Ces1c|Fabp2|Fabp1|Acsl1|Fah|Fasn|Lpin1|Gapdh|Gpam|Gpx1|Gstm1|Hadh|Hao1|Hsd17b4|Khk|Ldha|Lipa|Phyh|Mttp|Pgk1|Pklr|Por|Abcd3|Scd1|Sord|Eci2|Decr2|Slc27a2|Slc27a5|Abcb11|Angptl3|Acaa2|Elovl2|Abhd2|Mpc1|Mtch2|Fads2|Hacl1|Hacd3|Akr1a1|Cyp4f14|Lpin2|Etfdh|Pnpla8|Decr1|Nudt7|Adipor2|Elovl5|Ubr4|Ugt2a3|Crot|Ehhadh|Errfi1|Acbd5|Fads1|Cyp2d26|Sult2a8|Akr1c6|Echs1|Hadha|Kmo|Cyp4v3|Acad11|Cyp27a1|Acly|Ces1d|Akr1c14|Cyp2c50|Glyat|Acaca|Cyb5a|Acat1|Etfa|Acsm1|Akr1d1|Cyp2c70|Kyat3|Aldob|Hadhb|Ces1f|Acaa1b|Aldh8a1|Gcdh|Cyp2c54|Cyp2c68|Acsl5|Cyp2c67
FLT_cluster_11	3	GO:0046395	carboxylic acid catabolic process	GO Biological Processes	-52.0	-49.0	9.2	Acadm|Acadvl|Acox1|Mat1a|Arg1|Ass1|Cbs|Cdo1|Ces1g|Cpt1a|Cyp4a14|Ces1c|Fabp1|Fah|Lpin1|Glul|Glud1|Gnmt|Got1|Got2|Gstz1|Hadh|Hal|Hao1|Hgd|Hpd|Hsd17b4|Ldha|Phyh|Oat|Otc|Pah|Pcx|Pon1|Pipox|Abcd3|Sord|Shmt1|Eci2|Decr2|Slc27a2|Aass|Acaa2|Abhd2|Tdo2|Hacl1|Akr1a1|Hibadh|Cyp4f14|Lpin2|Etfdh|Decr1|Nudt7|Crot|Ehhadh|Sult2a8|Echs1|Hadha|Kmo|Acad11|Ces1d|Aldh6a1|Aldh1l1|Haao|Gpt2|Acat1|Aldh7a1|Etfa|Aldh4a1|Kyat3|Hadhb|Ces1f|Tat|Acaa1b|Uroc1|Abat|Gcdh
FLT_cluster_11	4	GO:0006631	fatty acid metabolic process	GO Biological Processes	-47.0	-43.0	6.6	Acadm|Acadvl|Acox1|Adh5|Apoe|Baat|Ces1g|Comt|Cp|Cpt1a|Cyp1a2|Cyp2a12|Cyp2a5|Cyp2c29|Cyp2c37|Cyp2d10|Cyp2e1|Cyp2f2|Cyp2j5|Cyp4a14|Dbi|Ephx2|Ces1c|Fabp2|Fabp1|Acsl1|Fasn|Lpin1|Gpam|Gpx1|Gstm1|Hadh|Hao1|Hsd17b4|Lipa|Phyh|Por|Abcd3|Scd1|Eci2|Decr2|Slc27a2|Slc27a5|Abcb11|Angptl3|Acaa2|Elovl2|Abhd2|Fads2|Hacl1|Hacd3|Cyp4f14|Lpin2|Etfdh|Pnpla8|Decr1|Nudt7|Adipor2|Elovl5|Ubr4|Crot|Ehhadh|Acbd5|Fads1|Cyp2d26|Akr1c6|Echs1|Hadha|Cyp4v3|Acad11|Acly|Ces1d|Akr1c14|Cyp2c50|Acaca|Cyb5a|Acat1|Etfa|Acsm1|Cyp2c70|Hadhb|Ces1f|Acaa1b|Gcdh|Cyp2c54|Cyp2c68|Acsl5|Cyp2c67
