gene_list	rank	go	description	category	logp	logq	enrichment	hits
FLT_cluster_03	1	GO:0003341	cilium movement	GO Biological Processes	-12.0	-10.0	2.9	Ddx4|Tekt1|Rsph1|Tekt2|Atp1a4|Spag6l|Spag16|Clxn|Catsperz|Saxo4|Cimip2a|Dnaaf1|Efcab9|Garin2|Tssk4|Tmem217|Rsph14|Dnaaf19|Spmip8|Capstert|Slc9b1|Kif27|Nme5|Dnali1|Cfap70|Catsperg2|Catsper3|Ccdc183|Tssk6|Meig1|Mycbpap|H1f6|Dnah1|Zmynd10|Efhb|Cfap44|Iqub|Eno4|Cfap157|Klc3|Dnah9|Hydin|Nphp4|Catsperb|Spef2|Cimip2b|Catsper4|Dnah6|Zmynd12|Tektip1|Catsperh|Dnaaf3|Nek10
FLT_cluster_03	2	GO:0030001	metal ion transport	GO Biological Processes	-11.0	-9.5	2.0	Asic2|Chrnd|Chrne|Chrng|Cacna1b|Cacna1g|Cnga1|Tmc1|Fgf13|Fkbp1b|Glp1r|Gp5|Grin2a|Grin2c|Grin2d|Hcn2|Hrh1|Htr2a|Kcna3|Kcna4|Kcnd1|Kcnd2|Kcnh1|Kcnj3|Kcnj6|Kcnj9|Kcnk2|Kcnk7|Kcns1|Ltf|Bhlha15|Oprm1|P2rx1|P2rx6|Scn1a|Ccl3|Ccl8|Slc6a2|Trpc4|Trpc5|Cdh23|Vdr|Slc6a18|Atp1a4|Ankrd22|Cacng3|Cacng4|Cacna1f|Ramp3|Kcnj1|Kcnd3|Cacna2d2|Trpm5|Htr3b|Kcne4|Cacna1h|Kcnmb4|Mcub|Atp1b4|Kcnip1|Ano9|Kcnmb2|Capstert|Slc6a21|Catsper3|Cacng8|Kcnb2|Slc6a20a|Slc6a15|Slc6a5|Slc9a3|Fxyd4|Slc5a10|Chrna3|Kcnn3|Asic3|Trpm8|Trpv1|Slc38a5|Slc24a1|Slc5a8|Atp13a4|Kcnt1|Slc30a2|Slc4a5|Slc5a11|Kcns3|Slc30a8|Cacna1i|Slc6a7|Kcng2|Slc5a12|Slc5a2|Slc4a11|Plch1|Nalf1|Unc80|Catsper4
FLT_cluster_03	3	GO:0060294	cilium movement involved in cell motility	GO Biological Processes	-11.0	-9.4	3.0	Ddx4|Tekt1|Rsph1|Tekt2|Atp1a4|Spag6l|Spag16|Catsperz|Saxo4|Cimip2a|Efcab9|Garin2|Tssk4|Tmem217|Rsph14|Spmip8|Capstert|Slc9b1|Nme5|Dnali1|Cfap70|Catsperg2|Catsper3|Ccdc183|Tssk6|Meig1|Mycbpap|H1f6|Dnah1|Efhb|Cfap44|Iqub|Eno4|Cfap157|Klc3|Dnah9|Nphp4|Catsperb|Spef2|Cimip2b|Catsper4|Dnah6|Zmynd12|Tektip1|Catsperh
FLT_cluster_03	4	GO:0001539	cilium or flagellum-dependent cell motility	GO Biological Processes	-10.0	-9.1	2.9	Ddx4|Tekt1|Rsph1|Tekt2|Atp1a4|Spag6l|Spag16|Catsperz|Saxo4|Cimip2a|Efcab9|Garin2|Tssk4|Tmem217|Rsph14|Spmip8|Capstert|Slc9b1|Nme5|Dnali1|Cfap70|Catsperg2|Catsper3|Ccdc183|Tssk6|Meig1|Mycbpap|H1f6|Dnah1|Efhb|Cfap44|Iqub|Eno4|Cfap157|Klc3|Dnah9|Nphp4|Catsperb|Spef2|Cimip2b|Catsper4|Dnah6|Zmynd12|Tektip1|Catsperh
FLT_cluster_03	5	GO:0060285	cilium-dependent cell motility	GO Biological Processes	-10.0	-9.1	2.9	Ddx4|Tekt1|Rsph1|Tekt2|Atp1a4|Spag6l|Spag16|Catsperz|Saxo4|Cimip2a|Efcab9|Garin2|Tssk4|Tmem217|Rsph14|Spmip8|Capstert|Slc9b1|Nme5|Dnali1|Cfap70|Catsperg2|Catsper3|Ccdc183|Tssk6|Meig1|Mycbpap|H1f6|Dnah1|Efhb|Cfap44|Iqub|Eno4|Cfap157|Klc3|Dnah9|Nphp4|Catsperb|Spef2|Cimip2b|Catsper4|Dnah6|Zmynd12|Tektip1|Catsperh
FLT_cluster_04	1	GO:0007267	cell-cell signaling	GO Biological Processes	-8.5	-7.3	1.9	Ache|Chrna1|Adam8|Adcyap1|Adora2a|Apba2|Cacnb3|Camk4|Cdk5r1|Chrm1|Chrm3|Ccr1|Cnih2|Dhh|Drp2|Edn1|Gabrb1|Gabre|Gja5|Glra4|Glrb|Gria2|Gria4|Grin1|Hoxa5|Hrh2|Kcnq1|Kcnq2|Lrp8|Ly6c1|Nfe2|Nodal|Npy1r|Nrxn2|Nsg1|Ntf3|Pdgfb|Pomc|Ryr2|Cx3cl1|Sez6|Sh2d1a|Shh|Snap91|Stx1a|Syn1|Syp|Syt4|Tpbg|Cadps|Xlr4b|Snord32a|Cabp1|Pdlim4|Mpp2|Npff|Slc12a5|Gabrq|Ghrl|Doc2g|Trpv4|Cntnap2|Ly6m|Wnk4|Fgfbp3|Lypd1|Cnih3|Sv2c|Syt13|C1qtnf3|Trim9|Chrnb4|Chrnb3|Glra3|Rims2|Gjc2|Rac3|P2rx3|Phf24|Ffar1|Grin3a|Nlgn3|Rph3al|Brsk1|Gja6|Xlr4a
FLT_cluster_04	2	GO:0098916	anterograde trans-synaptic signaling	GO Biological Processes	-7.5	-6.4	2.2	Chrna1|Adora2a|Apba2|Cacnb3|Camk4|Chrm1|Chrm3|Cnih2|Gabrb1|Gabre|Glra4|Glrb|Gria2|Gria4|Grin1|Hrh2|Kcnq2|Lrp8|Nrxn2|Nsg1|Ntf3|Cx3cl1|Sez6|Snap91|Stx1a|Syn1|Syp|Syt4|Tpbg|Cadps|Pdlim4|Mpp2|Npff|Slc12a5|Gabrq|Ghrl|Doc2g|Cntnap2|Lypd1|Cnih3|Sv2c|Syt13|Trim9|Chrnb4|Chrnb3|Glra3|Rims2|Rac3|P2rx3|Grin3a|Nlgn3|Rph3al|Brsk1
FLT_cluster_04	3	GO:0007268	chemical synaptic transmission	GO Biological Processes	-7.5	-6.4	2.2	Chrna1|Adora2a|Apba2|Cacnb3|Camk4|Chrm1|Chrm3|Cnih2|Gabrb1|Gabre|Glra4|Glrb|Gria2|Gria4|Grin1|Hrh2|Kcnq2|Lrp8|Nrxn2|Nsg1|Ntf3|Cx3cl1|Sez6|Snap91|Stx1a|Syn1|Syp|Syt4|Tpbg|Cadps|Pdlim4|Mpp2|Npff|Slc12a5|Gabrq|Ghrl|Doc2g|Cntnap2|Lypd1|Cnih3|Sv2c|Syt13|Trim9|Chrnb4|Chrnb3|Glra3|Rims2|Rac3|P2rx3|Grin3a|Nlgn3|Rph3al|Brsk1
FLT_cluster_04	4	GO:0099536	synaptic signaling	GO Biological Processes	-7.4	-6.3	2.1	Ache|Chrna1|Adora2a|Apba2|Cacnb3|Camk4|Cdk5r1|Chrm1|Chrm3|Cnih2|Drp2|Gabrb1|Gabre|Glra4|Glrb|Gria2|Gria4|Grin1|Hrh2|Kcnq2|Lrp8|Ly6c1|Npy1r|Nrxn2|Nsg1|Ntf3|Cx3cl1|Sez6|Snap91|Stx1a|Syn1|Syp|Syt4|Tpbg|Cadps|Cabp1|Pdlim4|Mpp2|Npff|Slc12a5|Gabrq|Ghrl|Doc2g|Cntnap2|Ly6m|Lypd1|Cnih3|Sv2c|Syt13|C1qtnf3|Trim9|Chrnb4|Chrnb3|Glra3|Rims2|Rac3|P2rx3|Grin3a|Nlgn3|Rph3al|Brsk1
FLT_cluster_04	5	GO:0060078	regulation of postsynaptic membrane potential	GO Biological Processes	-7.0	-5.9	3.3	Chrna1|Adcyap1|Adora2a|Chrm1|Gabrb1|Gabre|Glra4|Glrb|Gria2|Gria4|Grin1|Hcn1|Kcnk1|Cx3cl1|Sez6|Mpp2|Npff|Ghrl|Cntnap2|Chrnb4|Chrnb3|Glra3|P2rx3|Grin3a|Nlgn3
