profile	id.accession	investigation.study.comment.project type	investigation.study assays.study assay technology type	source_profile_index	condition_inferred	official_sample_name	official_source_name	official_material_type	official_tissue_type	official_tissue	sample_name_tissue_inferred	official_vs_inferred_match	tissue_final	tissue_source	official_sample_match_method	official_study_url	official_api_url	h5_accession	h5_sample_name	h5_accession_sample_name	project_identifier	project_type	assay_technology	source_name	material_type	tissue_type	spaceflight_factor	sex	strain	genotype	age_at_launch	age	duration	sample_preservation_method	library_selection	library_layout	sequencing_instrument	condition_label
RR8_LVR_FLT_ISS-T_OLD_FI16	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1663	flight	RR8_LVR_FLT_ISS-T_OLD_FI16	FL_ISS_16	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_OLD_FI16	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI16	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_16	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT
RR8_LVR_FLT_ISS-T_OLD_FI17	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1664	flight	RR8_LVR_FLT_ISS-T_OLD_FI17	FL_ISS_17	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_OLD_FI17	OSD-379_RR8_LVR_FLT_ISS-T_OLD_FI17	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_17	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT
RR8_LVR_FLT_ISS-T_YNG_FI10	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1669	flight	RR8_LVR_FLT_ISS-T_YNG_FI10	FL_ISS_10	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_YNG_FI10	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI10	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_10	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT
RR8_LVR_FLT_ISS-T_YNG_FI9	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1677	flight	RR8_LVR_FLT_ISS-T_YNG_FI9	FL_ISS_09	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_FLT_ISS-T_YNG_FI9	OSD-379_RR8_LVR_FLT_ISS-T_YNG_FI9	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	FL_ISS_09	Left Lobe of the Liver		Space Flight	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	FLT
RR8_LVR_GC_ISS-T_YNG_GI10	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1704	ground_control	RR8_LVR_GC_ISS-T_YNG_GI10	HC_ISS_10	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_GC_ISS-T_YNG_GI10	OSD-379_RR8_LVR_GC_ISS-T_YNG_GI10	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	HC_ISS_10	Left Lobe of the Liver		Ground Control	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	GC
RR8_LVR_GC_LAR_OLD_GL3	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1716	ground_control	RR8_LVR_GC_LAR_OLD_GL3	HC_LAR_03	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_GC_LAR_OLD_GL3	OSD-379_RR8_LVR_GC_LAR_OLD_GL3	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	HC_LAR_03	Left Lobe of the Liver		Ground Control	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	GC
RR8_LVR_GC_LAR_YNG_GL18	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1724	ground_control	RR8_LVR_GC_LAR_YNG_GL18	HC_LAR_18	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_GC_LAR_YNG_GL18	OSD-379_RR8_LVR_GC_LAR_YNG_GL18	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	HC_LAR_18	Left Lobe of the Liver		Ground Control	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	GC
RR8_LVR_GC_LAR_YNG_GL5	OSD-379	Spaceflight Study	RNA Sequencing (RNA-Seq)	1726	ground_control	RR8_LVR_GC_LAR_YNG_GL5	HC_LAR_05	Left Lobe of the Liver		liver	liver	True	liver	official_osdr_material_type	profile_to_sample	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379	OSD-379	RR8_LVR_GC_LAR_YNG_GL5	OSD-379_RR8_LVR_GC_LAR_YNG_GL5	RRRM-1 (RR-8)	Spaceflight Study	RNA Sequencing (RNA-Seq)	HC_LAR_05	Left Lobe of the Liver		Ground Control	Female	BALB/cAnNTac	Wild Type				Liquid Nitrogen	ribo-depletion	PAIRED	Illumina NovaSeq 6000	GC
