gene_id	gmm	hdbscan	spectral	consensus
ENSMUSG00000056035	16	0	12	5
ENSMUSG00000020000	6	0	2	3
ENSMUSG00000037946	1	0	10	1
ENSMUSG00000001656	20	1	4	6
ENSMUSG00000053146	20	0	5	0
ENSMUSG00000073982	1	0	0	1
ENSMUSG00000024393	0	0	3	3
ENSMUSG00000025433	20	0	16	0
ENSMUSG00000086552	20	0	7	0
ENSMUSG00000070972	17	0	2	4
ENSMUSG00000036139	20	0	7	0
ENSMUSG00000073768	1	1	14	8
ENSMUSG00000003573	1	0	14	1
ENSMUSG00000115744	1	0	14	1
ENSMUSG00000019920	17	0	2	4
ENSMUSG00000094892	20	0	5	0
ENSMUSG00000027495	8	0	3	3
ENSMUSG00000045989	20	0	4	0
ENSMUSG00000087424	1	0	14	1
ENSMUSG00000050328	20	0	1	0
ENSMUSG00000022705	20	0	4	0
ENSMUSG00000034543	21	0	19	2
ENSMUSG00000094734	20	0	6	0
ENSMUSG00000071753	20	0	14	0
ENSMUSG00000020919	0	0	3	3
ENSMUSG00000036214	21	0	19	2
ENSMUSG00000079069	20	0	16	0
ENSMUSG00000103116	20	0	6	0
ENSMUSG00000097368	1	0	14	1
ENSMUSG00000039230	17	0	2	4
ENSMUSG00000035713	1	0	14	1
ENSMUSG00000059995	21	0	19	2
ENSMUSG00000033831	3	0	12	5
ENSMUSG00000029730	1	0	0	1
ENSMUSG00000019841	9	0	2	4
ENSMUSG00000040543	20	0	18	0
ENSMUSG00000091537	24	0	3	3
ENSMUSG00000026420	20	0	4	0
ENSMUSG00000027550	1	0	0	1
ENSMUSG00000073971	20	0	16	0
ENSMUSG00000028607	8	0	3	3
ENSMUSG00000039210	21	0	19	2
ENSMUSG00000032231	21	0	19	2
ENSMUSG00000078593	20	0	6	0
ENSMUSG00000028165	9	0	2	4
ENSMUSG00000075273	1	0	0	1
ENSMUSG00000049618	20	0	1	0
ENSMUSG00000002496	0	0	3	3
ENSMUSG00000055692	20	0	5	0
ENSMUSG00000031160	20	0	9	0
ENSMUSG00000030983	0	0	3	3
ENSMUSG00000078640	20	0	4	0
ENSMUSG00000046675	1	0	0	1
ENSMUSG00000051811	20	0	18	0
ENSMUSG00000028651	1	0	0	1
ENSMUSG00000024425	23	0	12	5
ENSMUSG00000046613	20	0	16	0
ENSMUSG00000070501	1	0	14	1
ENSMUSG00000049612	20	1	14	6
ENSMUSG00000091996	20	0	5	0
ENSMUSG00000078038	20	0	6	0
ENSMUSG00000042216	1	0	10	1
ENSMUSG00000069036	20	0	4	0
ENSMUSG00000079407	20	1	7	6
ENSMUSG00000021823	17	0	2	4
ENSMUSG00000033808	21	0	19	2
ENSMUSG00000051098	21	0	0	2
ENSMUSG00000061633	20	0	4	0
ENSMUSG00000056870	1	0	10	1
ENSMUSG00000030093	20	0	4	0
ENSMUSG00000000194	21	0	2	2
ENSMUSG00000043207	0	0	3	3
ENSMUSG00000005667	1	0	14	1
ENSMUSG00000073830	11	0	12	5
ENSMUSG00000039703	0	0	3	3
ENSMUSG00000031068	24	0	3	3
ENSMUSG00000051154	24	0	3	3
ENSMUSG00000025487	17	0	2	4
ENSMUSG00000005354	8	0	3	3
ENSMUSG00000025892	20	0	5	0
ENSMUSG00000074071	17	0	2	4
ENSMUSG00000057182	20	0	14	0
ENSMUSG00000020390	24	0	3	3
ENSMUSG00000031131	20	0	8	0
ENSMUSG00000094612	20	0	8	0
ENSMUSG00000031283	20	0	14	0
ENSMUSG00000109219	20	0	6	0
ENSMUSG00000038429	0	0	3	3
ENSMUSG00000034810	1	0	14	1
ENSMUSG00000018733	21	0	19	2
ENSMUSG00000022037	16	0	12	5
ENSMUSG00000085260	20	0	18	0
ENSMUSG00000029610	1	0	0	1
ENSMUSG00000042185	21	0	19	2
ENSMUSG00000067525	20	0	16	0
ENSMUSG00000006021	1	0	0	1
ENSMUSG00000046408	20	0	5	0
ENSMUSG00000020599	20	0	14	0
ENSMUSG00000030775	1	0	14	1
ENSMUSG00000015149	17	0	2	4
ENSMUSG00000046434	0	0	3	3
ENSMUSG00000031377	20	0	5	0
ENSMUSG00000031774	21	0	19	2
ENSMUSG00000096840	20	0	6	0
ENSMUSG00000050627	0	0	3	3
ENSMUSG00000031878	9	0	2	4
ENSMUSG00000030322	1	0	10	1
ENSMUSG00000029541	20	0	4	0
ENSMUSG00000020696	21	0	2	2
ENSMUSG00000097162	1	0	0	1
ENSMUSG00000113189	20	0	5	0
ENSMUSG00000045201	20	0	18	0
ENSMUSG00000058513	20	0	7	0
ENSMUSG00000059479	1	0	10	1
ENSMUSG00000077239	20	0	16	0
ENSMUSG00000031755	1	0	10	1
ENSMUSG00000076253	20	0	6	0
ENSMUSG00000038379	20	0	5	0
ENSMUSG00000002109	1	0	10	1
ENSMUSG00000041840	1	0	0	1
ENSMUSG00000049691	20	0	13	0
ENSMUSG00000021555	17	0	2	4
ENSMUSG00000022814	17	0	2	4
ENSMUSG00000028782	20	0	18	0
ENSMUSG00000095028	20	0	14	0
ENSMUSG00000057223	20	0	4	0
ENSMUSG00000034413	1	0	14	1
ENSMUSG00000087579	19	0	3	3
ENSMUSG00000025127	12	0	12	5
ENSMUSG00000030222	1	0	10	1
ENSMUSG00000040133	20	0	7	0
ENSMUSG00000027845	1	0	0	1
ENSMUSG00000028003	24	0	3	3
ENSMUSG00000030054	20	0	5	0
ENSMUSG00000093980	20	0	1	0
ENSMUSG00000034227	20	0	7	0
ENSMUSG00000003435	0	0	3	3
ENSMUSG00000049280	1	1	10	8
ENSMUSG00000022309	1	0	10	1
ENSMUSG00000093460	20	0	7	0
ENSMUSG00000075064	20	0	6	0
ENSMUSG00000029684	24	0	3	3
ENSMUSG00000027531	0	0	3	3
ENSMUSG00000091541	20	0	5	0
ENSMUSG00000031565	1	0	10	1
ENSMUSG00000101078	20	0	1	0
ENSMUSG00000070047	8	0	3	3
ENSMUSG00000030057	4	0	12	5
ENSMUSG00000050121	20	0	5	0
ENSMUSG00000024353	20	0	14	0
ENSMUSG00000060002	4	0	12	5
ENSMUSG00000054406	20	0	1	0
ENSMUSG00000065569	20	0	6	0
ENSMUSG00000034471	21	0	19	2
ENSMUSG00000028246	20	0	7	0
ENSMUSG00000092815	20	0	6	0
ENSMUSG00000022749	21	0	2	2
ENSMUSG00000029919	1	0	14	1
ENSMUSG00000000739	1	0	10	1
ENSMUSG00000037020	1	0	10	1
ENSMUSG00000035933	9	0	2	4
ENSMUSG00000116611	20	0	16	0
ENSMUSG00000059639	20	0	16	0
ENSMUSG00000028359	21	0	19	2
ENSMUSG00000021464	20	0	18	0
ENSMUSG00000044338	20	0	18	0
ENSMUSG00000002633	20	0	5	0
ENSMUSG00000069722	20	0	6	0
ENSMUSG00000067713	17	0	2	4
ENSMUSG00000021591	17	0	2	4
ENSMUSG00000069184	1	0	0	1
ENSMUSG00000027171	20	0	5	0
ENSMUSG00000031539	1	0	10	1
ENSMUSG00000075145	20	0	1	0
ENSMUSG00000022221	1	0	14	1
ENSMUSG00000063386	20	0	5	0
ENSMUSG00000056782	1	0	10	1
ENSMUSG00000025410	0	0	3	3
ENSMUSG00000027332	12	0	12	5
ENSMUSG00000025268	21	0	0	2
ENSMUSG00000026519	21	0	19	2
ENSMUSG00000043323	21	0	19	2
ENSMUSG00000060803	6	0	12	5
ENSMUSG00000026117	17	0	2	4
ENSMUSG00000073906	20	0	4	0
ENSMUSG00000098912	1	0	10	1
ENSMUSG00000062175	20	0	5	0
ENSMUSG00000028035	17	0	2	4
ENSMUSG00000039656	21	0	19	2
ENSMUSG00000024955	7	0	2	7
ENSMUSG00000018921	1	0	0	1
ENSMUSG00000047751	20	0	4	0
ENSMUSG00000032257	20	0	1	0
ENSMUSG00000015342	1	0	0	1
ENSMUSG00000059623	20	0	5	0
ENSMUSG00000047904	20	0	5	0
ENSMUSG00000001348	0	0	3	3
ENSMUSG00000027965	1	0	0	1
ENSMUSG00000031891	20	0	7	0
ENSMUSG00000069089	21	0	19	2
ENSMUSG00000027186	1	0	14	1
ENSMUSG00000030934	22	0	12	5
ENSMUSG00000040037	20	0	7	0
ENSMUSG00000055720	21	0	19	2
ENSMUSG00000060688	20	0	1	0
ENSMUSG00000050213	21	0	0	2
ENSMUSG00000054423	20	0	5	0
ENSMUSG00000053914	20	0	16	0
ENSMUSG00000017211	20	0	7	0
ENSMUSG00000097520	20	0	5	0
ENSMUSG00000019944	8	0	3	3
ENSMUSG00000034893	21	0	2	2
ENSMUSG00000034269	9	0	3	3
ENSMUSG00000044339	1	0	10	1
ENSMUSG00000027575	21	0	19	2
ENSMUSG00000085162	20	0	7	0
ENSMUSG00000040247	1	0	14	1
ENSMUSG00000090862	19	0	12	3
ENSMUSG00000023106	17	0	2	4
ENSMUSG00000075201	20	0	1	0
ENSMUSG00000054598	20	0	14	0
ENSMUSG00000006276	21	0	19	2
ENSMUSG00000038199	20	0	4	0
ENSMUSG00000060187	20	1	4	6
ENSMUSG00000047502	20	0	7	0
ENSMUSG00000059689	21	0	19	2
ENSMUSG00000036737	17	0	2	4
ENSMUSG00000033379	0	0	3	3
ENSMUSG00000040749	20	0	14	0
ENSMUSG00000096714	20	1	5	6
ENSMUSG00000112223	20	0	13	0
ENSMUSG00000039936	1	0	0	1
ENSMUSG00000062433	20	0	1	0
ENSMUSG00000060450	0	0	3	3
ENSMUSG00000091204	20	0	1	0
ENSMUSG00000075113	20	0	5	0
ENSMUSG00000027530	20	0	7	0
ENSMUSG00000041135	1	0	0	1
ENSMUSG00000018340	12	0	3	5
ENSMUSG00000017299	1	0	0	1
ENSMUSG00000057230	17	0	2	4
ENSMUSG00000056901	20	0	6	0
ENSMUSG00000041079	1	0	0	1
ENSMUSG00000030127	17	0	2	4
ENSMUSG00000055971	20	0	6	0
ENSMUSG00000066149	17	0	2	4
ENSMUSG00000032563	21	0	19	2
ENSMUSG00000027244	17	0	2	4
ENSMUSG00000028523	20	0	1	0
ENSMUSG00000038762	0	0	3	3
ENSMUSG00000077972	20	1	16	6
ENSMUSG00000027784	21	0	2	2
ENSMUSG00000026792	21	0	0	2
ENSMUSG00000059201	20	0	18	0
ENSMUSG00000022724	21	0	19	2
ENSMUSG00000078716	1	0	10	1
ENSMUSG00000054901	20	1	7	6
ENSMUSG00000045648	20	0	16	0
ENSMUSG00000020524	20	0	16	0
ENSMUSG00000017774	0	0	3	3
ENSMUSG00000091863	20	0	1	0
ENSMUSG00000065422	20	0	4	0
ENSMUSG00000077457	20	0	16	0
ENSMUSG00000059031	20	0	7	0
ENSMUSG00000032192	1	0	14	1
ENSMUSG00000031410	20	0	7	0
ENSMUSG00000002910	21	0	19	2
ENSMUSG00000023947	1	0	10	1
ENSMUSG00000031125	20	1	5	6
ENSMUSG00000039477	17	0	2	4
ENSMUSG00000022707	19	0	12	3
ENSMUSG00000047594	20	0	7	0
ENSMUSG00000052364	20	0	14	0
ENSMUSG00000034730	20	0	16	0
ENSMUSG00000031753	0	0	3	3
ENSMUSG00000036169	20	0	16	0
ENSMUSG00000029865	20	0	6	0
ENSMUSG00000022706	21	0	19	2
ENSMUSG00000006575	1	0	0	1
ENSMUSG00000025236	21	0	19	2
ENSMUSG00000061981	17	0	2	4
ENSMUSG00000065401	20	0	1	0
ENSMUSG00000005089	23	0	12	5
ENSMUSG00000000889	20	0	4	0
ENSMUSG00000069917	15	0	11	9
ENSMUSG00000042345	1	0	14	1
ENSMUSG00000035642	21	0	19	2
ENSMUSG00000021294	1	0	14	1
ENSMUSG00000026333	21	0	19	2
ENSMUSG00000091468	20	0	7	0
ENSMUSG00000024558	1	0	14	1
ENSMUSG00000039725	1	0	0	1
ENSMUSG00000085886	20	0	16	0
ENSMUSG00000112707	1	0	14	1
ENSMUSG00000038517	1	0	0	1
ENSMUSG00000039555	20	0	9	0
ENSMUSG00000037962	20	0	7	0
ENSMUSG00000050973	1	0	10	1
ENSMUSG00000001420	1	0	14	1
ENSMUSG00000018470	20	0	5	0
ENSMUSG00000050217	20	1	4	6
ENSMUSG00000029716	5	0	12	5
ENSMUSG00000078453	21	0	19	2
ENSMUSG00000028538	0	0	3	3
ENSMUSG00000026766	0	0	2	3
ENSMUSG00000012520	20	0	9	0
ENSMUSG00000101655	1	0	17	1
ENSMUSG00000001155	18	0	12	5
ENSMUSG00000023092	15	0	11	9
ENSMUSG00000030607	20	0	4	0
ENSMUSG00000025949	24	0	3	3
ENSMUSG00000024182	21	0	19	2
ENSMUSG00000042750	20	0	16	0
ENSMUSG00000033033	1	0	10	1
ENSMUSG00000047669	20	0	14	0
ENSMUSG00000031168	18	0	12	5
