FLT14_all,FLT14_and_GC8,FLT14_not_GC8,GC8_all,GC8_not_FLT14
,,,Zfp788,Ly96
,,,Armcx5,0610043K17Rik
,,,Saa3,Helq
,,,Hdc,AW011738
,,,Sec61g,Rab10os
,,,Nbea,Itpripl1
,,,Zswim9,Ncapg2
,,,Olfr1336,Ift74
,,,Adgre1,Lnpk
,,,Polk,Trpm2
,,,Btnl9,A230072C01Rik
,,,Gcnt4,Hectd2
,,,Enah,Slc25a40
,,,Ajuba,4930430F08Rik
,,,Zfp119a,Ifit3
,,,Serpina12,1700025G04Rik
,,,Mcm6,Wee1
,,,Epb41l3,Ofd1
,,,Foxq1,Oasl2
,,,Traf5,Lyrm4
,,,Acot11,Mx2
,,,Mrpl14,Unc13b
,,,Snhg6,Gpr137b
,,,Per2,Mcm4
,,,Pip4k2a,2410004B18Rik
,,,Zmat1,Kctd12b
,,,Snapc3,Mars2
,,,Vmn1r88,Tbc1d19
,,,Fancc,B3galt2
,,,Taf1b,Ddit4
,,,Oxct1,Eef1akmt1
,,,Zfp605,Prkn
,,,Gcfc2,Ctnnal1
,,,Fancm,Trmt5
,,,Ctla2a,Fyb
,,,Ccdc15,Plcb4
,,,Btg3,Rab23
,,,Zfp964,E2f5
,,,H1f2,Lins1
,,,Rgs16,2610037D02Rik
,,,Tpd52l1,Zfp182
,,,Hspe1,Zfp974
,,,Rragd,Thap6
,,,Phf11c,Fmn1
,,,Spidr,2700097O09Rik
,,,Rsph3b,Stk17b
,,,Pcgf6,Hsd3b5
,,,Hsd17b6,Map3k12
,,,Scarna2,Ntn4
,,,Gm2026,Per3
,,,Scarna10,Ybey
,,,Ms4a4d,Il16
,,,Tlr7,Lrp12
,,,Aste1,Meis2
,,,Ccdc138,D030056L22Rik
,,,Sfi1,Ndufaf5
,,,Rcn2,Cep95
,,,Trmt13,Morc4
,,,Olfr1459,Zmym1
,,,Ing3,Thbd
,,,Gm15408,Spata5
,,,Mrpl48,Ccdc88a
,,,Eml1,Cluap1
,,,Usp2,P2ry2
,,,H2-T22,Idua
,,,Pde1a,Lonrf1
,,,Fgl2,Filip1l
,,,Saal1,Smoc2
,,,Tcp11l1,Slf1
,,,Cryzl2,Entpd1
,,,Rcan1,Gm19522
,,,Scai,Far1
,,,Fstl1,Ccl6
,,,Prss23,Cntln
,,,Rgs2,Lix1l
,,,Mamdc2,St3gal6
,,,Marcks,Ankrd16
,,,Zfp935,Cyp51
,,,Ltbp1,Rnu12
,,,Mbnl3,Ly75
,,,Tnik,4921524J17Rik
,,,Airn,Cenpq
,,,Ifi204,Kdm5d
,,,Rpl3,Mtrf1l
,,,Nmrk1,Zfp619
,,,Il10rb,Kbtbd3
,,,Nfam1,Reck
,,,Ociad2,Btg2
,,,Clec7a,Zbtb9
,,,Zfp27,Anxa1
,,,Eif3m,Olfr1372-ps1
,,,Zfp930,Rasa2
,,,Sdhaf4,Caap1
,,,Hus1,Trmt61b
,,,Gabra3,Scd2
,,,Clstn3,Egfr
,,,Fbxo25,Irf7
,,,Apex2,Nrg4
,,,Rps18,H2-Q4
,,,Tmem35b,Syce2
,,,Tspyl4,Maml2
,,,Ablim3,Olfr46
,,,Ttc5,Vmn2r115
,,,Pttg1,Hhip
,,,Zfp1,Rel
,,,Ccdc30,1110059E24Rik
,,,Ly96,Gm10658
,,,0610043K17Rik,Hypk
,,,Helq,A830082K12Rik
,,,AW011738,Phf11d
,,,Rab10os,Cttnbp2nl
,,,Fmo3,Pus3
,,,Itpripl1,Fcgr4
,,,Rpph1,Fbxo32
,,,Ncapg2,Atg16l2
,,,Ift74,Socs5
,,,Lnpk,Ccr5
,,,Trpm2,She
,,,Rps7,Atp6v0e
,,,A230072C01Rik,Piga
,,,Hectd2,Jrkl
,,,Cldn3,Snhg12
,,,Slc25a40,Slc22a3
,,,4930430F08Rik,Golt1b
,,,Ifit3,Grk3
,,,Slc10a2,Fam124a
,,,1700025G04Rik,Zfp975
,,,Wee1,Sinhcaf
,,,Rplp0,Flvcr1
,,,Ofd1,Zfp939
,,,Cyp3a44,2810013P06Rik
,,,Oasl2,Etaa1
,,,Lyrm4,Slc41a2
,,,Mx2,Ttf2
,,,Unc13b,Ccl25
,,,Gpr137b,Psmg2
,,,Acot3,Ophn1
,,,Mcm4,Foxp2
,,,Gbp6,Wdr35
,,,2410004B18Rik,Lyrm1
,,,Cyp3a13,Zfp420
,,,Kctd12b,Plek
,,,Mars2,Alg8
,,,Tbc1d19,AA986860
,,,B3galt2,Tgtp1
,,,Ddit4,Fam118b
,,,Eef1akmt1,Zfp959
,,,Nnmt,Stk39
,,,Prkn,Rfx3
,,,Ctnnal1,Ly86
,,,Trmt5,F2r
,,,Fyb,Spata1
,,,Plcb4,Hacd4
,,,Rab23,4930503L19Rik
,,,E2f5,Tlr4
,,,Lins1,Xkr8
,,,2610037D02Rik,Dock11
,,,Zfp182,Ankrd10
,,,Zfp974,Rrnad1
,,,Thap6,Orc6
,,,Fmn1,Nipal2
,,,2700097O09Rik,Zfp235
,,,Stk17b,Sh2d4a
,,,Hsd3b5,Ttc8
,,,Map3k12,Hdgfl3
,,,Ntn4,Gm10069
,,,Per3,Ifi207
,,,Ybey,Cyp26b1
,,,Il16,Ezh2
,,,Lrp12,Zfp992
,,,Lyve1,Polr1b
,,,Camk1d,Rfc3
,,,Meis2,Sytl4
,,,D030056L22Rik,Ss18l2
,,,Ndufaf5,H2-Aa
,,,Cep95,Olfr1033
,,,Morc4,Vmn1r76
,,,Zmym1,Sp140
,,,Thbd,Dus4l
,,,Gm4952,Zfp128
,,,Spata5,Nsun6
,,,Rpl10,Zscan12
,,,Ccdc88a,Slc39a10
,,,Cluap1,Stk38l
,,,P2ry2,A630089N07Rik
,,,Arntl,Fxn
,,,Idua,Sdf2l1
,,,Lonrf1,Aasdh
,,,Pctp,Lin9
,,,Filip1l,Rslcan18
,,,Smoc2,Plk3
,,,Slf1,Vmn2r79
,,,Entpd1,Slx4ip
,,,Gm19522,Neu3
,,,Far1,Eps8
,,,Ccl6,Tmem181a
,,,Cntln,Gm19619
,,,Lix1l,Osgin1
,,,St3gal6,Wipf1
,,,Ankrd16,Ints6l
,,,Ces1b,Ccdc181
,,,Cyp51,Lsm8
,,,Rnu12,Tma16
,,,Ly75,H2-Q1
,,,4921524J17Rik,Snhg17
,,,Cenpq,Unkl
,,,Kdm5d,Parp11
,,,Mtrf1l,Trim12a
,,,Zfp619,Rrm2b
,,,Kbtbd3,Dcbld2
,,,Reck,Zfp81
,,,Btg2,Ccdc71l
,,,Zbtb9,C630043F03Rik
,,,Anxa1,Pop1
,,,Olfr1372-ps1,Kctd18
,,,Rasa2,Ppp4r1l-ps
,,,C4a,Vmn1r81
,,,Snora23,Zfp54
,,,Cdkn1a,Plscr2
,,,Caap1,Vav3
,,,Dpm3,Hspa1b
,,,Trmt61b,Large1
,,,Scd2,Gm14288
,,,Egfr,Borcs7
,,,Irf7,Dclre1c
,,,Nrg4,Piezo2
,,,H2-Q4,5430416N02Rik
,,,Ahcy,Vmn2r24
,,,Syce2,Bicc1
,,,Maml2,Il17rb
,,,Olfr46,Hes6
,,,Vmn2r115,Top2a
,,,Hhip,Rcan3
,,,Rel,Zfp472
,,,1110059E24Rik,Znhit3
,,,Gm10658,Lpin1
,,,Hypk,Thnsl1
,,,A830082K12Rik,Nup37
,,,Phf11d,Nat8f4
,,,Cttnbp2nl,Zfp354b
,,,Pus3,Fcer1g
,,,Fcgr4,Fkbp7
,,,Fbxo32,Anapc10
,,,Atg16l2,Timm10
,,,Socs5,Olfr734
,,,Ccr5,Cebpb
,,,Upp2,Eif4e3
,,,She,Fuca2
,,,Atp6v0e,Fbln5
,,,Piga,Gm10778
,,,Slc22a26,Micu3
,,,Jrkl,Kctd21
,,,Snhg12,Sms
,,,Slc22a3,Zfp937
,,,Golt1b,Snora68
,,,Grk3,Glt28d2
,,,Slco1a1,Tgtp2
,,,Fam124a,D130020L05Rik
,,,Zfp975,Ly6a
,,,Gm10319,Fabp7
,,,Sinhcaf,Afap1
,,,Flvcr1,Timp3
,,,Zfp939,Ube2d1
,,,2810013P06Rik,2210408I21Rik
,,,Etaa1,Zfp30
,,,Med21,Zfp329
,,,Slc41a2,Tmc7
,,,Ttf2,4732471J01Rik
,,,Ccl25,Lrrc8c
,,,Psmg2,Pigp
,,,Keg1,5830417I10Rik
,,,Ophn1,2610507I01Rik
,,,Foxp2,Ciart
,,,Wdr35,Taf5
,,,Lyrm1,Gca
,,,Zfp420,Vmn1r87
,,,Oasl1,Fam204a
,,,Plek,1110046J04Rik
,,,Alg8,Cdk14
,,,AA986860,Golph3l
,,,Tgtp1,Chmp4c
,,,Fam118b,Fam185a
,,,Zfp959,Olfr1307
,,,Stk39,Gm4956
,,,Rfx3,Snrpg
,,,Ly86,Vrk1
,,,F2r,Ptrhd1
,,,Spata1,Mitf
,,,Hacd4,Tagap1
,,,4930503L19Rik,Znf41-ps
,,,Tlr4,Phtf1
,,,Xkr8,Abhd14a
,,,Dock11,Avpi1
,,,Ankrd10,Chsy1
,,,Rrnad1,Rpgrip1l
,,,Orc6,Zfp111
,,,Nipal2,Dcbld1
,,,Zfp235,Gng11
,,,Sh2d4a,Ap4s1
,,,Ttc8,Gm4841
,,,Hdgfl3,Mplkip
,,,Mgst3,5730480H06Rik
,,,Gm10069,Ppm1d
,,,Ifi207,Gas1
,,,Cyp2r1,Kbtbd8
,,,Hamp2,Ss18l1
,,,Cyp26b1,Cox11
,,,Cyp3a41a,Gnb4
,,,Ezh2,Epha7
,,,Zfp992,Robo1
,,,Polr1b,Nme7
,,,Rfc3,Zfp608
,,,Sytl4,Rufy2
,,,Ss18l2,
,,,H2-Aa,
,,,Olfr1033,
,,,Vmn1r76,
,,,Sp140,
,,,Gadd45g,
,,,Dus4l,
,,,Zfp128,
,,,Nsun6,
,,,Zscan12,
,,,Slc39a10,
,,,Stk38l,
,,,Rpl26,
,,,A630089N07Rik,
,,,Fxn,
,,,Sdf2l1,
,,,Aasdh,
,,,Lin9,
,,,Rslcan18,
,,,Plk3,
,,,Eif4ebp3,
,,,Vmn2r79,
,,,Slx4ip,
,,,Neu3,
,,,Eps8,
,,,Tmem181a,
,,,Gm19619,
,,,Osgin1,
,,,Wipf1,
,,,Ints6l,
,,,Ces2c,
,,,Ccdc181,
,,,Lsm8,
,,,Tma16,
,,,Gstm3,
,,,H2-Q1,
,,,Coa6,
,,,Snhg17,
,,,Plxnb1,
,,,Unkl,
,,,Parp11,
,,,Trim12a,
,,,Serpina1d,
,,,Hexb,
,,,Rrm2b,
,,,Dcbld2,
,,,Zfp81,
,,,Ccdc71l,
,,,C630043F03Rik,
,,,Pop1,
,,,Kctd18,
,,,Ppp4r1l-ps,
,,,Vmn1r81,
,,,Zfp54,
,,,Apcs,
,,,Plscr2,
,,,Vav3,
,,,Hspa1b,
,,,Large1,
,,,Gm14288,
,,,Vnn3,
,,,Borcs7,
,,,Dclre1c,
,,,Piezo2,
,,,5430416N02Rik,
,,,Fabp4,
,,,Vmn2r24,
,,,Rpl21,
,,,Bicc1,
,,,Il17rb,
,,,Hes6,
,,,Top2a,
,,,Rcan3,
,,,Zfp472,
,,,Znhit3,
,,,Lpin1,
,,,Thnsl1,
,,,Nup37,
,,,Lonrf3,
,,,Angptl8,
,,,Nat8f4,
,,,Zfp354b,
,,,Fcer1g,
,,,Fkbp7,
,,,Anapc10,
,,,Timm10,
,,,Olfr734,
,,,Cebpb,
,,,Eif4e3,
,,,Fuca2,
,,,Fbln5,
,,,Gm10778,
,,,Micu3,
,,,Kctd21,
,,,Sms,
,,,Zfp937,
,,,Snora68,
,,,Glt28d2,
,,,Tgtp2,
,,,D130020L05Rik,
,,,Slco1a4,
,,,Ly6a,
,,,Fabp7,
,,,Afap1,
,,,Timp3,
,,,Ube2d1,
,,,2210408I21Rik,
,,,Zfp30,
,,,Zfp329,
,,,Tmc7,
,,,4732471J01Rik,
,,,Lrrc8c,
,,,Pigp,
,,,5830417I10Rik,
,,,2610507I01Rik,
,,,Ciart,
,,,Taf5,
,,,Gca,
,,,Vmn1r87,
,,,Fam204a,
,,,1110046J04Rik,
,,,Cdk14,
,,,Golph3l,
,,,Chmp4c,
,,,Fam185a,
,,,Slc25a4,
,,,Olfr1307,
,,,H2-Q7,
,,,Gm4956,
,,,Klhdc7a,
,,,Snrpg,
,,,Vrk1,
,,,Ptrhd1,
,,,Mitf,
,,,Tagap1,
,,,Znf41-ps,
,,,Phtf1,
,,,Abhd14a,
,,,Rpl35a,
,,,Mup1,
,,,Avpi1,
,,,Chsy1,
,,,Rpgrip1l,
,,,Zfp982,
,,,Zfp111,
,,,Dcbld1,
,,,Gng11,
,,,Ap4s1,
,,,Gm4841,
,,,Mplkip,
,,,5730480H06Rik,
,,,Ppm1d,
,,,Gas1,
,,,Kbtbd8,
,,,Ss18l1,
,,,Cox11,
,,,Gnb4,
,,,Epha7,
,,,Robo1,
,,,Nme7,
,,,Zfp608,
,,,Rufy2,
,,,Hbb-bt,
