FLT14_all,FLT14_and_GC8,FLT14_not_GC8,GC8_all,GC8_not_FLT14
Snord104,Rpl3,Slc22a27,Gngt2,Cep152
Mup15,Rps18,Synj2,Zfp39,Gm14295
Polr2i,Ablim3,Dio1,Fkbp14,Commd10
Snord17,Fmo3,Sult3a2,Zfp995,Katnbl1
Guk1,Rpph1,Hyi,Cmtm3,Fbxo4
Etfbkmt,Rps7,Apoa4,Slc25a36,Myct1
Slc35d2,Cldn3,Timm8b,Poc5,A730017L22Rik
Mup10,Slc10a2,Cyp2a22,Ror1,L3mbtl3
Slc66a1,Rplp0,Elovl6,Prkx,Lpcat1
Gbp11,Cyp3a44,Rpl35,Zfp791,Serf1
Tmsb4x,Acot3,D630039A03Rik,Fcgr3,Map2k6
Abcb1a,Gbp6,Ccnd1,Kpna2,Alkbh1
Alad,Cyp3a13,Gde1,Calcrl,E130311K13Rik
Acot1,Nnmt,Casp6,Cyp2j9,Tdg
Bid,Lyve1,Gstp3,Miga1,Bace2
Zfp970,Camk1d,Rab11fip4,Dtwd2,AI506816
Eno1b,Gm4952,Ankrd55,Arhgef6,Camta1
Snora74a,Rpl10,Rpl22l1,Zfp938,Sh3kbp1
Mt2,Arntl,Cd163,Cep152,Sccpdh
Rpl28,Pctp,Prrg1,Gm14295,Zfp882
Serpina11,Ces1b,Sel1l3,Commd10,Tsen15
Cyp2d9,C4a,F830016B08Rik,Katnbl1,AI662270
H2-Q6,Snora23,Tenm3,Fbxo4,Cep162
Vnn1,Cdkn1a,Tsku,Myct1,Bicd1
Nfil3,Dpm3,Erbb4,A730017L22Rik,Gm1976
Pyroxd2,Ahcy,Serpinb6a,L3mbtl3,Hyls1
Elovl3,Upp2,Gm7694,Lpcat1,Ackr4
Scarna6,Slc22a26,Rps29,Serf1,Taf1a
Samd9l,Slco1a1,Coq10b,Map2k6,Itgb3bp
Ndufb4,Gm10319,Tpm3,Alkbh1,Vmn1r46
Serpina3c,Med21,Serpina6,E130311K13Rik,Pibf1
Neil2,Keg1,Rtn4rl1,Tdg,Zfp59
Tiam2,Oasl1,Nipal1,Bace2,Zfp960
C6,Mgst3,Neb,AI506816,Frmd6
Nr1d1,Cyp2r1,Ndufb7,Camta1,Herc3
Mup2,Hamp2,H2-K2,Sh3kbp1,Ccne2
Mthfr,Cyp3a41a,Ndufs4,Sccpdh,Zbtb2
Tymp,Gadd45g,,Zfp882,Cdk19
Ltbp4,Rpl26,,Tsen15,Pirb
Ndufa11,Eif4ebp3,,Cyp2c38,Fam174a
Ccnf,Ces2c,,AI662270,Snai2
Ifi27l2a,Gstm3,,Cep162,Cd53
Sult2a7,Coa6,,Bicd1,Tlr3
Cyp2c69,Plxnb1,,Gm1976,Ripk4
Gbp10,Serpina1d,,Hyls1,Bcl2l11
Rpl39,Hexb,,Ackr4,Syvn1
Gpat3,Apcs,,Taf1a,Ccdc125
Cyp2b9,Vnn3,,Itgb3bp,Efcab2
Rnf152,Fabp4,,Vmn1r46,Ttc21b
Iah1,Rpl21,,Pibf1,Elk1
Mup18,Lonrf3,,Zfp59,Reep5
Sult2a1,Angptl8,,Thrsp,Prcp
Trim34a,Slco1a4,,Zfp960,Sorl1
Sult1c2,Slc25a4,,Nr1d2,Alms1
Slc17a8,H2-Q7,,Frmd6,Gtf2f2
Nox4,Klhdc7a,,Herc3,AW554918
Xist,Rpl35a,,Ccne2,Zfp952
D630045J12Rik,Mup1,,Zbtb2,Snhg3
Sult3a1,Zfp982,,Cdk19,Smc2
Irs2,Hbb-bt,,Pirb,Rnf150
Cyp2c39,,,Fam174a,Cav2
Cyp2c23,,,Snai2,Col5a3
Pim3,,,Cd53,Ms4a6b
Cep85,,,Tlr3,Vamp1
Nr0b2,,,Ripk4,Pde5a
Nhsl1,,,Bcl2l11,Mad2l1
Hmgn5,,,Snord22,Asic5
Lgr5,,,Syvn1,Ralgps1
Sec61g,,,Ccdc125,H1f3
Gatm,,,Mup19,Ddit3
Serpina12,,,Efcab2,Exd1
Sult2a2,,,Ttc21b,Fli1
H4c8,,,Elk1,Cyp4a14
Mrpl14,,,Reep5,Zfp354a
Rpl27,,,Prcp,Slc37a1
Rgs16,,,Sorl1,Fam219a
Hspe1,,,Alms1,Zfp169
Slc13a3,,,Gtf2f2,Prkcb
Dbp,,,AW554918,Zfp709
Rsph3b,,,Zfp952,Eml5
Hsd17b6,,,Lepr,Ago4
Scarna2,,,Snhg3,Cdcp1
Scarna10,,,Smc2,2700049A03Rik
Sfi1,,,Rnf150,Wdcp
Serpinb1a,,,Cav2,5530601H04Rik
Rarres1,,,Col5a3,Trdmt1
Usp2,,,Ms4a6b,5031425E22Rik
Snord15b,,,Vamp1,Apaf1
Syt1,,,Pde5a,Glt8d1
Ifi204,,,Mad2l1,Arhgdib
Rpl3,,,Asic5,Scnm1
Abhd1,,,Ralgps1,A730063M14Rik
Pik3c2g,,,H1f3,Olfr63
Smlr1,,,Selenbp2,Zfp697
Rps18,,,Ddit3,Pcbd2
Ablim3,,,Gm14403,Katnal1
Hba-a1,,,Exd1,2410006H16Rik
Fmo3,,,Gm14327,Niban1
Rpph1,,,Fli1,Cdkn2c
Mif,,,Cyp4a14,Nsmce2
Rps7,,,Zfp354a,Npr3
Prlr,,,Slc37a1,Lrit2
Slc22a7,,,Fam219a,Tnfrsf12a
Cldn3,,,Zfp169,Ccp110
Slc10a2,,,Prkcb,Chka
Rplp0,,,Zfp709,Ropn1l
Rplp2,,,Eml5,Rps23rg1
Cyp3a44,,,Ago4,Gm5113
Cdh1,,,Mug2,Tmem67
Acot3,,,Cdcp1,Setmar
Tut4,,,2700049A03Rik,Gmfg
Gbp6,,,Wdcp,Olfr624
Cyp3a13,,,5530601H04Rik,Yipf1
Nnmt,,,Trdmt1,Ccpg1os
Lyve1,,,5031425E22Rik,Pramel12
Camk1d,,,Apaf1,Hmga1
Fkbp11,,,Timm13,Tyrobp
Gm4952,,,Csad,Apobec3
Lrtm1,,,H4c4,Crppa
Rpl10,,,Glt8d1,Tbxas1
Arntl,,,Arhgdib,Inip
Myh11,,,Scnm1,Ppih
Slc22a27,,,Sqle,Cep44
Pctp,,,A730063M14Rik,Folr2
Synj2,,,Olfr63,Pot1a
Ces1b,,,Zfp697,Abcc4
Dio1,,,Pcbd2,Samd5
Sult3a2,,,Katnal1,Snx16
Hyi,,,2410006H16Rik,Tnfrsf11b
C4a,,,Niban1,Cep57l1
Snora23,,,Cdkn2c,Agbl3
Cdkn1a,,,Nsmce2,Olfr90
Apoa4,,,Npr3,Cyp4a12a
Dpm3,,,Lrit2,Mcam
Ahcy,,,Tnfrsf12a,Bmf
Timm8b,,,Ccp110,Ncf2
Cyp2a22,,,Chka,Morrbid
Elovl6,,,Ropn1l,Prkch
Upp2,,,Rps23rg1,Gata6
Rpl35,,,Gm5113,Samd4
Slc22a26,,,Tmem67,Zfp101
Slco1a1,,,Setmar,Fam76b
D630039A03Rik,,,Gmfg,Ap1s3
Ccnd1,,,Olfr624,Olfr344
Gde1,,,Yipf1,Rad52
Gm10319,,,A930015D03Rik,Galc
Casp6,,,Mup12,Ing2
Med21,,,Ccpg1os,Spata22
Gstp3,,,Pramel12,Dntt
Keg1,,,Hmga1,Zfp949
Rab11fip4,,,Tyrobp,Ggta1
Oasl1,,,Apobec3,Jade3
Ankrd55,,,Crppa,Hspb1
Rpl22l1,,,Tbxas1,Me3
Cd163,,,Inip,Snora7a
Mgst3,,,Ppih,A530072M11Rik
Cyp2r1,,,4930470H14Rik,Zfp932
Hamp2,,,Wfdc17,Uggt2
Prrg1,,,Cep44,B4galt6
Cyp3a41a,,,Folr2,Clec1a
Sel1l3,,,Pot1a,Rps6ka5
Gadd45g,,,Abcc4,1700028E10Rik
