gene_cluster	n_genes	baseline_control	flight	ground_control	unknown	vivarium_control
0	2574	1831.2635	1712.727	1600.1328	972.72766	1715.9237
1	1802	550.91797	539.5464	503.28192	307.11716	493.6191
2	1954	1.0808185	1.3173494	1.0834482	0.673075	1.0337362
3	1721	59.3085	61.53709	54.100544	30.32927	52.40834
4	2310	351.0877	357.44223	329.41293	199.89833	328.447
5	1347	1221.7684	2275.405	1902.6511	1017.92804	1378.4291
6	1496	5314.3906	5324.6665	5021.056	3079.7073	5208.9497
7	857	16212.287	16824.633	16428.164	12737.76	18162.992
8	1000	3346.4333	3278.967	3085.8525	1626.5399	2946.773
9	1631	134.36014	143.3931	127.95672	75.11885	123.87623
10	1618	9.530067	10.513258	8.757823	4.443396	8.39211
11	964	1492.142	1572.2589	1435.0369	964.22034	1389.4998
12	183	6735.4087	3906.9583	4324.7935	3793.771	4492.6484
13	976	862.4239	865.89215	800.28894	500.31403	826.2485
14	577	1452.2147	1304.6805	1310.5825	868.4705	1225.9039
