gene_cluster	n_genes	id.accession	tissue_inferred	flight	ground_control	n_flight_samples	n_ground_samples	flight_minus_ground	log2_flight_ground_ratio
1	1802	OSD-163	kidney	748.0014	693.46906	6	6	54.53235	0.109057955
1	1802	OSD-164	liver	195.32353	210.41435	1	3	-15.09082	-0.10684024
1	1802	OSD-164	spleen	369.18832	350.1985	3	3	18.989838	0.075972795
1	1802	OSD-168	liver	620.6178	662.47345	14	14	-41.85565	-0.094010964
1	1802	OSD-173	liver	272.83685	309.1626	2	2	-36.325745	-0.17970815
1	1802	OSD-194	retina	1053.3458	1121.0167	5	4	-67.6709	-0.08974604
1	1802	OSD-238	skin	524.9887	546.8907	12	6	-21.901978	-0.05885628
1	1802	OSD-239	skin	587.6128	535.565	11	6	52.04779	0.13356589
1	1802	OSD-240	skin	572.63434	620.0778	10	10	-47.44348	-0.11464267
1	1802	OSD-241	skin	623.1301	606.0482	9	10	17.08191	0.040035818
1	1802	OSD-242	liver	290.508	296.31854	5	4	-5.810547	-0.028473986
1	1802	OSD-243	skin	649.35376	696.8743	18	19	-47.52057	-0.10174257
1	1802	OSD-244	thymus	679.34204	586.28076	19	19	93.06128	0.2122099
1	1802	OSD-245	liver	509.05524	475.81677	20	19	33.238464	0.09721847
1	1802	OSD-246	spleen	663.73315	682.8954	15	16	-19.162231	-0.04100035
1	1802	OSD-247	colon	658.0743	676.66064	19	17	-18.586365	-0.040121935
1	1802	OSD-248	lung	587.7489	591.85034	20	19	-4.1014404	-0.010015526
1	1802	OSD-253	kidney	621.9092	558.5551	20	19	63.354065	0.15474164
1	1802	OSD-254	skin	536.1388	594.9823	20	20	-58.843506	-0.14997458
1	1802	OSD-270	heart	604.26227	342.1207	3	2	262.14157	0.81884426
1	1802	OSD-288	spleen	176.19765	190.8609	6	3	-14.663254	-0.11470132
1	1802	OSD-289	thymus	131.84628	141.94359	12	6	-10.097305	-0.10568809
1	1802	OSD-352	brain	463.43375	498.9269	3	3	-35.493164	-0.10624438
1	1802	OSD-379	liver	329.69138	341.02744	35	35	-11.33606	-0.04862661
1	1802	OSD-419	skeletal_muscle	93.65843	80.622574	4	8	13.035858	0.21376282
1	1802	OSD-420	spleen	95.819695	102.68651	10	10	-6.8668137	-0.0988557
1	1802	OSD-421	thymus	48.207493	177.86716	10	10	-129.65967	-1.8619386
1	1802	OSD-463	liver	542.88416	576.16064	12	10	-33.27649	-0.08567354
1	1802	OSD-464	lung	688.04474	743.15216	10	9	-55.10742	-0.11099995
1	1802	OSD-47	liver	272.13507	326.7956	5	3	-54.660522	-0.2631819
1	1802	OSD-48	liver	253.76344	285.4283	7	7	-31.664871	-0.16901582
1	1802	OSD-506	spleen	537.79956	487.5539	9	10	50.245667	0.14123091
1	1802	OSD-511	mammary_gland	573.7051	442.49432	10	15	131.21075	0.3739062
1	1802	OSD-512	adrenal_gland	761.85095	766.02765	10	10	-4.176697	-0.007877376
1	1802	OSD-513	kidney	352.95715	350.88107	10	10	2.0760803	0.008486754
1	1802	OSD-515	thymus	471.2701	703.48706	10	10	-232.21695	-0.5769609
1	1802	OSD-525	cerebellum	590.71844	599.53613	10	10	-8.817688	-0.021340158
1	1802	OSD-561	cerebellum	360.17856	293.28027	14	12	66.898285	0.29552135
1	1802	OSD-562	hippocampus	342.8703	310.91788	15	12	31.952423	0.14069827
1	1802	OSD-563	cerebellum	618.7851	575.3307	5	5	43.454407	0.10487129
1	1802	OSD-564	hippocampus	696.4163	436.74054	5	5	259.67578	0.6719441
1	1802	OSD-576	skeletal_muscle	423.0872	413.9405	9	9	9.146698	0.031456385
1	1802	OSD-580	heart	395.95578	409.16193	20	20	-13.206146	-0.047215305
