profile	id.accession	investigation.study.comment.project type	investigation.study assays.study assay technology type	dataset.study person.first name	dataset.study person.last name	dataset.study person.middle initials	dataset.study publication author list	id.accession_sample name	id.assay name	id.sample name	investigation.study.comment.data source accession	investigation.study.comment.doi	investigation.study.comment.project identifier	study.characteristics.organism	study.source name	condition_inferred	flight_status_inferred	tissue_inferred	tissue_inference_rule	tissue_inference_confidence
Mmus_C57-6J_LVR_FLT_C_Rep2_M26	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep2_M26	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_FLT_C_Rep2_M26		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_FLT_M26	flight	flight	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_FLT_C_Rep3_M27	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep3_M27	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_FLT_C_Rep3_M27		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_FLT_M27	flight	flight	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_FLT_C_Rep4_M28	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep4_M28	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_FLT_C_Rep4_M28		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_FLT_M28	flight	flight	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_FLT_C_Rep5_M30	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep5_M30	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_FLT_C_Rep5_M30		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_FLT_M30	flight	flight	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_FLT_I_Rep1_M21	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_FLT_I_Rep1_M21	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_FLT_I_Rep1_M21		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_FLT_M21	flight	flight	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_FLT_I_Rep2_M22	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_FLT_I_Rep2_M22	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_FLT_I_Rep2_M22		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_FLT_M22	flight	flight	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_GC_C_Rep1_M36	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_GC_C_Rep1_M36	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_GC_C_Rep1_M36		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_GC_M36	ground_control	ground_or_control	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_GC_C_Rep2_M37	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_GC_C_Rep2_M37	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_GC_C_Rep2_M37		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_GC_M37	ground_control	ground_or_control	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_GC_C_Rep3_M38	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_GC_C_Rep3_M38	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_GC_C_Rep3_M38		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_GC_M38	ground_control	ground_or_control	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_GC_C_Rep4_M39	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_GC_C_Rep4_M39	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_GC_C_Rep4_M39		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_GC_M39	ground_control	ground_or_control	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_GC_C_Rep5_M40	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_GC_C_Rep5_M40	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_GC_C_Rep5_M40		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_GC_M40	ground_control	ground_or_control	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_GC_I_Rep1_M31	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_GC_I_Rep1_M31	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_GC_I_Rep1_M31		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_GC_M31	ground_control	ground_or_control	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_GC_I_Rep2_M32	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_GC_I_Rep2_M32	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_GC_I_Rep2_M32		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_GC_M32	ground_control	ground_or_control	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_DI_1y_Rep1	OSD-49	Ground Study	RNA Sequencing (RNA-Seq)	Sungshin San-Huei Hami Joshua Ruth Jonathan	Choi Lai Polo Ray Alwood Globus Galazka	 E S K M	"[""Choi Sungshin"",""Ray Hami E."",""Lai San-Huei"",""Alwood Joshua S."",""Globus Ruth K.""]"	OSD-49_Mmus_C57-6J_LVR_DI_1y_Rep1	OSD-49_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_DI_1y_Rep1		10.26030/1190-my17		Mus musculus	25min 1	unknown	unknown	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_DI_1y_Rep2	OSD-49	Ground Study	RNA Sequencing (RNA-Seq)	Sungshin San-Huei Hami Joshua Ruth Jonathan	Choi Lai Polo Ray Alwood Globus Galazka	 E S K M	"[""Choi Sungshin"",""Ray Hami E."",""Lai San-Huei"",""Alwood Joshua S."",""Globus Ruth K.""]"	OSD-49_Mmus_C57-6J_LVR_DI_1y_Rep2	OSD-49_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_DI_1y_Rep2		10.26030/1190-my17		Mus musculus	25min 2	unknown	unknown	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_DI_1y_Rep3	OSD-49	Ground Study	RNA Sequencing (RNA-Seq)	Sungshin San-Huei Hami Joshua Ruth Jonathan	Choi Lai Polo Ray Alwood Globus Galazka	 E S K M	"[""Choi Sungshin"",""Ray Hami E."",""Lai San-Huei"",""Alwood Joshua S."",""Globus Ruth K.""]"	OSD-49_Mmus_C57-6J_LVR_DI_1y_Rep3	OSD-49_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_DI_1y_Rep3		10.26030/1190-my17		Mus musculus	25min 3	unknown	unknown	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_LN2_1y_Rep1	OSD-49	Ground Study	RNA Sequencing (RNA-Seq)	Sungshin San-Huei Hami Joshua Ruth Jonathan	Choi Lai Polo Ray Alwood Globus Galazka	 E S K M	"[""Choi Sungshin"",""Ray Hami E."",""Lai San-Huei"",""Alwood Joshua S."",""Globus Ruth K.""]"	OSD-49_Mmus_C57-6J_LVR_LN2_1y_Rep1	OSD-49_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_LN2_1y_Rep1		10.26030/1190-my17		Mus musculus	ASAP 1	unknown	unknown	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_LN2_1y_Rep2	OSD-49	Ground Study	RNA Sequencing (RNA-Seq)	Sungshin San-Huei Hami Joshua Ruth Jonathan	Choi Lai Polo Ray Alwood Globus Galazka	 E S K M	"[""Choi Sungshin"",""Ray Hami E."",""Lai San-Huei"",""Alwood Joshua S."",""Globus Ruth K.""]"	OSD-49_Mmus_C57-6J_LVR_LN2_1y_Rep2	OSD-49_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_LN2_1y_Rep2		10.26030/1190-my17		Mus musculus	ASAP 2	unknown	unknown	liver	LVR->liver	high_explicit_sample_token
