profile	id.accession	investigation.study.comment.project type	investigation.study assays.study assay technology type	dataset.study person.first name	dataset.study person.last name	dataset.study person.middle initials	dataset.study publication author list	id.accession_sample name	id.assay name	id.sample name	investigation.study.comment.data source accession	investigation.study.comment.doi	investigation.study.comment.project identifier	study.characteristics.organism	study.source name	condition_inferred	flight_status_inferred	tissue_inferred	tissue_inference_rule	tissue_inference_confidence
Mmus_C57-6T_LVR_BSL_Rep1_B1	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_BSL_Rep1_B1	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_BSL_Rep1_B1		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_BSL_M1	baseline_control	ground_or_control	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6T_LVR_BSL_Rep2_B2	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_BSL_Rep2_B2	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_BSL_Rep2_B2		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_BSL_M2	baseline_control	ground_or_control	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6T_LVR_BSL_Rep3_B3	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_BSL_Rep3_B3	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_BSL_Rep3_B3		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_BSL_M3	baseline_control	ground_or_control	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6T_LVR_FLT_Rep1_F1	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_FLT_Rep1_F1	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_FLT_Rep1_F1		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_FLT_M1	flight	flight	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6T_LVR_FLT_Rep2_F2	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_FLT_Rep2_F2	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_FLT_Rep2_F2		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_FLT_M2	flight	flight	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6T_LVR_FLT_Rep3_F4	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_FLT_Rep3_F4	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_FLT_Rep3_F4		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_FLT_M4	flight	flight	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6T_LVR_GC_Rep1_G2	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_GC_Rep1_G2	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_GC_Rep1_G2		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_GC_M2	ground_control	ground_or_control	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6T_LVR_GC_Rep2_G3	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_GC_Rep2_G3	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_GC_Rep2_G3		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_GC_M3	ground_control	ground_or_control	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6T_LVR_GC_Rep3_G5	OSD-47	Spaceflight Study	RNA Sequencing (RNA-Seq)	Jonathan Sam Ruth	Galazka Cadena Globus	M	"[""McDonald J. Tyson"",""Stainforth Robert"",""Miller Jack"",""Cahill Thomas"",""Silveira Willian A. da"",""Rathi Komal S."",""Hardiman Gary"",""Taylor Deanne"",""Costes Sylvain V."",""Chauhan Vinita"",""Meller Robert"",""Beheshti Afshin"",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-47_Mmus_C57-6T_LVR_GC_Rep3_G5	OSD-47_transcription-profiling_rna-sequencing-(rna-seq)_illumina	Mmus_C57-6T_LVR_GC_Rep3_G5		10.26030/k5c1-jd05	RR-1	Mus musculus	RR-1_GC_M5	ground_control	ground_or_control	liver	LVR->liver	high_explicit_sample_token
Mmus_C57-6J_LVR_FLT_C_Rep1_M25	OSD-48	Spaceflight Study	RNA Sequencing (RNA-Seq)	Ruth Oana Amanda Nicholas Samrawit Jonathan Kaushik San-Huei Rick Valery Kristen Sylvain Alec Alexis Jihan	Globus Marcu Saravia-Butler Bense Gebre Galazka Chakravarty Lai Polo Chen Boyko Peach Costes Vallota-Eastman Torres Yehia	 V	"[""Beheshti A"",""Ray S"",""Fogle H"",""Berrios D"",""Costes SV."",""Choi SY"",""Saravia-Butler A"",""Shirazi-Fard Y"",""Leveson-Gower D"",""Stodieck LS"",""Cadena SM"",""Beegle J"",""Solis S"",""Ronca A"",""Globus RK."",""Jiang P"",""Green SJ"",""Chlipala GE"",""Turek FW"",""Vitaterna MH."",""Rettig TA"",""Ward C"",""Pecaut MJ"",""Chapes SK.""]"	OSD-48_Mmus_C57-6J_LVR_FLT_C_Rep1_M25	OSD-48_transcription-profiling_rna-sequencing-(rna-seq)_Illumina	Mmus_C57-6J_LVR_FLT_C_Rep1_M25		10.26030/jq04-0n51	RR-1	Mus musculus	RR1_FLT_M25	flight	flight	liver	LVR->liver	high_explicit_sample_token
