gc_cluster	gene_count	mean_latent_shift	median_latent_shift	p90_latent_shift
13	110	2.8545954338179866	2.708253957629145	4.217899099220008
8	1173	2.5048389743361814	2.299571461740856	3.798395143907662
6	1344	2.2739557264194783	2.138065814822574	3.161474525679873
14	84	2.0468924154287724	1.787307817161031	3.0325508394253706
2	2104	2.0418201581683775	1.900578160777967	3.1006092578526347
7	1340	1.8996931724215935	1.651098142934695	3.136440922388271
5	1353	1.7015810225536474	1.561800285225469	2.345973092647924
9	1146	1.5234872414020553	1.4290612835998866	2.1011022886791477
4	1608	1.4008310873441228	1.283736149625751	2.0629888309177686
11	836	1.3987988374024258	1.2742081950501987	1.945497810047931
12	618	1.3964977231537083	1.2397596146431271	2.1705211285038697
3	1639	1.3794102756198903	1.2466182874808367	2.0369713642861393
10	1046	1.237583458224864	1.1011619816168718	1.7582154083428194
1	2185	1.085198651732695	0.7539429012856087	1.5041769511398333
0	4424	0.5207355366633087	0.49402645415771407	0.49402645415771407
