location	variable	clusters_tested	median_eta_squared	max_eta_squared	strong_driver_clusters
FLT	h5_accession	16	0.35453496512984173	0.7384904604421718	14
FLT	mission	16	0.35453496512984173	0.7384904604421718	14
FLT	strain	16	0.33876779304690663	0.7187373137390758	12
FLT	library_selection	16	0.11750152611594641	0.5100042871834795	1
FLT	sex	16	0.16597475882480486	0.4446718217297849	5
FLT	sequencing_instrument	16	0.0025393272227721498	0.025973046300187052	0
FLT	library_layout	16			0
GC	h5_accession	15	0.4452274994088763	0.8779941371158937	14
GC	mission	15	0.4452274994088763	0.8779941371158937	14
GC	strain	15	0.3861326708644622	0.8658051831793452	13
GC	library_selection	15	0.11437719201421703	0.4790901022578162	4
GC	sex	15	0.11186290275024778	0.34516606046176	3
GC	sequencing_instrument	15	0.014322278817618037	0.05727445981294702	0
GC	library_layout	15			0
