flt_cluster	gene_count	gc_clusters_spanned	top_gc_cluster	top_gc_overlap	top_gc_overlap_fraction	gc_cluster_entropy
0	4260	6	0	3600	0.8450704225352113	0.706189708454726
1	4157	8	1	3315	0.7974500841953331	1.0343357872884584
2	2194	4	0	2103	0.9585232452142206	0.28022013176904836
3	2110	6	3	1360	0.6445497630331753	1.1295571257291186
4	1537	7	1	1010	0.657124268054652	1.19349670620846
5	1496	7	4	1099	0.7346256684491979	1.1867742436773254
6	1123	6	2	1064	0.9474621549421193	0.3708483212859373
7	1086	4	3	584	0.5377532228360957	1.044164822115761
8	1015	4	0	882	0.8689655172413793	0.6938659735103578
9	972	5	2	930	0.9567901234567902	0.3221057879998344
10	509	5	0	415	0.8153241650294696	0.8155118713450517
11	491	3	5	484	0.9857433808553971	0.11628067695169779
12	44	4	9	24	0.5454545454545454	1.3338414295790357
13	8	2	1	6	0.75	0.8112781244591328
14	7	1	5	7	1.0	-0.0
15	1	1	14	1	1.0	-0.0
