location	cluster	n_genes	variable	n_groups	eta_squared	p_value	fdr_bh	strong_batch_driver
FLT	0	4260	h5_accession	8	0.6848925495528949	2.265337438630737e-18	7.249079803618358e-18	True
FLT	0	4260	mission	8	0.6848925495528949	2.265337438630737e-18	7.249079803618358e-18	True
FLT	0	4260	library_selection	3	0.49018870565633904	1.336644494150283e-13	1.0693155953202263e-12	True
FLT	0	4260	library_layout	2	0.08933089525746188	0.004004124346567554	0.03511495683544983	False
FLT	0	4260	sex	2	0.07487357255049917	0.008678293384296824	0.034713173537187295	False
FLT	0	4260	strain	5	0.18444243196249768	0.0013913937133947778	0.005565574853579111	False
FLT	0	4260	sequencing_instrument	3	0.09176919504352164	0.014475515300008691	0.10504108745232461	False
FLT	1	4157	h5_accession	8	0.7113645909847467	6.507100094445712e-20	2.6028400377782848e-19	True
FLT	1	4157	mission	8	0.7113645909847467	6.507100094445712e-20	2.6028400377782848e-19	True
FLT	1	4157	library_selection	3	0.46645823977581174	9.89487606298131e-13	5.2772672335900326e-12	True
FLT	1	4157	library_layout	2	0.061144551943459836	0.018124738800277217	0.05113823613187713	False
FLT	1	4157	sex	2	0.052995819094109095	0.02814469629352009	0.09006302813926428	False
FLT	1	4157	strain	5	0.15706111038563908	0.00499731644277794	0.013326177180741174	False
FLT	1	4157	sequencing_instrument	3	0.061222705820288485	0.06205165738177989	0.11500836892201634	False
FLT	2	2194	h5_accession	8	0.14211788567153288	0.06975827423380798	0.07440882584939518	False
FLT	2	2194	mission	8	0.14211788567153288	0.06975827423380798	0.07440882584939518	False
FLT	2	2194	library_selection	3	0.08831431219682497	0.01710747954906433	0.021055359445002253	False
FLT	2	2194	library_layout	2	0.013465627485688247	0.27335542880713276	0.27335542880713276	False
FLT	2	2194	sex	2	0.02757637937714355	0.11567947999091946	0.3084786133091186	False
FLT	2	2194	strain	5	0.07138155657272788	0.16847491103537057	0.17970657177106195	False
FLT	2	2194	sequencing_instrument	3	0.01483596870545742	0.5180552472824874	0.5180552472824874	False
FLT	3	2110	h5_accession	8	0.6141058553006792	7.823503123504633e-15	1.7882292853724876e-14	True
FLT	3	2110	mission	8	0.6141058553006792	7.823503123504633e-15	1.7882292853724876e-14	True
FLT	3	2110	library_selection	3	0.3300785288906045	2.213357050289559e-08	5.902285467438824e-08	True
FLT	3	2110	library_layout	2	0.07471034431236581	0.008754443096335808	0.03511495683544983	False
