gene_id	flt_cluster	gc_cluster	procrustes_latent_shift
ENSMUSG00000029422	3	4	1.3796656840039625
ENSMUSG00000076126	2	0	0.21987508489697458
ENSMUSG00000049036	10	0	0.21996619144394658
ENSMUSG00000029577	3	3	1.9594499237070957
ENSMUSG00000040746	5	4	0.6493921517485746
ENSMUSG00000020590	3	3	2.606658683008194
ENSMUSG00000030263	1	1	0.2147154950596707
ENSMUSG00000038914	3	3	0.8007971416221185
ENSMUSG00000026878	7	3	2.740882250864537
ENSMUSG00000093241	0	6	0.2193408881467797
ENSMUSG00000030098	7	5	9.00052845045931
ENSMUSG00000078908	9	2	0.1948364778803316
ENSMUSG00000025056	2	0	0.22026199606073996
ENSMUSG00000090129	0	0	0.20843442504905313
ENSMUSG00000026407	12	9	7.128827378664377
ENSMUSG00000034239	0	0	0.2171701263140539
ENSMUSG00000020818	4	1	0.16125571233277855
ENSMUSG00000060038	4	1	0.14764366475928078
ENSMUSG00000020029	7	5	3.6805593842737547
ENSMUSG00000085958	1	8	0.20081092998863256
ENSMUSG00000024292	7	5	2.0592070493792147
ENSMUSG00000111356	0	0	0.21805433412035957
ENSMUSG00000016831	3	4	0.7528682122667335
ENSMUSG00000024791	0	0	0.20801160879953723
ENSMUSG00000028398	6	2	0.4684140080438997
ENSMUSG00000113338	0	0	0.2191364612394848
ENSMUSG00000022586	0	0	0.21666544097518495
ENSMUSG00000091034	2	0	0.22013927069383818
ENSMUSG00000056204	3	3	0.7896947963303177
ENSMUSG00000065472	2	0	0.22046041521143386
ENSMUSG00000056197	2	0	0.22049752853022475
ENSMUSG00000031986	4	1	0.2198999742560866
ENSMUSG00000086259	0	0	0.2202762803948022
ENSMUSG00000000244	1	1	0.19556287268545744
ENSMUSG00000027519	3	4	0.3748614202611463
ENSMUSG00000061086	8	0	0.2026873007053918
ENSMUSG00000056290	1	1	0.23598004275197268
ENSMUSG00000068206	4	1	0.2858271741921108
ENSMUSG00000077815	0	0	0.22099685559280755
ENSMUSG00000021208	4	1	0.3297111665736993
ENSMUSG00000088054	0	0	0.21953639519495646
ENSMUSG00000024998	5	4	0.4231736351815331
ENSMUSG00000047248	6	2	0.29190222581379116
ENSMUSG00000027981	6	2	1.148652938165756
ENSMUSG00000039683	8	0	0.19250209282080352
ENSMUSG00000047117	0	0	0.21564918655790669
ENSMUSG00000030278	4	2	1.1549174503589177
ENSMUSG00000037419	1	1	0.1045703973163174
ENSMUSG00000099616	0	0	0.21959032305997658
ENSMUSG00000022208	0	0	0.21508731923756821
ENSMUSG00000055197	10	0	0.22030817054032031
ENSMUSG00000059632	2	0	0.2205214237289152
ENSMUSG00000064823	0	0	0.21489501770013722
ENSMUSG00000095629	0	6	0.21545697898394098
ENSMUSG00000034829	0	0	0.213223705650708
ENSMUSG00000029380	4	7	3.354865204321361
ENSMUSG00000073001	0	0	0.21845380607579373
ENSMUSG00000031073	0	0	0.21885155263669526
ENSMUSG00000028047	8	1	0.17655233403032916
ENSMUSG00000039196	11	5	10.231784078802654
ENSMUSG00000032673	6	2	0.6923985832463909
ENSMUSG00000096584	10	0	0.2194107056513286
ENSMUSG00000022773	1	1	0.1812034045281319
ENSMUSG00000078597	12	7	1.1323962133569774
ENSMUSG00000021494	6	2	0.47014645513278247
ENSMUSG00000050248	1	1	0.14781013455413247
ENSMUSG00000003752	1	1	0.13605977690397147
ENSMUSG00000037353	6	2	0.37801795742957184
ENSMUSG00000022096	1	1	0.1328676706625364
ENSMUSG00000091311	2	0	0.2205913993243881
ENSMUSG00000096436	8	6	0.18504782783123566
ENSMUSG00000021661	4	1	0.2810897381190476
ENSMUSG00000039620	1	1	0.1774161425959876
ENSMUSG00000033765	1	0	0.1458189115340121
ENSMUSG00000032584	8	0	0.1838605021738769
ENSMUSG00000072884	1	1	0.20881326235135492
ENSMUSG00000066896	0	0	0.2178334452526528
ENSMUSG00000094606	0	6	0.21806818030319772
ENSMUSG00000032783	0	0	0.21566996128951704
ENSMUSG00000029093	0	0	0.19371635841357251
ENSMUSG00000030254	1	1	0.17936649517705938
ENSMUSG00000077991	2	0	0.22045350176354464
ENSMUSG00000021090	0	0	0.21413040957422824
ENSMUSG00000094687	2	0	0.22046966397275697
ENSMUSG00000055013	6	2	0.28419356251469663
ENSMUSG00000038204	1	1	0.2888704557300563
ENSMUSG00000020629	7	3	2.638862021697464
ENSMUSG00000030881	4	2	0.1677254001529149
ENSMUSG00000030662	3	3	0.8634399457074035
ENSMUSG00000020570	3	3	1.5487999418459606
ENSMUSG00000024401	0	0	0.2167878729153864
ENSMUSG00000108885	0	0	0.21954952360559915
ENSMUSG00000029015	0	0	0.21929125271046662
ENSMUSG00000045179	2	0	0.22046966397275697
ENSMUSG00000063779	0	6	0.2170668857574688
ENSMUSG00000070531	2	0	0.22059321639207227
ENSMUSG00000074183	1	0	0.34707266638099826
ENSMUSG00000042849	0	0	0.21622587622701675
ENSMUSG00000069939	1	1	0.21089052471207936
ENSMUSG00000025873	3	3	0.4139440391742111
ENSMUSG00000034456	11	5	4.2792327115851405
ENSMUSG00000070817	1	1	0.16390579423849203
ENSMUSG00000024294	7	3	3.084194804890272
ENSMUSG00000066463	0	6	0.21734090195775738
ENSMUSG00000035376	3	4	0.6517752685710468
ENSMUSG00000044252	7	3	1.0974384848378653
ENSMUSG00000055917	6	2	0.8887782603317349
ENSMUSG00000071815	2	0	0.2205310721519777
ENSMUSG00000068882	3	3	1.8808905053451481
ENSMUSG00000022685	6	2	0.5009957105986949
ENSMUSG00000036292	3	4	1.700637534910585
ENSMUSG00000041202	0	0	0.20108040996171053
ENSMUSG00000116360	2	0	0.22009458480595862
ENSMUSG00000024528	4	1	0.10276656996383604
ENSMUSG00000029861	0	0	0.21576218770299702
ENSMUSG00000077221	0	0	0.21881350575905967
ENSMUSG00000070469	1	1	0.14152260662265842
ENSMUSG00000115791	0	0	0.20068783882252797
