gene_id	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	meta_fdr_bh	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000027173	Depdc7	8	-0.6309415612588285	0.02969481527167109	-21.247532792727892	3.474495747705375e-100	1.5882306117844348e-97	4	4	171.2699128259219	95.91288400601059	1.355116271222931e-33	False	mixed
ENSMUSG00000026880	Stom	8	-0.6758003763436546	0.031942011682794424	-21.157101282624435	2.373743449554803e-99	1.0614761468987457e-96	1	7	85.55538951285517	91.81816593921506	1.0089441106462497e-15	False	mixed
ENSMUSG00000022504	Ciita	8	-0.8631322940723858	0.04080439276926682	-21.152925837006514	2.593468927249694e-99	1.1350565070963022e-96	2	6	57.912661245410206	87.91283313619994	3.9353837916641095e-10	False	mixed
ENSMUSG00000030726	Pold3	8	-0.4468189620546667	0.021444741982483546	-20.835828307919794	2.0493908131578295e-96	8.782493547220115e-94	2	6	77.39465592169864	90.95544787086848	4.6753236296281415e-14	False	mixed
ENSMUSG00000042369	Rbm45	8	-0.5154475821032467	0.024786170447306577	-20.795773320410557	4.726735071747972e-96	1.9842640903235875e-93	4	4	161.27891122953227	95.65969292163834	1.725941608353954e-31	False	mixed
ENSMUSG00000056025	Clca3a1	8	0.20558495495365472	0.00990362392586395	20.758558331032383	1.0259864727222991e-95	4.220908348779539e-93	1	7	81.79746877598537	91.44227797663208	5.919685569604975e-15	False	mixed
ENSMUSG00000033099	Nol12	8	-0.5382345992488663	0.02611959417242705	-20.606545250884853	2.3974454100458656e-94	9.66969648718499e-92	4	4	96.52271634832053	92.74782117119543	5.628411961342433e-18	False	mixed
ENSMUSG00000035933	Cog5	8	-0.4706808557601395	0.022961362635633167	-20.49882070281411	2.2057421327944483e-93	8.725406859919577e-91	3	5	105.91025278790293	93.39063044819818	6.466476937943386e-20	False	mixed
ENSMUSG00000070348	Ccnd1	8	-1.2522740610603706	0.06157638031322162	-20.336922285629765	6.061708576994932e-92	2.3526291590336934e-89	1	7	87.7716993201362	92.02476418455979	3.545863585130462e-16	True	mixed
ENSMUSG00000030347	D6Wsu163e	8	-0.3619310672069555	0.017911025174426123	-20.20716646212586	8.467136642683802e-91	3.225351865555663e-88	3	5	94.37637726404606	92.58288969874802	1.5579671326439965e-17	False	mixed
ENSMUSG00000026458	Ppfia4	8	-1.13068907770719	0.05614326291486687	-20.139354554823726	3.336557973425762e-90	1.247872682061235e-87	1	7	114.86204035333054	93.90573249572523	8.980429305077758e-22	True	mixed
ENSMUSG00000037214	Thap1	8	-0.4444995036547459	0.022102157959199217	-20.111135956737616	5.895805970497252e-90	2.1656558716630086e-87	2	6	96.37757100539557	92.73689933562642	6.0298163309072055e-18	False	mixed
ENSMUSG00000056870	Gulp1	8	0.6340633282941864	0.03155534629553404	20.09368942922753	8.379784355686915e-90	3.0240730560785936e-87	2	6	72.13241416048008	90.29562495381562	5.471570204666955e-13	False	mixed
ENSMUSG00000021258	Ccnk	8	0.3766804275188225	0.01883626841555792	19.9976141350641	5.7770793348660916e-89	2.048871067555095e-86	4	4	77.3945291662334	90.9554330578523	4.675601306565345e-14	False	mixed
ENSMUSG00000036461	Elf1	8	-0.5062553589629217	0.025349106964645284	-19.971329154474848	9.781554944243227e-89	3.410281105137003e-86	3	5	131.70059192667648	94.6849137899872	2.772969125646139e-25	False	mixed
