flt_cluster	gene_count	mean_latent_shift	median_latent_shift	p90_latent_shift
15	1	26.969026326096735	26.969026326096735	26.969026326096735
14	7	20.105507351407518	19.73500611345535	28.713705419721364
12	44	6.7992377976349045	6.674164342496184	10.80994768769634
11	491	6.634265685088059	5.317209614320168	11.0891910826657
7	1086	2.9893760702965984	2.6190572414380124	5.042215364865883
3	2110	1.3656428518079518	1.2239827904284604	2.2992779380456705
5	1496	1.3173912000949481	0.6906588976295158	1.4251618031752913
6	1123	0.613156284581471	0.4930451664561767	0.939394217160956
9	972	0.4275884262002953	0.37145003122984466	0.6720242580700743
4	1537	0.3757306283872749	0.28128084607976644	0.5399913701660555
1	4157	0.2284716157038268	0.18940190223748907	0.2762717252161202
13	8	0.22316279439534634	0.21187823310526616	0.2655207190126918
2	2194	0.2203602901389319	0.22046966397275697	0.22055978117528005
10	509	0.22010387192295341	0.22011237799788153	0.22074475558104223
0	4260	0.21431476217010242	0.21657696217586753	0.2200360557296111
8	1015	0.1986813384554824	0.19923779048380866	0.21427001490271816
