gc_cluster	gene_count	mean_latent_shift	median_latent_shift	p90_latent_shift
14	2	33.95987777309408	33.95987777309408	39.55255893069196
9	66	15.909454143710315	12.488133692408578	29.507144504796038
13	8	15.370284888556803	16.079541784489038	21.05952311829061
5	1043	5.03114215539079	4.052068921621513	8.94382600691782
7	265	1.9963993493304983	1.4685314265782874	4.0291894275325895
3	1958	1.7386962959830266	1.5444121406431748	2.9384408377412323
11	18	0.9073118083250241	0.9135526441270085	1.357036892991353
4	1818	0.895032889774688	0.8016520546075951	1.4866323436171522
2	2759	0.4707589712126992	0.42124201089398555	0.7738851131838591
8	161	0.24262596874770326	0.1962634350669029	0.4288425625086016
10	23	0.21883091355086307	0.22018898124511552	0.22051389546596434
12	14	0.2186910175764909	0.22001383117359585	0.22063876506328164
1	4448	0.21680716275708073	0.19584196224175873	0.3057643209466198
0	7552	0.21259452729013587	0.2185139388945807	0.22051083011874864
6	875	0.21177718538083715	0.21697021972973823	0.22041885522935373
