gene_id	gene_symbol	studies_tested	meta_log2_fold_change	meta_se	meta_z	meta_p_value	meta_fdr_bh	direction_up_studies	direction_down_studies	q_heterogeneity	i2_percent	heterogeneity_p_value	significant_fdr05_abs_log2fc1	consistent_direction
ENSMUSG00000053198	Prx	8	-0.012404784268773667	0.11898686933402366	-0.10425338811083909	0.916968267169773	0.9552333260246242	4	4	1.7995632902174605	0.0	0.9700969706925942	False	mixed
ENSMUSG00000030042	Pole4	8	0.005879032357327878	0.056566559147888815	0.1039312350952373	0.9172239193052998	0.9554512594373837	3	5	18.06739435969713	61.25617307820062	0.011669604514654307	False	mixed
ENSMUSG00000058183	Mmel1	8	-0.014296313489480662	0.1379016163461199	-0.10367038377272011	0.9174309303069696	0.9556185049835105	4	4	28.51109023599561	75.44815037917276	0.0001776015190917105	False	mixed
ENSMUSG00000061259	Tmprss11d	8	-0.014768772824815457	0.14263767828238486	-0.10354047403644075	0.9175340284600699	0.9556775009075719	2	6	8.62259251638692	18.817919474951907	0.2808994906621318	False	mixed
ENSMUSG00000087466	A330041J22Rik	8	0.011679223125240846	0.11287243236095373	0.10347276904507527	0.9175877606220463	0.955685075240278	5	3	5.0774420411796015	0.0	0.6505130225246346	False	mixed
ENSMUSG00000037129	Tmprss13	8	-0.014502646818883348	0.14052514260113655	-0.10320321723527681	0.9178016865641025	0.9558217007146083	4	4	15.375127823531558	54.47192322338593	0.03148043369181787	False	mixed
ENSMUSG00000020160	Meis1	8	-0.005574975979148576	0.054026120194337814	-0.10319038196884733	0.9178118732384514	0.9558217007146083	3	5	25.765544798897686	72.8319348391986	0.0005546240961095531	False	mixed
ENSMUSG00000044719	E230025N22Rik	6	0.014562670928373815	0.1413410716071582	0.10303212479419387	0.9179374747236124	0.9559041084931256	2	3	4.703047383092941	0.0	0.45318411487425125	False	mixed
ENSMUSG00000001518	Itfg2	8	0.004456641720904572	0.04338757338471599	0.1027170079641859	0.918187574642618	0.9561161491545334	3	5	23.020752486131382	69.5926533929893	0.0016904807184589467	False	mixed
ENSMUSG00000078444	Gm10941	8	-0.012220897104638294	0.11905078457762835	-0.10265280609444052	0.9182385309672548	0.9561208090101966	4	3	3.116530728620573	0.0	0.8740169199555683	False	mixed
