location	cluster	n_genes	feature	profile	cluster_mean_log2_expression	h5_accession	mission	library_selection	library_layout	sex	strain	sequencing_instrument
FLT	0	4260	OSD-379_RR8_LVR_FLT_LAR_OLD_FL16	RR8_LVR_FLT_LAR_OLD_FL16	1.3988490104675293	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_LAR_OLD_FL3	RR8_LVR_FLT_LAR_OLD_FL3	1.433790922164917	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_LAR_OLD_FL4	RR8_LVR_FLT_LAR_OLD_FL4	1.3243422508239746	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_LAR_OLD_FL7	RR8_LVR_FLT_LAR_OLD_FL7	1.2534823417663574	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_LAR_OLD_FL8	RR8_LVR_FLT_LAR_OLD_FL8	1.8352503776550293	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_LAR_YNG_FL1	RR8_LVR_FLT_LAR_YNG_FL1	1.251734972000122	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_LAR_YNG_FL13	RR8_LVR_FLT_LAR_YNG_FL13	1.064019799232483	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_LAR_YNG_FL14	RR8_LVR_FLT_LAR_YNG_FL14	1.074650526046753	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_LAR_YNG_FL17	RR8_LVR_FLT_LAR_YNG_FL17	1.0774238109588623	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_LAR_YNG_FL18	RR8_LVR_FLT_LAR_YNG_FL18	1.3974459171295166	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_LAR_YNG_FL2	RR8_LVR_FLT_LAR_YNG_FL2	2.04783296585083	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_LAR_YNG_FL5	RR8_LVR_FLT_LAR_YNG_FL5	0.8962823748588562	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-379_RR8_LVR_FLT_LAR_YNG_FL6	RR8_LVR_FLT_LAR_YNG_FL6	1.1874396800994873	OSD-379	RRRM-1 (RR-8)	ribo-depletion	PAIRED	Female	BALB/cAnNTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	Mmus_C57-6T_LVR_FLT_ISS-T_Rep10_F6	1.5488934516906738	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	Mmus_C57-6T_LVR_FLT_ISS-T_Rep1_F5	2.134518623352051	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	Mmus_C57-6T_LVR_FLT_ISS-T_Rep2_F8	2.1254160404205322	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	Mmus_C57-6T_LVR_FLT_ISS-T_Rep3_F9	2.366664409637451	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	Mmus_C57-6T_LVR_FLT_ISS-T_Rep4_F10	2.0686254501342773	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	Mmus_C57-6T_LVR_FLT_ISS-T_Rep5_F7	1.8316136598587036	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	Mmus_C57-6T_LVR_FLT_ISS-T_Rep6_F1	2.0739996433258057	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	Mmus_C57-6T_LVR_FLT_ISS-T_Rep7_F2	2.114346981048584	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	Mmus_C57-6T_LVR_FLT_ISS-T_Rep8_F3	1.9418461322784424	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-245_Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	Mmus_C57-6T_LVR_FLT_ISS-T_Rep9_F4	1.4826146364212036	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	Mmus_C57-6T_LVR_FLT_LAR_Rep10_F5	2.2685940265655518	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	Mmus_C57-6T_LVR_FLT_LAR_Rep1_F1	2.0060179233551025	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	Mmus_C57-6T_LVR_FLT_LAR_Rep2_F2	1.860846757888794	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	Mmus_C57-6T_LVR_FLT_LAR_Rep3_F3	2.0159287452697754	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
FLT	0	4260	OSD-245_Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	Mmus_C57-6T_LVR_FLT_LAR_Rep4_F6	1.9384944438934326	OSD-245	RR-6	Ribo-depletion	PAIRED	Female	C57BL/6NTac	Illumina NovaSeq 6000
