Cluster,Score,Type,Gene,Symbol,Network
1,2.5,Seed,11459,Acta1,DESeq2_meta_sig_12filter_SUB1
1,2.5,Clustered,17884,Myh4,DESeq2_meta_sig_12filter_SUB1
1,2.5,Clustered,74376,Myo18b,DESeq2_meta_sig_12filter_SUB1
1,2.5,Clustered,17879,Myh1,DESeq2_meta_sig_12filter_SUB1
1,2.5,Clustered,17882,Myh2,DESeq2_meta_sig_12filter_SUB1
1,2.5,Clustered,17901,Myl1,DESeq2_meta_sig_12filter_SUB1
1,6.0,Clustered,21393,Tcap,FLT_cluster_13_muscle_contractile_SUB1
1,6.0,Clustered,21956,Tnnt2,FLT_cluster_13_muscle_contractile_SUB1
1,6.0,Clustered,233199,Mybpc2,FLT_cluster_13_muscle_contractile_SUB1
1,6.0,Clustered,11472,Actn2,FLT_cluster_13_muscle_contractile_SUB1
1,6.0,Clustered,21953,Tnni2,FLT_cluster_13_muscle_contractile_SUB1
1,6.0,Clustered,21916,Tmod1,FLT_cluster_13_muscle_contractile_SUB1
1,6.0,Clustered,17897,Myl3,FLT_cluster_13_muscle_contractile_SUB1
1,6.0,Clustered,21925,Tnnc2,FLT_cluster_13_muscle_contractile_SUB1
1,6.0,Clustered,50876,Tmod2,FLT_cluster_13_muscle_contractile_SUB1
1,6.0,Clustered,21924,Tnnc1,FLT_cluster_13_muscle_contractile_SUB1
1,6.0,Clustered,17885,Myh8,FLT_cluster_13_muscle_contractile_SUB1
1,6.0,Seed,21957,Tnnt3,FLT_cluster_13_muscle_contractile_SUB1
1,6.0,Clustered,17901,Myl1,FLT_cluster_13_muscle_contractile_SUB1
2,3.375,Clustered,17907,Mylpf,FLT_cluster_13_muscle_contractile_SUB1
2,3.375,Clustered,11459,Acta1,FLT_cluster_13_muscle_contractile_SUB1
2,3.375,Clustered,17884,Myh4,FLT_cluster_13_muscle_contractile_SUB1
2,3.375,Clustered,140781,Myh7,FLT_cluster_13_muscle_contractile_SUB1
2,3.375,Clustered,17879,Myh1,FLT_cluster_13_muscle_contractile_SUB1
2,3.375,Clustered,11468,Actg2,FLT_cluster_13_muscle_contractile_SUB1
2,3.375,Seed,17882,Myh2,FLT_cluster_13_muscle_contractile_SUB1
2,3.375,Clustered,216459,Myl6b,FLT_cluster_13_muscle_contractile_SUB1
3,1.5,Seed,24053,Sgcg,FLT_cluster_13_muscle_contractile_SUB1
3,1.5,Clustered,16669,Krt19,FLT_cluster_13_muscle_contractile_SUB1
3,1.5,Clustered,13527,Dtna,FLT_cluster_13_muscle_contractile_SUB1
3,1.5,Clustered,24052,Sgcd,FLT_cluster_13_muscle_contractile_SUB1
4,1.5,Clustered,12778,Ackr3,FLT_cluster_13_muscle_contractile_SUB3
4,1.5,Clustered,55985,Cxcl13,FLT_cluster_13_muscle_contractile_SUB3
4,1.5,Seed,12775,Ccr7,FLT_cluster_13_muscle_contractile_SUB3
4,1.5,Clustered,24047,Ccl19,FLT_cluster_13_muscle_contractile_SUB3
5,1.0,Seed,12613,Cel,FLT_cluster_13_muscle_contractile_SUB5
5,1.0,Clustered,18946,Pnliprp1,FLT_cluster_13_muscle_contractile_SUB5
5,1.0,Clustered,69060,Pnlip,FLT_cluster_13_muscle_contractile_SUB5
1,10.695652173913043,Clustered,665155,Srp54b,FLT_cluster_14_liver_secreted_SUB1
1,10.695652173913043,Clustered,231655,Oasl1,FLT_cluster_14_liver_secreted_SUB1
1,10.695652173913043,Clustered,68028,Rpl22l1,FLT_cluster_14_liver_secreted_SUB1
1,10.695652173913043,Clustered,68052,Rps13,FLT_cluster_14_liver_secreted_SUB1
1,10.695652173913043,Clustered,67186,Rplp2,FLT_cluster_14_liver_secreted_SUB1
1,10.695652173913043,Clustered,54217,Rpl36,FLT_cluster_14_liver_secreted_SUB1
1,10.695652173913043,Clustered,12550,Cdh1,FLT_cluster_14_liver_secreted_SUB1
1,10.695652173913043,Clustered,19933,Rpl21,FLT_cluster_14_liver_secreted_SUB1
1,10.695652173913043,Clustered,110954,Rpl10,FLT_cluster_14_liver_secreted_SUB1
1,10.695652173913043,Clustered,20090,Rps29,FLT_cluster_14_liver_secreted_SUB1
1,10.695652173913043,Clustered,11837,Rplp0,FLT_cluster_14_liver_secreted_SUB1
1,10.695652173913043,Clustered,19943,Rpl28,FLT_cluster_14_liver_secreted_SUB1
1,10.695652173913043,Clustered,27367,Rpl3,FLT_cluster_14_liver_secreted_SUB1
1,10.695652173913043,Clustered,20084,Rps18,FLT_cluster_14_liver_secreted_SUB1
