Cluster,Score,Type,Gene,Symbol,Network
1,7.5,Clustered,12292,Cacna1s,_FINAL_SUB1
1,7.5,Clustered,67077,Catsperz,_FINAL_SUB1
1,7.5,Clustered,56808,Cacna2d2,_FINAL_SUB1
1,7.5,Clustered,329954,Catsper4,_FINAL_SUB1
1,7.5,Clustered,54652,Cacna1f,_FINAL_SUB1
1,7.5,Clustered,12291,Cacna1g,_FINAL_SUB1
1,7.5,Clustered,81905,Cacng8,_FINAL_SUB1
1,7.5,Clustered,271036,Catsperb,_FINAL_SUB1
1,7.5,Clustered,76718,Catsperg2,_FINAL_SUB1
1,7.5,Clustered,69306,Efcab9,_FINAL_SUB1
1,7.5,Clustered,54377,Cacng4,_FINAL_SUB1
1,7.5,Seed,237611,Stac3,_FINAL_SUB1
1,7.5,Clustered,58226,Cacna1h,_FINAL_SUB1
1,7.5,Clustered,12287,Cacna1b,_FINAL_SUB1
1,7.5,Clustered,433215,Catsperh,_FINAL_SUB1
1,7.5,Clustered,76856,Catsper3,_FINAL_SUB1
3,5.5,Clustered,11474,Actn3,_FINAL_SUB1
3,5.5,Clustered,21393,Tcap,_FINAL_SUB1
3,5.5,Clustered,21954,Tnni3,_FINAL_SUB1
3,5.5,Seed,233199,Mybpc2,_FINAL_SUB1
3,5.5,Clustered,21953,Tnni2,_FINAL_SUB1
3,5.5,Clustered,21916,Tmod1,_FINAL_SUB1
3,5.5,Clustered,17897,Myl3,_FINAL_SUB1
3,5.5,Clustered,17906,Myl2,_FINAL_SUB1
3,5.5,Clustered,21925,Tnnc2,_FINAL_SUB1
3,5.5,Clustered,21957,Tnnt3,_FINAL_SUB1
3,5.5,Clustered,21952,Tnni1,_FINAL_SUB1
3,5.5,Clustered,17901,Myl1,_FINAL_SUB1
2,3.375,Clustered,30878,Apln,_FINAL_SUB1
2,3.375,Clustered,12322,Camk2a,_FINAL_SUB1
2,3.375,Clustered,12062,Bdkrb2,_FINAL_SUB1
2,3.375,Seed,380702,Shisa6,_FINAL_SUB1
2,3.375,Clustered,14428,Galr2,_FINAL_SUB1
2,3.375,Clustered,18386,Oprd1,_FINAL_SUB1
2,3.375,Clustered,18155,Pnoc,_FINAL_SUB1
2,3.375,Clustered,14799,Gria1,_FINAL_SUB1
2,3.375,Clustered,18387,Oprk1,_FINAL_SUB1
2,3.375,Clustered,54376,Cacng3,_FINAL_SUB1
2,3.375,Clustered,14804,Grid2,_FINAL_SUB1
2,3.375,Clustered,14811,Grin2a,_FINAL_SUB1
2,3.375,Clustered,20607,Sstr3,_FINAL_SUB1
2,3.375,Clustered,14814,Grin2d,_FINAL_SUB1
2,3.375,Clustered,14805,Grik1,_FINAL_SUB1
2,3.375,Clustered,18390,Oprm1,_FINAL_SUB1
7,2.5,Clustered,20303,Ccl4,_FINAL_SUB1
7,2.5,Clustered,12773,Ccr4,_FINAL_SUB1
7,2.5,Clustered,12458,Ccr6,_FINAL_SUB1
7,2.5,Clustered,12777,Ccr10,_FINAL_SUB1
7,2.5,Seed,330122,Cxcl3,_FINAL_SUB1
7,2.5,Clustered,20310,Cxcl2,_FINAL_SUB1
8,2.0,Clustered,22072,Prss2,_FINAL_SUB1
8,2.0,Clustered,22074,Try4,_FINAL_SUB1
8,2.0,Clustered,50701,Elane,_FINAL_SUB1
8,2.0,Clustered,103964,Try5,_FINAL_SUB1
8,2.0,Seed,17228,Cma1,_FINAL_SUB1
5,1.6666666666666665,Clustered,211482,Efhb,_FINAL_SUB1
5,1.6666666666666665,Clustered,73710,Tubb2b,_FINAL_SUB1
5,1.6666666666666665,Clustered,76757,Trdn,_FINAL_SUB1
5,1.6666666666666665,Seed,12372,Casq1,_FINAL_SUB1
5,1.6666666666666665,Clustered,22153,Tubb4a,_FINAL_SUB1
5,1.6666666666666665,Clustered,75563,Dnali1,_FINAL_SUB1
5,1.6666666666666665,Clustered,237806,Dnah9,_FINAL_SUB1
5,1.6666666666666665,Clustered,75533,Nme5,_FINAL_SUB1
5,1.6666666666666665,Clustered,12373,Casq2,_FINAL_SUB1
4,1.4545454545454546,Clustered,11687,Alox15,_FINAL_SUB1
4,1.4545454545454546,Clustered,17480,Mpl,_FINAL_SUB1
4,1.4545454545454546,Clustered,16153,Il10,_FINAL_SUB1
4,1.4545454545454546,Clustered,665270,Plb1,_FINAL_SUB1
4,1.4545454545454546,Clustered,18126,Nos2,_FINAL_SUB1
4,1.4545454545454546,Clustered,16189,Il4,_FINAL_SUB1
4,1.4545454545454546,Seed,26565,Pla2g10,_FINAL_SUB1
4,1.4545454545454546,Clustered,21926,Tnf,_FINAL_SUB1
4,1.4545454545454546,Clustered,16183,Il2,_FINAL_SUB1
