gene_id	gene_symbol	accession	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant_padj05_abs_lfc1	direction
ENSMUSG00000029422	Rsrc2	OSD-379	1176.14280064345	0.209519970002399	0.079059224494336	2.65016475107733	0.0080452528323068	0.0988592643120955	FALSE	up
ENSMUSG00000029577	Ube3b	OSD-379	1858.29100357251	-0.0692844272801674	0.0852869115713466	-0.812368814905528	0.416580034858365	0.723260495063458	FALSE	down
ENSMUSG00000040746	Rnf167	OSD-379	1123.62514625515	-0.020244363477113	0.0683974947531459	-0.295981066999269	0.767244540292978	0.911456565340084	FALSE	down
ENSMUSG00000020590	Snx13	OSD-379	1980.97957683306	-0.015910996810268	0.0517666741266281	-0.307359842576473	0.758569490718433	0.909739352803177	FALSE	down
ENSMUSG00000030263	Irag2	OSD-379	117.143709143516	-0.212160666133419	0.0897783447669947	-2.36316081215406	0.0181198050061092	0.156439170836131	FALSE	down
ENSMUSG00000038914	Dido1	OSD-379	2051.72827161466	0.0850432651603108	0.0696938248489605	1.22024103777652	0.222373514207489	0.553017987465133	FALSE	up
ENSMUSG00000026878	Rab14	OSD-379	4303.58641934803	-0.0359500377096476	0.0736940495718752	-0.487828229260015	0.625671514329007	0.846307009672385	FALSE	down
ENSMUSG00000030098	Grip2	OSD-379	14333.1116345703	-0.0725773382870467	0.284909936913245	-0.254737827235371	0.798925597888663	0.92618652050691	FALSE	down
ENSMUSG00000078908	Mon1b	OSD-379	353.280411037643	0.193985020457185	0.0632012543218786	3.06932231865583	0.00214544983722868	0.0460231320448152	FALSE	up
ENSMUSG00000090129	Olfr287	OSD-379	6.44186320769413	0.100956179397552	0.228292471186787	0.442222990853476	0.65832785073235	0.864426264954263	FALSE	up
ENSMUSG00000026407	Cacna1s	OSD-379	126.731909123361	0.662162474779146	1.00568670452013	0.65841824477047	0.510269414940804	0.782444675408276	FALSE	up
ENSMUSG00000020818	Mfsd11	OSD-379	268.754946837337	-0.0621939096588189	0.0630451570202689	-0.986497815190209	0.323888886840492	0.651458589348691	FALSE	down
ENSMUSG00000060038	Dhps	OSD-379	135.061160946356	-0.116989650717275	0.0928414030455794	-1.26010214063482	0.207632518163351	0.533553885231386	FALSE	down
