gene_id	gene_symbol	accession	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant_padj05_abs_lfc1	direction
ENSMUSG00000029422	Rsrc2	OSD-173	649.784828973671	0.0590469255173516	0.268751736696367	0.219708070515884	0.826098518878295	0.974622738609054	FALSE	up
ENSMUSG00000029577	Ube3b	OSD-173	1132.18427990631	-0.000521938023142842	0.27979216293228	-0.00186544904500835	0.998511587871278	0.999882591170048	FALSE	down
ENSMUSG00000040746	Rnf167	OSD-173	679.855706947281	-0.0162122453153754	0.268705075107225	-0.0603347194276328	0.951889050199239	0.993524689323311	FALSE	down
ENSMUSG00000020590	Snx13	OSD-173	1831.40058052402	0.261312869487036	0.26062797125132	1.00262787694056	0.316040440272721	0.791857388381855	FALSE	up
ENSMUSG00000030263	Irag2	OSD-173	104.70259672276	-0.258505762075857	0.382367803758246	-0.676065713522519	0.498998924117028	0.888996768228949	FALSE	down
ENSMUSG00000038914	Dido1	OSD-173	1735.12650616702	-0.0227668535445263	0.254824335013517	-0.0893433256416374	0.928809062837209	0.990724250124581	FALSE	down
ENSMUSG00000026878	Rab14	OSD-173	2838.5258429224	0.228417817481087	0.253135341295176	0.902354512461116	0.366868576432979	0.824868548474638	FALSE	up
ENSMUSG00000030098	Grip2	OSD-173	12234.7900624564	0.367103465357364	0.283620733663983	1.29434636394491	0.195545808394804	0.682005160685884	FALSE	up
ENSMUSG00000078908	Mon1b	OSD-173	291.967138671706	-0.78079292973553	0.325916570772075	-2.39568343483083	0.0165894110614855	0.203844662895869	FALSE	down
ENSMUSG00000020818	Mfsd11	OSD-173	257.986848354367	0.151141765530084	0.297465958946409	0.508097686422375	0.611384837687252	0.927506641492033	FALSE	up
ENSMUSG00000060038	Dhps	OSD-173	289.328741109164	0.204427321458938	0.314304205915211	0.650412299968031	0.515425934315565	0.896638067629836	FALSE	up
ENSMUSG00000020029	Nudt4	OSD-173	6107.74842728153	0.134990523402458	0.275140812670202	0.490623408764385	0.623692826768557	0.931510600852866	FALSE	up
ENSMUSG00000085958	A930019D19Rik	OSD-173	26.6980453563086	-0.507076414721748	0.587507868049332	-0.863097232051316	0.388084009680903	0.836082822202357	FALSE	down
ENSMUSG00000024292	Cyp4f14	OSD-173	4251.47458942428	-0.80909213885107	0.250299799512761	-3.23249215710946	0.00122715504366218	0.0372206503665994	FALSE	down
ENSMUSG00000016831	Tox4	OSD-173	1244.65004275811	0.142813394046031	0.258619097731817	0.552215189437115	0.580800928798207	0.918866708814913	FALSE	up
ENSMUSG00000028398	Dmac1	OSD-173	657.361413969068	-0.220300308673651	0.340907648515688	-0.646216972933401	0.518138848992279	0.898385370116795	FALSE	down
ENSMUSG00000056204	Pgpep1	OSD-173	1171.07420989116	-0.894620950453457	0.286757290826962	-3.11978449745258	0.00180983394971386	0.0489297236116653	FALSE	down
ENSMUSG00000031986	Sprtn	OSD-173	315.168106204186	0.386328051311031	0.291363264223617	1.3259326028642	0.184862022620638	0.667082761803254	FALSE	up
ENSMUSG00000000244	Tspan32	OSD-173	27.5278508741631	-0.459097946924618	0.590122499048451	-0.777970586894916	0.436586353256622	0.859983425728271	FALSE	down
ENSMUSG00000027519	Rab22a	OSD-173	881.370113699658	-0.119267120458648	0.277217210237023	-0.430229856063676	0.667028445902182	0.943844789111008	FALSE	down
