gene_id	location	flight_probability	mean_absolute_shap	sum_signed_shap
ENSMUSG00000031980	FLT	0.9999362	1.0977278	9.658262
ENSMUSG00000000326	FLT	0.9991008	1.096346	7.011426
ENSMUSG00000034926	FLT	0.99983346	1.0920897	8.698473
ENSMUSG00000092837	FLT	0.9996039	1.0920258	7.8318744
ENSMUSG00000025533	FLT	0.9999794	1.089109	10.785448
ENSMUSG00000094806	FLT	0.9994336	1.0873003	7.4739285
ENSMUSG00000009281	FLT	0.99998724	1.0857266	11.269567
ENSMUSG00000030688	FLT	0.9999074	1.0855739	9.285051
ENSMUSG00000019505	FLT	0.99841917	1.085132	6.446498
ENSMUSG00000031444	FLT	0.9994363	1.0848007	7.4788013
ENSMUSG00000024892	FLT	0.99990606	1.0843349	9.271209
ENSMUSG00000048856	FLT	0.9998734	1.0833197	8.972706
ENSMUSG00000030747	FLT	0.9999621	1.0829043	10.17778
ENSMUSG00000009614	FLT	0.9995103	1.0814703	7.619422
ENSMUSG00000062647	FLT	0.9999597	1.0814003	10.118072
ENSMUSG00000047797	FLT	0.99939954	1.0809969	7.4155436
ENSMUSG00000032518	FLT	0.9999726	1.078199	10.500453
ENSMUSG00000093674	FLT	0.9999945	1.078015	12.101594
ENSMUSG00000017404	FLT	0.99983215	1.0773901	8.690532
ENSMUSG00000028494	FLT	0.9995389	1.0773551	7.6797175
ENSMUSG00000074336	FLT	0.99969053	1.0773264	8.078563
ENSMUSG00000025347	FLT	0.9998951	1.0770477	9.161256
ENSMUSG00000000673	FLT	0.9968118	1.0758721	5.7433834
ENSMUSG00000000753	FLT	0.9998956	1.0754366	9.165553
ENSMUSG00000030630	FLT	0.9991788	1.0736458	7.102336
ENSMUSG00000010651	FLT	0.9998305	1.073541	8.680812
ENSMUSG00000021091	FLT	0.9996649	1.0734022	7.998889
ENSMUSG00000004207	FLT	0.99984205	1.0729796	8.75157
ENSMUSG00000028737	FLT	0.99907565	1.0729182	6.98385
ENSMUSG00000031672	FLT	0.99648464	1.0728905	5.645392
ENSMUSG00000034994	FLT	0.99968433	1.0717694	8.058622
ENSMUSG00000034456	FLT	0.99917346	1.0709084	7.0957594
ENSMUSG00000001435	FLT	0.9978307	1.0702822	6.1294665
ENSMUSG00000078674	GC	0.00023071164	1.0700048	-8.375822
ENSMUSG00000088088	FLT	0.99999416	1.0697384	12.044706
ENSMUSG00000036880	FLT	0.99401253	1.0687172	5.1103764
ENSMUSG00000020884	FLT	0.99968874	1.0687144	8.072621
ENSMUSG00000018574	FLT	0.9989856	1.0683707	6.8906903
ENSMUSG00000031818	FLT	0.9998908	1.0651957	9.120125
ENSMUSG00000003585	FLT	0.9990596	1.0632868	6.9665833
ENSMUSG00000022445	FLT	0.9884658	1.0628221	4.4491277
ENSMUSG00000024386	FLT	0.9998504	1.062599	8.805403
ENSMUSG00000015846	FLT	0.9996847	1.0625191	8.059883
ENSMUSG00000053644	FLT	0.9990293	1.0624331	6.9347553
ENSMUSG00000057666	FLT	0.9896304	1.0618851	4.556732
ENSMUSG00000063229	FLT	0.9982691	1.0608858	6.3556623
ENSMUSG00000074129	FLT	0.9996526	1.0602279	7.962899
ENSMUSG00000035237	FLT	0.9999883	1.060207	11.358681
ENSMUSG00000021884	FLT	0.9983015	1.0592346	6.374625
ENSMUSG00000022982	FLT	0.9996393	1.0587668	7.9254084
ENSMUSG00000044533	GC	1.8576835e-05	1.0585947	-10.895283
ENSMUSG00000025153	FLT	0.99778545	1.0583787	6.108798
ENSMUSG00000023176	FLT	0.9996929	1.0583487	8.086279
ENSMUSG00000028980	FLT	0.9988225	1.0581454	6.74149
ENSMUSG00000032399	FLT	0.99444854	1.0579035	5.1864085
ENSMUSG00000030131	GC	5.685612e-06	1.0568031	-12.079278
ENSMUSG00000031672	GC	0.00093518576	1.0566597	-6.9755383
ENSMUSG00000005547	GC	0.00048579465	1.0564697	-7.6309514
ENSMUSG00000017009	FLT	0.99991906	1.0553955	9.419817
ENSMUSG00000036880	GC	0.0018005394	1.0553765	-6.319573
ENSMUSG00000047797	GC	0.0069874916	1.0553533	-4.9583263
ENSMUSG00000032080	FLT	0.9999912	1.0546043	11.634229
ENSMUSG00000009927	FLT	0.9981487	1.054322	6.288272
ENSMUSG00000017950	FLT	0.9968182	1.0542245	5.745417
ENSMUSG00000031596	FLT	0.99991775	1.0533661	9.404182
ENSMUSG00000050708	FLT	0.99796873	1.0532761	6.1953487
ENSMUSG00000054072	FLT	0.99998796	1.0528542	11.326677
ENSMUSG00000029162	FLT	0.9999714	1.0524387	10.460889
ENSMUSG00000024863	GC	0.0010096696	1.0523813	-6.898835
ENSMUSG00000028737	GC	0.0029433067	1.051849	-5.826984
ENSMUSG00000021091	GC	0.0012585231	1.0510678	-6.6782637
ENSMUSG00000073988	GC	0.006187496	1.0501821	-5.0807304
ENSMUSG00000025004	GC	0.00027808716	1.0499228	-8.189006
ENSMUSG00000047631	FLT	0.99957174	1.0498853	7.753672
ENSMUSG00000052305	FLT	0.99916685	1.0497133	7.087652
ENSMUSG00000029445	FLT	0.9772789	1.0496703	3.7597651
ENSMUSG00000026691	GC	0.00036680646	1.0487745	-7.912017
ENSMUSG00000038224	FLT	0.9960647	1.0487206	5.5321255
ENSMUSG00000030744	FLT	0.9999523	1.0484091	9.948017
ENSMUSG00000053898	FLT	0.9998975	1.047734	9.183549
ENSMUSG00000078675	FLT	0.9939528	1.0476569	5.100398
ENSMUSG00000034926	GC	0.00043202177	1.0474601	-7.748315
ENSMUSG00000040249	FLT	0.99135524	1.0474494	4.740403
ENSMUSG00000030630	GC	0.0005182894	1.0473018	-7.5661607
ENSMUSG00000056973	GC	0.0002580352	1.0472527	-8.2638645
ENSMUSG00000000753	GC	0.0005681192	1.0469623	-7.4743156
ENSMUSG00000031444	GC	0.00011472829	1.0469563	-9.074539
ENSMUSG00000003585	GC	0.0051106177	1.0466694	-5.2730193
ENSMUSG00000023944	FLT	0.9982368	1.0466166	6.337175
ENSMUSG00000032399	GC	0.011226438	1.0464498	-4.4799037
ENSMUSG00000034456	GC	0.00043103198	1.046404	-7.7506022
ENSMUSG00000074254	GC	0.0004893797	1.0462409	-7.6235857
ENSMUSG00000033688	FLT	0.9998921	1.0459591	9.132716
