h5_accession	condition_label	ercc_biological_key	profile	ercc_status	duplicate_group	retained	decision
OSD-168	FLT	Mmus_BAL-TAL_LVR_RR3_FLT_Rep1_F1	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep1_F1	wERCC	False	True	kept_unique_wERCC
OSD-168	FLT	Mmus_BAL-TAL_LVR_RR3_FLT_Rep2_F2	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep2_F2	wERCC	False	True	kept_unique_wERCC
OSD-168	FLT	Mmus_BAL-TAL_LVR_RR3_FLT_Rep3_F3	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep3_F3	wERCC	False	True	kept_unique_wERCC
OSD-168	FLT	Mmus_BAL-TAL_LVR_RR3_FLT_Rep4_F4	Mmus_BAL-TAL_LVR_RR3_FLT_wERCC_Rep4_F4	wERCC	False	True	kept_unique_wERCC
OSD-168	GC	Mmus_BAL-TAL_LVR_RR3_GC_Rep1_G1	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep1_G1	wERCC	False	True	kept_unique_wERCC
OSD-168	GC	Mmus_BAL-TAL_LVR_RR3_GC_Rep2_G2	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep2_G2	wERCC	False	True	kept_unique_wERCC
OSD-168	GC	Mmus_BAL-TAL_LVR_RR3_GC_Rep3_G3	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep3_G3	wERCC	False	True	kept_unique_wERCC
OSD-168	GC	Mmus_BAL-TAL_LVR_RR3_GC_Rep4_G5	Mmus_BAL-TAL_LVR_RR3_GC_wERCC_Rep4_G5	wERCC	False	True	kept_unique_wERCC
OSD-168	FLT	Mmus_C57-6J_LVR_RR1_FLT_Rep1_M25	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep1_M25	noERCC	True	True	kept_noERCC
OSD-168	FLT	Mmus_C57-6J_LVR_RR1_FLT_Rep1_M25	Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep1_M25	wERCC	True	False	kept_noERCC
OSD-168	FLT	Mmus_C57-6J_LVR_RR1_FLT_Rep2_M26	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep2_M26	noERCC	True	True	kept_noERCC
OSD-168	FLT	Mmus_C57-6J_LVR_RR1_FLT_Rep2_M26	Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep2_M26	wERCC	True	False	kept_noERCC
OSD-168	FLT	Mmus_C57-6J_LVR_RR1_FLT_Rep3_M28	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep3_M28	noERCC	True	True	kept_noERCC
OSD-168	FLT	Mmus_C57-6J_LVR_RR1_FLT_Rep3_M28	Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep3_M28	wERCC	True	False	kept_noERCC
OSD-168	FLT	Mmus_C57-6J_LVR_RR1_FLT_Rep4_M29	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep4_M29	noERCC	True	True	kept_noERCC
OSD-168	FLT	Mmus_C57-6J_LVR_RR1_FLT_Rep4_M29	Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep4_M29	wERCC	True	False	kept_noERCC
OSD-168	FLT	Mmus_C57-6J_LVR_RR1_FLT_Rep5_M30	Mmus_C57-6J_LVR_RR1_FLT_noERCC_Rep5_M30	noERCC	True	True	kept_noERCC
OSD-168	FLT	Mmus_C57-6J_LVR_RR1_FLT_Rep5_M30	Mmus_C57-6J_LVR_RR1_FLT_wERCC_Rep5_M30	wERCC	True	False	kept_noERCC
OSD-168	GC	Mmus_C57-6J_LVR_RR1_GC_Rep1_M36	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep1_M36	noERCC	True	True	kept_noERCC
OSD-168	GC	Mmus_C57-6J_LVR_RR1_GC_Rep1_M36	Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep1_M36	wERCC	True	False	kept_noERCC
OSD-168	GC	Mmus_C57-6J_LVR_RR1_GC_Rep2_M37	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep2_M37	noERCC	True	True	kept_noERCC
OSD-168	GC	Mmus_C57-6J_LVR_RR1_GC_Rep2_M37	Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep2_M37	wERCC	True	False	kept_noERCC
OSD-168	GC	Mmus_C57-6J_LVR_RR1_GC_Rep3_M38	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep3_M38	noERCC	True	True	kept_noERCC
OSD-168	GC	Mmus_C57-6J_LVR_RR1_GC_Rep3_M38	Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep3_M38	wERCC	True	False	kept_noERCC
OSD-168	GC	Mmus_C57-6J_LVR_RR1_GC_Rep4_M39	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep4_M39	noERCC	True	True	kept_noERCC
OSD-168	GC	Mmus_C57-6J_LVR_RR1_GC_Rep4_M39	Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep4_M39	wERCC	True	False	kept_noERCC
OSD-168	GC	Mmus_C57-6J_LVR_RR1_GC_Rep5_M40	Mmus_C57-6J_LVR_RR1_GC_noERCC_Rep5_M40	noERCC	True	True	kept_noERCC
OSD-168	GC	Mmus_C57-6J_LVR_RR1_GC_Rep5_M40	Mmus_C57-6J_LVR_RR1_GC_wERCC_Rep5_M40	wERCC	True	False	kept_noERCC
