h5_accession	condition_label	ercc_biological_key	profile	ercc_status	duplicate_group	retained	decision
OSD-137	FLT	Mmus_BAL-TAL_LVR_FLT_Rep1_F1	Mmus_BAL-TAL_LVR_FLT_Rep1_F1	not_annotated	False	True	kept_unannotated
OSD-137	FLT	Mmus_BAL-TAL_LVR_FLT_Rep3_F3	Mmus_BAL-TAL_LVR_FLT_Rep3_F3	not_annotated	False	True	kept_unannotated
OSD-137	FLT	Mmus_BAL-TAL_LVR_FLT_Rep4_F4	Mmus_BAL-TAL_LVR_FLT_Rep4_F4	not_annotated	False	True	kept_unannotated
OSD-137	FLT	Mmus_BAL-TAL_LVR_FLT_Rep5_F5	Mmus_BAL-TAL_LVR_FLT_Rep5_F5	not_annotated	False	True	kept_unannotated
OSD-137	FLT	Mmus_BAL-TAL_LVR_FLT_Rep6_F6	Mmus_BAL-TAL_LVR_FLT_Rep6_F6	not_annotated	False	True	kept_unannotated
OSD-137	GC	Mmus_BAL-TAL_LVR_GC_Rep1_G1	Mmus_BAL-TAL_LVR_GC_Rep1_G1	not_annotated	False	True	kept_unannotated
OSD-137	GC	Mmus_BAL-TAL_LVR_GC_Rep2_G2	Mmus_BAL-TAL_LVR_GC_Rep2_G2	not_annotated	False	True	kept_unannotated
OSD-137	GC	Mmus_BAL-TAL_LVR_GC_Rep3_G3	Mmus_BAL-TAL_LVR_GC_Rep3_G3	not_annotated	False	True	kept_unannotated
OSD-137	GC	Mmus_BAL-TAL_LVR_GC_Rep4_G5	Mmus_BAL-TAL_LVR_GC_Rep4_G5	not_annotated	False	True	kept_unannotated
OSD-137	GC	Mmus_BAL-TAL_LVR_GC_Rep5_G6	Mmus_BAL-TAL_LVR_GC_Rep5_G6	not_annotated	False	True	kept_unannotated
OSD-137	GC	Mmus_BAL-TAL_LVR_GC_Rep6_G7	Mmus_BAL-TAL_LVR_GC_Rep6_G7	not_annotated	False	True	kept_unannotated
