_MEMBER_DESeq2_meta_sig_12filter,_MEMBER_FLT_cluster_13_muscle_contractile,_MEMBER_FLT_cluster_14_liver_secreted,_MEMBER_FLT_cluster_15_contractile_mito,_MEMBER_FLT_cluster_3_mixed_stress,_MEMBER_GC_cluster_1_DE_enriched,_LogP_DESeq2_meta_sig_12filter,_LogP_FLT_cluster_13_muscle_contractile,_LogP_FLT_cluster_14_liver_secreted,_LogP_FLT_cluster_15_contractile_mito,_LogP_FLT_cluster_3_mixed_stress,_LogP_GC_cluster_1_DE_enriched,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
0,1,0,0,0,0,0.0,-8.979781421970602,0.0,0.0,0.0,0.0,GO:0033275,M010000,1,0,GO Biological Processes,19,actin-myosin filament sliding,19_GO:0009987 cellular process,-8.979781421970602,29.936426116838483,14.116058930151466,17423,14,291,7,2.4054982817869415,0.898191015500884,17885|17897|17901|21924|21956|140781|216459,Myh8|Myl3|Myl1|Tnnc1|Tnnt2|Myh7|Myl6b,-6.586836894606693,0,1,0,0,-30.531613387434312,34.9258304696449,
0,1,0,0,0,1,0.0,-8.267013953910185,0.0,0.0,0.0,-3.537015518156909,GO:0050881,M010001,2,0,GO Biological Processes,19,musculoskeletal movement,19_GO:0032501 multicellular organismal process,-8.267013953910185,12.473510882016036,10.373994425128386,17423,48,291,10,3.4364261168384878,1.0678584202001216,11443|17189|17885|21393|21924|21925|21953|21957|140781|237611,Chrnb1|Mb|Myh8|Tcap|Tnnc1|Tnnc2|Tnni2|Tnnt3|Myh7|Stac3,-5.967293749977369,0,1,0,0,-30.531613387434312,34.9258304696449,
0,1,0,0,0,1,0.0,-7.824616935562834,0.0,0.0,0.0,-3.0860023786717394,GO:0050879,M010001,2,0,GO Biological Processes,19,multicellular organismal movement,19_GO:0032501 multicellular organismal process,-7.824616935562834,11.296764572391883,9.784311594891514,17423,53,291,10,3.4364261168384878,1.0678584202001216,11443|17189|17885|21393|21924|21925|21953|21957|140781|237611,Chrnb1|Mb|Myh8|Tcap|Tnnc1|Tnnc2|Tnni2|Tnnt3|Myh7|Stac3,-5.5488970080337845,0,1,0,0,-30.531613387434312,34.9258304696449,
0,1,0,0,0,0,0.0,-6.685393562372135,0.0,0.0,0.0,0.0,GO:0070252,M010000,1,0,GO Biological Processes,19,actin-mediated cell contraction,19_GO:0009987 cellular process,-6.685393562372135,8.67722496140246,8.327611990272583,17423,69,291,10,3.4364261168384878,1.0678584202001216,14726|17885|17897|17901|21924|21956|24052|57442|140781|216459,Pdpn|Myh8|Myl3|Myl1|Tnnc1|Tnnt2|Sgcd|Kcne3|Myh7|Myl6b,-4.527550516963898,0,1,0,0,-30.531613387434312,34.9258304696449,
1,1,0,1,0,0,-2.7922702136741884,-6.422038049547034,0.0,-3.2754700574711464,0.0,0.0,GO:0060047,M110100,3,0,GO Biological Processes,19,heart contraction,19_GO:0032501 multicellular organismal process,-6.422038049547034,7.1587105931570285,7.71904131283188,17423,92,291,11,3.7800687285223367,1.1179847377067793,17897|17901|21393|21924|21953|21956|24052|24053|57442|109272|140781,Myl3|Myl1|Tcap|Tnnc1|Tnni2|Tnnt2|Sgcd|Sgcg|Kcne3|Mybpc1|Myh7,-4.317285119021312,0,1,0,0,-30.531613387434312,34.9258304696449,
1,1,0,1,0,0,-3.0487600807794686,-6.336713693347556,0.0,-2.231128839810062,0.0,0.0,GO:0060048,M110100,3,0,GO Biological Processes,19,cardiac muscle contraction,19_GO:0032501 multicellular organismal process,-6.336713693347556,7.9830469644902635,7.898458746705814,17423,75,291,10,3.4364261168384878,1.0678584202001216,17897|17901|21393|21924|21953|21956|24052|57442|109272|140781,Myl3|Myl1|Tcap|Tnnc1|Tnni2|Tnnt2|Sgcd|Kcne3|Mybpc1|Myh7,-4.241729929919951,0,1,0,0,-30.531613387434312,34.9258304696449,
1,1,0,1,0,0,-2.664039381915818,-5.965792288603034,0.0,-3.007762037555489,0.0,0.0,GO:0003015,M110100,3,0,GO Biological Processes,19,heart process,19_GO:0032501 multicellular organismal process,-5.965792288603034,6.456876221278889,7.203593111844075,17423,102,291,11,3.7800687285223367,1.1179847377067793,17897|17901|21393|21924|21953|21956|24052|24053|57442|109272|140781,Myl3|Myl1|Tcap|Tnnc1|Tnni2|Tnnt2|Sgcd|Sgcg|Kcne3|Mybpc1|Myh7,-3.9257093951759745,0,1,0,0,-30.531613387434312,34.9258304696449,
0,1,0,0,0,0,0.0,-5.462676809539278,0.0,0.0,0.0,0.0,GO:0030048,M010000,1,0,GO Biological Processes,19,actin filament-based movement,19_GO:0009987 cellular process,-5.462676809539278,6.437941100395373,6.852801602094081,17423,93,291,10,3.4364261168384878,1.0678584202001216,14726|17885|17897|17901|21924|21956|24052|57442|140781|216459,Pdpn|Myh8|Myl3|Myl1|Tnnc1|Tnnt2|Sgcd|Kcne3|Myh7|Myl6b,-3.48329175646583,0,1,0,0,-30.531613387434312,34.9258304696449,
0,1,0,1,0,0,0.0,-3.9315060697551214,0.0,-2.1481714964455656,0.0,0.0,GO:0007507,M010100,2,0,GO Biological Processes,19,heart development,19_GO:0032502 developmental process,-3.9315060697551214,2.325159310045707,4.371540815248414,17423,618,291,24,8.24742268041237,1.6125818524438138,11472|13003|14200|14726|14734|16147|17189|17897|18175|18510|20190|21393|21924|21956|24052|24053|24131|53318|67888|68760|116904|140781|241431|666794,Actn2|Vcan|Fhl2|Pdpn|Gpc3|Ihh|Mb|Myl3|Nrap|Pax8|Ryr1|Tcap|Tnnc1|Tnnt2|Sgcd|Sgcg|Ldb3|Pdlim3|Tmem100|Synpo2l|Alpk3|Myh7|Xirp2|Rbm24,-2.164424448391799,0,1,0,0,-30.531613387434312,34.9258304696449,
0,1,0,0,0,1,0.0,-3.8096335551906746,0.0,0.0,0.0,-2.491251516062449,GO:0050905,M010001,2,0,GO Biological Processes,19,neuromuscular process,19_GO:0032501 multicellular organismal process,-3.8096335551906746,3.5568031029907106,4.763599624894335,17423,202,291,12,4.123711340206185,1.1656099369416681,11443|16498|17189|17885|21393|21924|21925|21953|21957|56847|140781|237611,Chrnb1|Kcnab2|Mb|Myh8|Tcap|Tnnc1|Tnnc2|Tnni2|Tnnt3|Aldh1a3|Myh7|Stac3,-2.0609750166541385,0,1,0,0,-30.531613387434312,34.9258304696449,
