_MEMBER_DESeq2_meta_sig_12filter,_MEMBER_FLT_cluster_13_muscle_contractile,_MEMBER_FLT_cluster_14_liver_secreted,_MEMBER_FLT_cluster_15_contractile_mito,_MEMBER_FLT_cluster_3_mixed_stress,_MEMBER_GC_cluster_1_DE_enriched,_LogP_DESeq2_meta_sig_12filter,_LogP_FLT_cluster_13_muscle_contractile,_LogP_FLT_cluster_14_liver_secreted,_LogP_FLT_cluster_15_contractile_mito,_LogP_FLT_cluster_3_mixed_stress,_LogP_GC_cluster_1_DE_enriched,GO,Description,_PATTERN_,_RANK_,GiniIndex
0,0,0,0,1,1,0,0,0,0,-2.4,-2.6,GO:0019722,calcium-mediated signaling,M000011,2,0
0,0,0,0,1,1,0,0,0,0,-9,-6.7,WP189,GPCRs class A rhodopsin like,M000011,2,0
0,0,1,0,0,0,0,0,-14,0,0,0,GO:0008202,steroid metabolic process,M001000,1,0
0,0,0,0,1,0,0,0,0,0,-2.7,0,R-MMU-9841922,MLL4 and MLL3 complexes regulate expression of PPARG target genes in adipogenesis and hepatic steatosis,M000010,1,0
0,0,0,0,1,0,0,0,0,0,-2.1,0,GO:0002677,negative regulation of chronic inflammatory response,M000010,1,0
0,0,1,0,0,0,0,0,-4.7,0,0,0,mmu04976,Bile secretion - Mus musculus (house mouse),M001000,1,0
0,0,0,1,0,0,0,0,0,-3.7,0,0,mmu04614,Renin-angiotensin system - Mus musculus (house mouse),M000100,1,0
0,0,1,0,0,0,0,0,-2.3,0,0,0,GO:0060749,mammary gland alveolus development,M001000,1,0
0,1,0,0,0,0,0,-2.5,0,0,0,0,GO:0030835,negative regulation of actin filament depolymerization,M010000,1,0
0,0,1,0,0,0,0,0,-4.7,0,0,0,GO:0120161,regulation of cold-induced thermogenesis,M001000,1,0
0,0,1,0,0,0,0,0,-4.1,0,0,0,WP4349,Eicosanoid metabolism via cytochrome P450 monooxygenases,M001000,1,0
0,1,0,0,0,0,0,-3.2,0,0,0,0,GO:0043462,regulation of ATP-dependent activity,M010000,1,0
0,0,1,0,0,0,0,0,-11,0,0,0,R-MMU-72737,Cap-dependent Translation Initiation,M001000,1,0
0,1,0,0,0,0,0,-9.6,0,0,0,0,GO:0030049,muscle filament sliding,M010000,1,0
0,0,1,0,0,0,0,0,-7,0,0,0,R-MMU-9954709,Ribosome Quality Control (RQC) complex extracts and degrades nascent peptide,M001000,1,0
0,1,0,0,0,0,0,-3,0,0,0,0,GO:0071871,response to epinephrine,M010000,1,0
0,0,0,1,0,0,0,0,0,-4.7,0,0,GO:0055007,cardiac muscle cell differentiation,M000100,1,0
0,0,1,0,0,0,0,0,-2.8,0,0,0,GO:0160025,sensory perception of itch,M001000,1,0
0,0,0,0,1,0,0,0,0,0,-2.1,0,R-MMU-418594,G alpha (i) signalling events,M000010,1,0
0,1,0,0,0,0,0,-2.3,0,0,0,0,GO:0001666,response to hypoxia,M010000,1,0
0,1,0,0,0,0,0,-2.2,0,0,0,0,WP447,Adipogenesis genes,M010000,1,0
0,0,1,0,0,0,0,0,-13,0,0,0,R-MMU-9954716,ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA,M001000,1,0
0,0,1,0,0,0,0,0,-3,0,0,0,GO:0031664,regulation of lipopolysaccharide-mediated signaling pathway,M001000,1,0
0,0,1,0,0,0,0,0,-2.3,0,0,0,GO:0009125,nucleoside monophosphate catabolic process,M001000,1,0
0,1,0,0,0,0,0,-2.9,0,0,0,0,R-MMU-445355,Smooth Muscle Contraction,M010000,1,0
