tissue	scope	samples	modules	accessions	conditions	accession_silhouette	condition_silhouette	pca_accession_silhouette	pca_condition_silhouette	pc1_var	pc2_var
kidney	aggregate	133	31	6	2	0.24339622474621175	0.004887992919375577	0.06431659688644158	0.011097819701368793	0.4999460035647474	0.2172575281514187
kidney	aggregate_mober	133	31	6	2	0.36262336899859166	-0.007383754029949795	0.23996468411007685	-0.006208390962882454	0.4405375639544663	0.2813015626119547
liver	aggregate	229	31	12	2	0.0594358448803453	-0.001538690099615035	-0.19672776148582463	-0.0049000835380966215	0.34712028119838034	0.1969335682927448
liver	aggregate_mober	229	30	12	2	-0.13885196544139314	-0.001068616499369896	-0.19560979216988877	-0.002274568832750773	0.5587723675451198	0.21100436540271603
lung	aggregate	76	31	3	2	0.14972432982044526	-0.004584639689079069	0.29012194542325787	-0.01619198219703475	0.3274098328081697	0.2571158589828101
lung	aggregate_mober	76	31	3	2	0.3069305629180478	-0.005327100277423712	0.324876347354082	-0.007071473665832226	0.5668560940886378	0.266965273661417
skeletal_muscle	aggregate	185	31	13	2	0.27201630117587583	0.007515900853241022	0.1794231537010805	0.0009395609877118687	0.4114776348847069	0.16811390835165352
skeletal_muscle	aggregate_mober	185	31	13	2	0.07541615908069584	-0.003199321592697243	0.07400530777419335	-0.004488295346424651	0.6781445134891214	0.1791154776440627
skeletal_muscle_edl	aggregate	30	30	2	2	0.5307413830330924	0.0019803501044515334	0.684547863904298	-0.02235864002678216	0.6542380905273365	0.14661226207805747
skeletal_muscle_edl	aggregate_mober	30	31	2	2	0.17895831933333078	-0.0022693403732825784	0.3065296875766294	-0.02826383293829455	0.25548395891333764	0.21566479680935188
skeletal_muscle_gastrocnemius	aggregate	30	31	3	2	0.35127511718997084	0.017510205013228718	0.7783133706288508	0.003984893152851042	0.5103018241351274	0.11830502288360291
skeletal_muscle_gastrocnemius	aggregate_mober	30	31	3	2	0.15316036461041663	-0.0020307478262213186	0.3425945906274322	-0.005624619000875675	0.413330017928503	0.20877612828951977
skeletal_muscle_quadriceps	aggregate	44	31	4	2	0.34240748651002756	0.030517587843492976	0.467371823080717	-0.014264711127623725	0.32059869126531754	0.2638304442259805
skeletal_muscle_quadriceps	aggregate_mober	44	31	4	2	0.10684797593495404	-0.0015200611972956016	0.22919369758160366	-0.022549154808606392	0.2706913396517836	0.1922965240639599
skeletal_muscle_soleus	aggregate	51	30	3	2	0.4213554316320456	0.06292633343787973	0.5645602827803378	0.028040449529323698	0.6085171529455369	0.16293857589425856
skeletal_muscle_soleus	aggregate_mober	51	31	3	2	0.39872889118413485	-0.008817771038686802	0.44437604980512624	-0.009201543130615641	0.8480442106735101	0.08041475810510829
skeletal_muscle_tibialis_anterior	aggregate	30	31	2	2	0.5723520572751162	0.03195827201534036	0.7797530652846536	0.026916760536036775	0.6881184062890838	0.07497446519870668
skeletal_muscle_tibialis_anterior	aggregate_mober	30	31	2	2	0.16796594328987197	0.07984051924633956	0.347288517486763	0.16565706665097563	0.23603905655039292	0.22223629005628362
skin	aggregate	151	31	6	2	-0.00996458558884546	0.014163166916569242	-0.06639619664090532	0.025482208404079245	0.40610642415123294	0.2077745376656129
skin	aggregate_mober	151	31	6	2	-0.0511155570843109	0.016829104481182026	-0.13563294060891154	0.01405636198297949	0.37689976515936446	0.31908710143147906
spleen	aggregate	108	30	6	2	0.32485861769062724	-0.010752398894892316	0.132967098991093	-0.012325851432878909	0.45425344450879457	0.2977272745153205
spleen	aggregate_mober	108	31	6	2	0.3000093468388127	-0.01097796531625537	0.260210754131692	-0.011772012386319737	0.532397780453159	0.2953234752876848
thymus	aggregate	115	31	5	2	0.02322785898359767	0.04692087772405131	-0.09320362844891725	0.10446510964272852	0.3836018996692838	0.24438976242907656
thymus	aggregate_mober	115	31	5	2	0.06339018945600736	0.053170611612762465	0.09182119924118891	0.04050740623003388	0.4946909139017766	0.24164878964538117
