official_tissue	sample_name_tissue_inferred	n_profiles
liver	liver	505
skeletal_muscle	skeletal_muscle	328
kidney	kidney	252
skin	skin	240
spleen	spleen	191
lung	lung	128
thymus	thymus	125
retina	retina	107
colon	colon	93
heart	heart	83
brain	brain	73
cerebellum	cerebellum	65
cecum	cecum	64
adrenal_gland	adrenal_gland	56
mammary_gland	mammary_gland	43
hippocampus	hippocampus	37
optic_nerve	optic_nerve	35
eye	eye	27
