id.accession	study_title	project_identifier	n_local_profiles	n_official_sample_matches	official_match_fraction	official_material_types	official_tissues	final_tissues	material_field_present	official_sample_count	official_study_url	official_api_url
OSD-235	Transcriptomic analysis of liver from mice subjected to simulated spaceflight euthanasia, freezing, and tissue preservation protocols		75	75	1.0	Left Lobe of the Liver (75)	liver (75)	liver (75)	True	75	https://osdr.nasa.gov/bio/repo/data/studies/OSD-235	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-235
OSD-236	Transcriptomic analysis of quadriceps from mice subjected to simulated spaceflight euthanasia, freezing, and tissue preservation protocols		63	63	1.0	Left quadriceps femoris (63)	skeletal_muscle (63)	skeletal_muscle (63)	True	63	https://osdr.nasa.gov/bio/repo/data/studies/OSD-236	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-236
OSD-237	Transcriptomic analysis of skin from mice subjected to chronic low-dose radiation, hindlimb unloading or a combination of both	Hindlimb_Unloading, Gamma_Irradiation, Low_Dose_Irradiation, Low_LET_Irradiation	21	21	1.0	dorsal skin (21)	skin (21)	skin (21)	True	21	https://osdr.nasa.gov/bio/repo/data/studies/OSD-237	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-237
OSD-238	Transcriptomic analysis of dorsal skin from mice flown on the MHU-2 mission	MHU-2	24	24	1.0	dorsal skin (24)	skin (24)	skin (24)	True	24	https://osdr.nasa.gov/bio/repo/data/studies/OSD-238	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-238
OSD-239	Transcriptomic analysis of femoral skin from mice flown on the MHU-2 mission	MHU-2	23	23	1.0	femoral skin (23)	skin (23)	skin (23)	True	23	https://osdr.nasa.gov/bio/repo/data/studies/OSD-239	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-239
OSD-240	Transcriptional analysis of dorsal skin from mice flown on the RR-5 mission	RR-5	20	20	1.0	dorsal skin (20)	skin (20)	skin (20)	True	20	https://osdr.nasa.gov/bio/repo/data/studies/OSD-240	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-240
OSD-241	Transcriptional analysis of femoral skin from mice flown on the RR-5 mission	RR-5	19	19	1.0	femoral lateral skin (19)	skin (19)	skin (19)	True	19	https://osdr.nasa.gov/bio/repo/data/studies/OSD-241	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-241
OSD-242	Effect of spaceflight on liver from mice flown on the ISS for 33 days: transcriptional analysis	RR-9	23	23	1.0	Liver (23)	liver (23)	liver (23)	True	23	https://osdr.nasa.gov/bio/repo/data/studies/OSD-242	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-242
OSD-243	Transcriptional analysis of dorsal skin from mice flown on the RR-6 mission	RR-6	53	53	1.0	dorsal skin (53)	skin (53)	skin (53)	True	53	https://osdr.nasa.gov/bio/repo/data/studies/OSD-243	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-243
OSD-244	Transcriptional analysis of thymus from mice flown on the RR-6 Mission	RR-6	57	57	1.0	Thymus (57)	thymus (57)	thymus (57)	True	57	https://osdr.nasa.gov/bio/repo/data/studies/OSD-244	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-244
OSD-245	Transcriptional analysis of liver from mice flown on the RR-6 mission	RR-6	59	59	1.0	Liver (59)	liver (59)	liver (59)	True	59	https://osdr.nasa.gov/bio/repo/data/studies/OSD-245	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-245
OSD-246	Transcriptional analysis of spleen from mice flown on the RR-6 mission	RR-6	44	44	1.0	Spleen (44)	spleen (44)	spleen (44)	True	44	https://osdr.nasa.gov/bio/repo/data/studies/OSD-246	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-246
OSD-247	Transcriptional analysis of colon from mice flown on the RR-6 mission	RR-6	54	54	1.0	descending colon (54)	colon (54)	colon (54)	True	54	https://osdr.nasa.gov/bio/repo/data/studies/OSD-247	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-247
OSD-248	Transcriptional analysis of lung from mice flown on the RR-6 mission	RR-6	58	58	1.0	Left Lung (58)	lung (58)	lung (58)	True	58	https://osdr.nasa.gov/bio/repo/data/studies/OSD-248	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-248
OSD-253	Transcriptional analysis of kidneys from mice flown on the RR-7 mission	RR-7	112	112	1.0	Left kidney (112)	kidney (112)	kidney (112)	True	112	https://osdr.nasa.gov/bio/repo/data/studies/OSD-253	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-253
OSD-254	Transcriptional analysis of dorsal skin from mice flown on the RR-7 mission	RR-7	80	80	1.0	dorsal skin (80)	skin (80)	skin (80)	True	80	https://osdr.nasa.gov/bio/repo/data/studies/OSD-254	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-254
OSD-255	Spaceflight influences gene expression, photoreceptor integrity, and oxidative stress-related damage in the murine retina	RR-9	16	16	1.0	Right retina (16)	retina (16)	retina (16)	True	16	https://osdr.nasa.gov/bio/repo/data/studies/OSD-255	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-255
OSD-270	Bulk and spatially resolved transcriptional analysis of hearts from mice flown on the RR-3	RR-3	5	5	1.0	Heart (5)	heart (5)	heart (5)	True	46	https://osdr.nasa.gov/bio/repo/data/studies/OSD-270	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-270
OSD-272	Transcriptional analysis of spleens from mice preserved with the Rapid Freeze hardware		58	58	1.0	Spleen (58)	spleen (58)	spleen (58)	True	58	https://osdr.nasa.gov/bio/repo/data/studies/OSD-272	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-272
OSD-273	Transcriptional analysis of livers from mice preserved with the Rapid Freeze hardware		62	62	1.0	liver (62)	liver (62)	liver (62)	True	62	https://osdr.nasa.gov/bio/repo/data/studies/OSD-273	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-273
OSD-274	Transcriptional analysis of soleus from mice preserved with the Rapid Freeze hardware		41	41	1.0	Soleus (41)	skeletal_muscle (41)	skeletal_muscle (41)	True	41	https://osdr.nasa.gov/bio/repo/data/studies/OSD-274	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-274
OSD-288	Transcriptome analysis of murine spleen in space	MHU-1	9	9	1.0	Spleen (9)	spleen (9)	spleen (9)	True	9	https://osdr.nasa.gov/bio/repo/data/studies/OSD-288	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-288
OSD-289	Impact of spaceflight on gene expression in the thymus	MHU-1, MHU-2	18	18	1.0	thymus (18)	thymus (18)	thymus (18)	True	18	https://osdr.nasa.gov/bio/repo/data/studies/OSD-289	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-289
OSD-294	Efficient Identification of Multiple Pathways: RNA-Seq Analysis of Livers from 56Fe Ion Irradiated Mice	Low_Dose_Irradiation, Heavy_Ion_HZE_Irradiation, High_LET_Irradiation	30	30	1.0	Left Lobe of the Liver (30)	liver (30)	liver (30)	True	30	https://osdr.nasa.gov/bio/repo/data/studies/OSD-294	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-294
OSD-295	RNA-Seq transcriptome profiling of soleus from adult and aged mice following disuse muscle atrophy and recovery	Hindlimb_Unloading	36	36	1.0	Soleus (36)	skeletal_muscle (36)	skeletal_muscle (36)	True	36	https://osdr.nasa.gov/bio/repo/data/studies/OSD-295	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-295
OSD-308	Differential expression profiles of long non-coding RNAs during the mouse pronucleus stage under normal gravity and simulated microgravity	Simulated_Microgravity	6	6	1.0	Zygote (6)	zygote (6)	zygote (6)	True	6	https://osdr.nasa.gov/bio/repo/data/studies/OSD-308	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-308
OSD-318	RNA seq of tumors derived from irradiated versus sham hosts transplanted with Trp53 null mammary tissue and fed either Control diet versus Caffeic Acid Phenethyl Ester (CAPE) diet.	Gamma_Irradiation, Low_LET_Irradiation, High_Dose_Irradiation	23	23	1.0	Trp53 null Mammary Tumor (23)	mammary_tumor (23)	mammary_tumor (23)	True	23	https://osdr.nasa.gov/bio/repo/data/studies/OSD-318	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-318
OSD-322	Comparative RNA-Seq transcriptome analyses reveal dynamic time dependent effects of 56Fe, 16O, and 28Si irradiation on the induction of murine hepatocellular carcinoma	Heavy_Ion_HZE_Irradiation, Low_Dose_Irradiation, High_LET_Irradiation	60	60	1.0	Left lobe of liver (60)	liver (60)	liver (60)	True	60	https://osdr.nasa.gov/bio/repo/data/studies/OSD-322	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-322
OSD-326	Gene-metabolite network linked to inhibited bioenergetics in association with spaceflight induced loss of quadriceps muscle	RR-4	8	8	1.0	Quadriceps femoris (8)	skeletal_muscle (8)	skeletal_muscle (8)	True	8	https://osdr.nasa.gov/bio/repo/data/studies/OSD-326	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-326
OSD-352	Multi-modal transcriptional and chromatin accessibility analysis of brains from mice flown on the RR-3 mission	RR-3	6	6	1.0	Brain (6)	brain (6)	brain (6)	True	18	https://osdr.nasa.gov/bio/repo/data/studies/OSD-352	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-352
OSD-379	Transcriptional profiling of livers from mice flown on Rodent Research Reference Mission-1 (RRRM-1)	RRRM-1 (RR-8)	141	141	1.0	Left Lobe of the Liver (141)	liver (141)	liver (141)	True	141	https://osdr.nasa.gov/bio/repo/data/studies/OSD-379	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-379
