id.accession	study_title	project_identifier	n_local_profiles	n_official_sample_matches	official_match_fraction	official_material_types	official_tissues	final_tissues	material_field_present	official_sample_count	official_study_url	official_api_url
OSD-562	Bulk RNA sequencing and spatially resolved transcriptional profiling of hippocampi from mice flown on the RRRM-2 mission	RR-17	27	27	1.0	Right hippocampus (27)	hippocampus (27)	hippocampus (27)	True	28	https://osdr.nasa.gov/bio/repo/data/studies/OSD-562	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-562
OSD-563	Bulk RNA sequencing and spatially resolved transcriptional profiling of cerebellums from mice flown on the RR-10 mission	RR-10	10	10	1.0	right hemisphere of cerebellum (10)	cerebellum (10)	cerebellum (10)	True	10	https://osdr.nasa.gov/bio/repo/data/studies/OSD-563	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-563
OSD-564	Bulk RNA sequencing and spatially resolved transcriptional profiling of hippocampi from mice flown on the RR-10 mission	RR-10	10	10	1.0	Right hippocampus (10)	hippocampus (10)	hippocampus (10)	True	10	https://osdr.nasa.gov/bio/repo/data/studies/OSD-564	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-564
OSD-566	Sexual Dimorphism during Integrative Endocrine and Immune Responses to Ionizing Radiation in Mice -- Adrenal data	Multiple_Radiation_Types, Heavy_Ion_HZE_Irradiation, Simplified_Galactic_Cosmic_Ray_Simulation_Irradiation, High_Dose_Irradiation	8	8	1.0	adrenal gland (8)	adrenal_gland (8)	adrenal_gland (8)	True	12	https://osdr.nasa.gov/bio/repo/data/studies/OSD-566	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-566
OSD-576	Transcriptional profiling of tibialis anterior muscle from mice flown on the RR-23 mission	RR-23	27	27	1.0	Right tibialis anterior (27)	skeletal_muscle (27)	skeletal_muscle (27)	True	27	https://osdr.nasa.gov/bio/repo/data/studies/OSD-576	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-576
OSD-580	Transcriptional profiling of heart tissue from mice flown on the RRRM-2 mission	RR-17	78	78	1.0	Heart (38); heart right ventricle (40)	heart (78)	heart (78)	True	78	https://osdr.nasa.gov/bio/repo/data/studies/OSD-580	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-580
OSD-599	Transcriptomic Effects on the Mouse Heart Following 30 Days on the International Space Station	RR-12	6	6	1.0	Heart (6)	heart (6)	heart (6)	True	6	https://osdr.nasa.gov/bio/repo/data/studies/OSD-599	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-599
OSD-611	Postsynaptic density radiation signature following space irradiation	Heavy_Ion_HZE_Irradiation, High_LET_Irradiation, High_Dose_Irradiation, Low_Dose_Irradiation	12	12	1.0	Hippocampus (12)	hippocampus (12)	hippocampus (12)	True	13	https://osdr.nasa.gov/bio/repo/data/studies/OSD-611	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-611
OSD-612	Bulk RNA sequencing and single nuclei transcriptomics and epigenomics of brain tissue from mice flown on the RR-10 mission	RR-10	9	9	1.0	Left cerebral hemisphere (9)	brain (9)	brain (9)	True	10	https://osdr.nasa.gov/bio/repo/data/studies/OSD-612	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-612
OSD-613	Bulk RNA sequencing and single nuclei transcriptomics and epigenomics of brain tissue from mice flown on the RRRM-2 mission	RR-17	18	18	1.0	Left cerebral hemisphere (18)	brain (18)	brain (18)	True	18	https://osdr.nasa.gov/bio/repo/data/studies/OSD-613	https://osdr.nasa.gov/geode-py/ws/repo/studies/OSD-613
