contrast	significant_cluster_genes
(Space Flight & 22 to 23 day & On ISS & Carcass & 32 week)v(Ground Control & 24 day & On Earth & Carcass & 32 week)	93
(Space Flight & ~40 day & On Earth & Upon euthanasia & 10 to 12 week)v(Ground Control & ~40 day & On Earth & Upon euthanasia & 10 to 12 week)	15
(Space Flight & ~40 day & On Earth & Upon euthanasia & 32 week)v(Ground Control & ~40 day & On Earth & Upon euthanasia & 32 week)	1
(Space Flight & 22 to 23 day & On ISS & Carcass & 10 to 12 week)v(Ground Control & 24 day & On Earth & Carcass & 10 to 12 week)	0
