condition	collection	age	sample	muscle_mean_log2	muscle_markers_over_100	muscle_marker_fraction_percent	liver_mean_log2	liver_markers_over_100	muscle_score_robust_z_within_stratum	severe_muscle_composition_outlier
FLT	LAR	YNG	RR8_LVR_FLT_LAR_YNG_FL17	3.8785693312543446	0	0.0005696543994285405	16.528252988014486	8	-0.08463620923887599	False
BSL	LAR	YNG	RR8_LVR_BSL_LAR_YNG_BL10	3.7215372144174252	0	0.0008324003196766163	17.058508795034072	8	3.7176233818343767	True
BSL	ISS-T	OLD	RR8_LVR_BSL_ISS-T_OLD_BI3	3.440135614806594	0	0.0010135118131008125	17.70405092307928	8	0.3003288340795567	False
FLT	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI13	3.3742519556259616	0	0.0005808245666534846	17.183616030101742	8	0.47744162545112523	False
VIV	ISS-T	YNG	RR8_LVR_VIV_ISS-T_YNG_VI6	3.3420295294591282	0	0.0011756178023507367	17.117237678391913	8	3.3993564684214816	False
GC	ISS-T	YNG	RR8_LVR_GC_ISS-T_YNG_GI8	3.280571519820795	0	0.0011046497837613	17.631751005216127	8	1.9333075417976582	False
BSL	ISS-T	YNG	RR8_LVR_BSL_ISS-T_YNG_BI19	3.20606660884111	0	0.000598419385503888	17.18424178850373	8	0.8742730488651977	False
FLT	LAR	OLD	RR8_LVR_FLT_LAR_OLD_FL4	3.1553955890608067	1	0.0006728090292571415	16.438628197519265	8	0.0	False
VIV	LAR	YNG	RR8_LVR_VIV_LAR_YNG_VL14	3.0006525264719386	0	0.0004808588565790119	16.8280537852918	8	1.5238512979536147	False
FLT	ISS-T	OLD	RR8_LVR_FLT_ISS-T_OLD_FI19	2.9911731220541595	0	0.0004926043586666307	17.33054599066955	8	0.2821271812589965	False
BSL	LAR	OLD	RR8_LVR_BSL_LAR_OLD_BL13	2.9680540473185335	0	0.0006074133760307348	16.623246473591937	8	0.21070228617259562	False
VIV	ISS-T	OLD	RR8_LVR_VIV_ISS-T_OLD_VI11	2.9016526365998723	0	0.0006471752534056728	17.142308458070108	8	-1.560299533484536	False
BSL	LAR	OLD	RR8_LVR_BSL_LAR_OLD_BL19	2.896484893361249	0	0.000645379183835211	17.191469701276855	8	0.1630854363419246	False
FLT	ISS-T	YNG	RR8_LVR_FLT_ISS-T_YNG_FI5	2.814216005945325	0	0.0003789569727149221	17.636805824711264	8	1.017937761793432	False
