gene_id	mean_log2_flight	mean_log2_ground	log2_mean_difference	welch_t	p_value	fdr_bh	significant_fdr05_abs_effect1	gene_symbol
ENSMUSG00000036752	11.513025855755387	10.229023813573251	1.284002042182136	8.882566564944684	4.908005495558651e-07	0.004803780488005624	True	Tubb4b
ENSMUSG00000027999	7.556966827629457	8.668245688162743	-1.1112788605332868	-8.412124488146274	3.754727074635539e-07	0.004803780488005624	True	Pla2g12a
ENSMUSG00000110496	3.768652816496865	6.883423034290007	-3.114770217793142	-8.031976393791837	5.63860083520602e-07	0.004803780488005624	True	
ENSMUSG00000043621	0.10602320873869531	1.4679704820580735	-1.361947273319378	-7.667200816381967	1.13536917730601e-06	0.006318783619378867	True	Ubxn10
ENSMUSG00000058672	12.2716050746363	9.921781876708557	2.3498231979277424	8.459947566986344	2.1700084929848874e-06	0.007004554564611881	True	Tubb2a
ENSMUSG00000112794	6.482422987141632	5.09317675281582	1.389246234325812	7.488491815199532	2.314665548705255e-06	0.007004554564611881	True	
ENSMUSG00000026202	12.26603870705805	10.988704921333028	1.2773337857250215	7.770865924613685	2.5171792017148387e-06	0.007004554564611881	True	Tuba4a
ENSMUSG00000110774	3.734474604218933	2.5077512360696774	1.2267233681492558	7.435122299923652	2.039280643570644e-06	0.007004554564611881	True	
ENSMUSG00000022241	12.299356653801135	10.761980292018627	1.537376361782508	7.58102258238695	4.67707168197857e-06	0.010845739474534806	True	Tars1
ENSMUSG00000004951	6.70910369573274	5.267964652679838	1.4411390430529014	6.652913726642429	8.118389968904898e-06	0.015598411040643825	True	Hspb1
ENSMUSG00000020431	6.857963979510157	3.889138524362849	2.968825455147308	6.269978044371719	1.5750132761462742e-05	0.024348830241845764	True	Adcy1
ENSMUSG00000041798	11.85464720098795	10.19518268818385	1.6594645128040995	6.128752373851367	1.5145313191090875e-05	0.024348830241845764	True	Gck
ENSMUSG00000056148	10.97205042211771	12.23436244256227	-1.2623120204445595	-6.359691344718895	2.3009811501762265e-05	0.026678917694147437	True	Rdh9
ENSMUSG00000024905	2.9175178223497755	4.36298479372646	-1.4454669713766841	-6.2788699409501785	1.9665948650479533e-05	0.026678917694147437	True	Tesmin
ENSMUSG00000020131	4.853397040360903	7.5248079628658715	-2.6714109225049683	-5.9143343892754325	2.1793844322813945e-05	0.026678917694147437	True	Pcsk4
ENSMUSG00000059824	5.288137886191563	10.39748158136727	-5.109343695175707	-7.134403419722913	2.1862097713710355e-05	0.026678917694147437	True	Dbp
ENSMUSG00000086629	4.8096818128096075	5.9205901977801645	-1.110908384970557	-6.284928364304964	2.8231118740811405e-05	0.030835323920727468	True	2810403D21Rik
ENSMUSG00000054150	6.415745881652625	7.632098186075841	-1.216352304423216	-5.798726255902108	3.0912277464584875e-05	0.030835323920727468	True	Syne3
ENSMUSG00000027346	10.036040370655794	11.277875441741129	-1.241835071085335	-5.716861964244369	3.276136535516074e-05	0.030835323920727468	True	Gpcpd1
ENSMUSG00000015755	11.845110634000287	10.694292043880697	1.1508185901195898	6.311216060975056	3.953105387728333e-05	0.03142944674980466	True	Tab2
ENSMUSG00000066319	9.691854920380978	8.6317201766678	1.0601347437131778	6.557891041014532	3.941305575960792e-05	0.03142944674980466	True	Rtp3
ENSMUSG00000089789	3.8870491173476616	5.187683983467121	-1.3006348661194593	-5.654315324065185	3.812175039078979e-05	0.03142944674980466	True	Rdh1
ENSMUSG00000032115	12.31411225095394	11.191622963106687	1.1224892878472534	6.114313593378872	4.32296344718887e-05	0.03251219022835802	True	Hyou1
ENSMUSG00000027068	7.3785549515610125	5.722806999844609	1.6557479517164033	5.500142583889416	5.114030078400486e-05	0.034458785506006416	True	Dhrs9
ENSMUSG00000091730	4.141314613673672	2.661054532972029	1.480260080701643	5.63726071680539	4.848909051377728e-05	0.034458785506006416	True	Gm17230
ENSMUSG00000034412	6.210891117423523	7.605595198894777	-1.3947040814712546	-5.586427673362209	5.572448872570844e-05	0.034458785506006416	True	Tbc1d10a
ENSMUSG00000073460	4.119101180090681	6.679158514018441	-2.5600573339277606	-6.376346831165451	4.963895285393069e-05	0.034458785506006416	True	Pnldc1
ENSMUSG00000028671	7.902001262175411	6.278308614178579	1.6236926479968323	5.489353856027346	6.350246925422103e-05	0.03534166423874417	True	Gale
