sample	rna_integrity_number	qa_score_unit	library_prep_date	fragment_size	read_depth	rrna_contamination_percent
RR8_LVR_FLT_ISS-T_OLD_FI16	6.4	RNA Integrity Number	24-Feb-21	386	66531392	3.45
RR8_LVR_FLT_ISS-T_OLD_FI17	6.4	RNA Integrity Number	29-Oct-20	343	59533317	0.64
