gene_id	gene_symbol	official_log2_fold_change	official_fdr_bh	official_significant	all_samples_mean_log2_flight	all_samples_mean_log2_ground	all_samples_log2_mean_difference	all_samples_welch_t	all_samples_p_value	all_samples_fdr_bh	all_samples_significant_fdr05_abs_effect1	without_flagged_mean_log2_flight	without_flagged_mean_log2_ground	without_flagged_log2_mean_difference	without_flagged_welch_t	without_flagged_p_value	without_flagged_fdr_bh	without_flagged_significant_fdr05_abs_effect1
ENSMUSG00000026407	Cacna1s	8.15496065555109	0.0002689843326198	True	3.489519896357902	1.3582986876478131	2.1312212087100892	1.4392443535399302	0.17996330339375255	0.64613098583398	False	1.4335154634750675	1.3582986876478131	0.07521677582725439	0.11622412102571843	0.909217149338438	1.0	False
ENSMUSG00000023092	Fhl1	2.9364457699532	0.0006365184967052	True	8.327074777100565	7.124013273580852	1.203061503519713	1.796680502925096	0.10303660296543607	0.5783779792864289	False	7.353863203672423	7.124013273580852	0.2298499300915715	1.35980582305467	0.19452188658835104	0.6012097296717746	False
ENSMUSG00000030785	Cox6a2	10.5014021778049	1.27121664900073e-05	True	2.8090625176059527	0.46374720376092887	2.345315313845024	1.4996470309364558	0.1671612965341806	0.6436588623965334	False	0.5829229508167011	0.46374720376092887	0.11917574705577222	0.19626800482632686	0.849180101424206	0.9866980753036703	False
ENSMUSG00000025270	Alas2	0.763070022000968	0.177442177361051	False	9.108245428305297	9.04116654126641	0.0670788870388872	0.14478545035862522	0.8873994018958948	0.9906630903183208	False	8.509023362344301	9.04116654126641	-0.5321431789221087	-2.205009622724273	0.04327434497488944	0.3937693414240612	False
ENSMUSG00000011148	Adss1	0.975592099727887	0.176820686937444	False	8.637490960415914	8.218163633072564	0.41932732734334976	1.0331988966590744	0.3242631388873552	0.7176894261647344	False	8.074481363084573	8.218163633072564	-0.14368226998799116	-0.8364299760778499	0.41548861282795235	0.7380187430846056	False
ENSMUSG00000021622	Ckmt2	10.7166955550665	0.0002682711901576	True	3.524794052859735	0.5289996396607065	2.9957944131990284	1.8966910926208511	0.08880315660963037	0.5592046705083015	False	1.2974494847426328	0.5289996396607065	0.7684498450819263	1.1811996722666256	0.26668315189739883	0.6774806844641492	False
ENSMUSG00000038763	Alpk3	7.79682086979139	1.42651011171307e-05	True	3.171709002552152	1.146022280598724	2.025686721953428	1.5477932571352657	0.15390737907223687	0.6436588623965334	False	1.2901765741379116	1.146022280598724	0.14415429353918774	0.33233581381128113	0.7451072780314069	0.9423050364890595	False
ENSMUSG00000038239	Hrc	9.27144530650558	9.05427345438674e-06	True	3.525250167968378	0.8923520497611317	2.6328981182072466	1.8434065851745411	0.09670052548275132	0.5677298882731704	False	1.4842038655553391	0.8923520497611317	0.5918518157942074	1.1403679987395834	0.2797857526316956	0.6872809146752342	False
ENSMUSG00000044938	Klhl31	11.467371574431	0.0001040626245583	True	2.627412997497085	0.18135438462101444	2.4460586128760706	1.6702264240581974	0.12875289801844395	0.6127598585871796	False	0.4796803436515129	0.18135438462101444	0.29832595903049847	0.8033058358453862	0.4432513108616191	0.7600284644083316	False
ENSMUSG00000019528	Gyg1	1.32182057789278	0.0360613755102589	True	7.483205425579302	7.1798379695976	0.3033674559817028	0.6007856755458505	0.561777665601052	0.8507560236034111	False	6.745326633278425	7.1798379695976	-0.4345113363191748	-3.904278688977426	0.0016111716055776412	0.12612484978909633	False
ENSMUSG00000002342	Tmem161a	1.41493211727041	4.44153602086841e-05	True	8.464918184425821	7.903153618156327	0.5617645662694946	1.2812922964319509	0.22862114256811375	0.6853216130822903	False	7.998433036997662	7.903153618156327	0.0952794188413355	0.48151356412824	0.6385670691092985	0.8882129682212249	False
ENSMUSG00000030672	Mylpf	7.9927622312355	1.87884311289057e-07	True	6.028974973144476	4.049109895242635	1.9798650779018407	1.3802457666943015	0.1991741404545184	0.6593176773554511	False	3.93549330999777	4.049109895242635	-0.1136165852448654	-0.30274204035198715	0.7664942218094839	0.9528101104489396	False
ENSMUSG00000053093	Myh7	7.33854178544389	0.0012208784411443	True	3.367790442108453	1.4666482102748128	1.90114223183364	1.2133869173801606	0.24898353207697957	0.7032546434334258	False	1.271653796542024	1.4666482102748128	-0.1949944137327888	-0.24975452260418693	0.8059694845081488	0.9683934257749444	False
ENSMUSG00000019577	Pdk4	2.9341084870952	0.0002528650132903	True	10.07239142218991	7.7682876018182325	2.304103820371677	4.323163702411257	0.0009702321461806356	0.09250208929138204	False	9.474100449313989	7.7682876018182325	1.7058128474957561	4.084370742280842	0.0016858314042371553	0.12704685718996603	False
ENSMUSG00000067653	Ankrd23	6.40914218572431	2.61529329028879e-06	True	6.323375528727004	4.282611446061388	2.040764082665616	1.7827802602853153	0.10731419829121974	0.5829069287233597	False	4.659521830655545	4.282611446061388	0.37691038459415704	1.104549594270345	0.29571743568052783	0.6872809146752342	False
ENSMUSG00000040118	Cacna2d1	2.38429123972971	0.011643123834668	True	6.625282930858094	6.098881889367095	0.526401041490999	0.760392749014259	0.4651750115891341	0.7968251799009439	False	5.623626117635456	6.098881889367095	-0.47525577173163924	-2.386421079713834	0.03072628851423385	0.35858938445052785	False
ENSMUSG00000005628	Tmod4	3.99674533425595	0.000266617963462	True	5.40500183927087	4.201745671825401	1.2032561674454687	1.3996415735361556	0.19370796837807708	0.6553570378184499	False	4.154641665268261	4.201745671825401	-0.04710400655714064	-0.1915330976653636	0.8513259421594179	0.9875128726708634	False
ENSMUSG00000022594	Lynx1	2.96516147620929	0.0079719036594815	True	6.076558929636833	5.433237584477121	0.6433213451597117	0.8051185768889474	0.43983769490492225	0.7816204649365618	False	4.935470321916575	5.433237584477121	-0.49776726256054626	-1.7934332864706053	0.09511422938850203	0.4943312376892353	False
ENSMUSG00000028464	Tpm2	6.02592319175168	4.943295398245e-06	True	7.450616543835584	5.504864292924832	1.9457522509107514	1.7180593927347396	0.11771429624796285	0.5972988852722907	False	5.829895821632376	5.504864292924832	0.3250315287075436	0.8160936452317615	0.43044952484128046	0.7499246028216562	False
ENSMUSG00000042613	Pbxip1	0.589146324430232	0.378567018720739	False	8.743459127065377	8.556764783220453	0.18669434384492334	0.5475490333229716	0.5955506439718554	0.8687103721656876	False	8.261973203925846	8.556764783220453	-0.294791579294607	-2.3611035824609687	0.031262529819294935	0.3602007010085365	False
ENSMUSG00000030470	Csrp3	0.870119267355723	0.138390873572518	False	9.390245327867266	9.17478959690062	0.21545573096664583	0.5073988261017663	0.6225409521744194	0.8801501102267906	False	8.794923978223643	9.17478959690062	-0.3798656186769769	-2.4087404271061947	0.028646629225245777	0.348762902302379	False
ENSMUSG00000019787	Trdn	8.86606806586221	0.0033498676085624	True	2.9035321565675836	0.6507549799097285	2.252777176657855	1.4555918341170642	0.17572224210672244	0.6448034474360574	False	0.7062024617192375	0.6507549799097285	0.05544748180950898	0.0996862224767935	0.9218768330702297	1.0	False
ENSMUSG00000024049	Myom1	6.74008917671506	1.41389142701513e-07	True	5.684202722154855	3.3356630140841688	2.3485397080706862	2.0364641274540207	0.07046825777861873	0.5347478072554195	False	4.023801212152893	3.3356630140841688	0.6881381980687244	1.8281244390685116	0.09301974051124241	0.4907964200239558	False
ENSMUSG00000061462	Obscn	9.63393120575857	2.56754422354942e-07	True	4.579399900037042	2.071780769191149	2.507619130845893	1.5040663964372405	0.1648719635502738	0.6436588623965334	False	2.2386733463020825	2.071780769191149	0.16689257711093353	0.23532813195991906	0.8188163737022892	0.9731859749290396	False
ENSMUSG00000028773	Fabp3	9.9252344164951	1.14965052468633e-05	True	3.6735753227839703	0.7524250020871409	2.9211503206968294	1.8890519114103608	0.08932530454400713	0.5605798091929054	False	1.5199884250105553	0.7524250020871409	0.7675634229234144	1.1073936947718765	0.294504776838952	0.6872809146752342	False
ENSMUSG00000064179	Tnnt1	3.31692641780181	0.0018116140859733	True	6.475709928358201	5.119579642016804	1.356130286341397	1.8382430450710638	0.09636934013624301	0.5673849062540423	False	5.438547034234011	5.119579642016804	0.31896739221720694	1.0583221284003477	0.31108705546589316	0.6872809146752342	False
ENSMUSG00000068697	Myoz1	8.71407567081112	0.000368212703035	True	2.7232656781332336	0.7161354673812298	2.007130210752004	1.3858792843074998	0.1966676847281503	0.6580942009530538	False	0.6347610957589835	0.7161354673812298	-0.08137437162224626	-0.1799825234044491	0.8596377620498149	0.9908516280573357	False
ENSMUSG00000013936	Myl2	11.9781221980682	0.0001324871512584	True	2.9849384068318403	0.17940098280540034	2.80553742402644	1.8463755594981748	0.0974239266277972	0.5688721219165307	False	0.7827045367101201	0.17940098280540034	0.6033035539047198	1.244034592385995	0.2482332534884773	0.6577401204364747	False
ENSMUSG00000038670	Mybpc2	9.30994575684024	0.0001050077862101	True	4.014144143289541	1.5089600472417615	2.5051840960477794	1.4880747400812178	0.1664640172696077	0.6436588623965334	False	1.6719448985359695	1.5089600472417615	0.16298485129420803	0.22752813981683973	0.8232167631796513	0.9753575001390328	False
ENSMUSG00000007877	Tcap	11.2160496511841	1.44150631931807e-05	True	3.5954031541547358	0.5020154542502893	3.0933876999044463	1.912008863185975	0.08700521763742326	0.5567358029699818	False	1.2980741267729599	0.5020154542502893	0.7960586725226706	1.2476648117377176	0.2440717672426001	0.6535308017565872	False
ENSMUSG00000039891	Txlnb	8.90133827901086	4.26074999419194e-05	True	4.058078477225665	1.0429668302361397	3.0151116469895256	2.2833423333974596	0.04664381958399912	0.46083428012166516	False	2.185722880503142	1.0429668302361397	1.1427560502670024	2.239917291528718	0.047695296645281826	0.4031643437874415	False
ENSMUSG00000030852	Tacc2	0.879232978358271	0.16287458200192	False	9.828088517969073	9.178980649816873	0.6491078681521998	2.119465156926347	0.05489506005575514	0.4860851751033247	False	9.48792643697917	9.178980649816873	0.3089457871622958	1.355948276583257	0.19930097040046435	0.6060239380313747	False
ENSMUSG00000032648	Pygm	5.06325762326185	6.87528085227335e-05	True	7.372768019059879	5.822054808596429	1.5507132104634493	1.520108857019506	0.16009995476510658	0.6436588623965334	False	5.89951531386493	5.822054808596429	0.07746050526850023	0.2524353353107146	0.8040405293513874	0.9677515237897701	False
ENSMUSG00000030246	Ldhb	3.68370699709711	0.0002669617925198	True	7.129967832767252	5.877359059288389	1.2526087734788636	1.5831457070582657	0.14588626320021453	0.6354503000855822	False	5.971042378139997	5.877359059288389	0.09368331885160863	0.5492174550573811	0.590646222097808	0.860221328480294	False
ENSMUSG00000060600	Eno3	5.84240424406914	1.27965830661662e-06	True	7.0442192025761	5.480219767411261	1.5639994351648392	1.411032364968103	0.1913940371807858	0.6532468873579942	False	5.403822716249243	5.480219767411261	-0.07639705116201778	-0.3580847062871257	0.727536845012763	0.9338177023141215	False
ENSMUSG00000040694	Apobec2	10.8021686566295	0.0005995046630823	True	2.4081062335774486	0.12686306625802737	2.2812431673194213	1.6707073003919501	0.12853807228301287	0.612365851295908	False	0.40070278668437553	0.12686306625802737	0.2738397204263482	0.845204810607055	0.41872760677042636	0.7405990087842484	False
ENSMUSG00000024471	Myot	12.26760030556	0.0002058298380027	True	2.951504758402162	0.16818786299761007	2.783316895404552	1.7888413725805714	0.10692168692099703	0.5825751881395345	False	0.7118983334990356	0.16818786299761007	0.5437104705014255	1.0006588264897296	0.3476818431475583	0.6872809146752342	False
ENSMUSG00000005583	Mef2c	1.84586137857005	0.041158648098379	True	8.407698885219256	7.4666179515179625	0.9410809337012935	1.963637597079255	0.07914196734974847	0.5541087472149203	False	7.713293629339842	7.4666179515179625	0.24667567782187927	1.844782047266017	0.08520600018803327	0.4817203102869569	False
ENSMUSG00000031097	Tnni2	11.3421483504167	4.75623709033442e-10	True	4.7676489451035	1.4740575634452522	3.2935913816582474	1.807170554924868	0.10278371604777319	0.5782778945534541	False	2.2494905498830495	1.4740575634452522	0.7754329864377973	0.8871718421054111	0.39948831336998036	0.7260032194453007	False
ENSMUSG00000026817	Ak1	6.62077877122765	1.61612351283825e-05	True	4.577071331484676	2.5102517792428682	2.066819552241808	1.7426053965877775	0.11290339363187746	0.5922896250654669	False	2.8853404756639507	2.5102517792428682	0.37508869642108245	0.8747211327550753	0.39842578137070805	0.7249258035418035	False
ENSMUSG00000044041	Krt13	-15.0412160758276	0.155825699198361	False	1.24503869619693	0.08018224243011243	1.1648564537668176	0.9336643918637626	0.3746526056363228	0.7418348701803902	False	0.0	0.08018224243011243	-0.08018224243011243	-0.9999999999999998	0.3434363961379138	0.6872809146752342	False
ENSMUSG00000002831	Plin4	1.1514404091132	0.212933984468129	False	8.500087059535932	7.980729750875248	0.519357308660684	0.9177343722734522	0.37513302507990254	0.74231119520731	False	7.9039334404217465	7.980729750875248	-0.07679631045350188	-0.16730534309401915	0.8697778648186395	0.994801233004893	False
ENSMUSG00000027010	Slc25a12	0.664504361941717	0.169004778284989	False	9.016950346197962	8.71893154518619	0.2980188010117715	0.9619713990784063	0.36016725841826114	0.7310798964187726	False	8.586190625218206	8.71893154518619	-0.13274091996798454	-1.0937524115165842	0.3016531318665713	0.6872809146752342	False
ENSMUSG00000025488	Cox8b	9.85351278429304	1.53729490572376e-05	True	3.6238769709819003	0.5647263627410724	3.059150608240828	2.1377836478749974	0.05988135216103423	0.5056918805479371	False	1.6554627285047585	0.5647263627410724	1.0907363657636862	1.5579915798891095	0.15559109313129232	0.588924750073075	False
ENSMUSG00000038663	Fsd2	7.87657914563774	5.50581857045349e-05	True	2.963385433336636	1.0161457725572514	1.9472396607793847	1.4284474764478958	0.18438982623028682	0.6496288083495096	False	1.04467188207702	1.0161457725572514	0.02852610951976864	0.05116820677377065	0.9600873385244052	1.0	False
ENSMUSG00000055775	Myh8	14.070625623573	4.47730325057428e-06	True	2.272362121132757	0.0788590783213843	2.1935030428113724	1.6626618907558415	0.13050247088360803	0.6152714256433297	False	0.7286986949117165	0.0788590783213843	0.6498396165903322	2.2764730775466657	0.05173119741572011	0.4144900750035253	False
ENSMUSG00000031791	Tmem38a	4.6345259198119	6.4560986855496e-05	True	6.040321191147047	4.650727319628372	1.3895938715186755	1.5019718097560348	0.16628629606727321	0.6436588623965334	False	4.670682936768041	4.650727319628372	0.019955617139669535	0.1280262600192537	0.899723957221236	1.0	False
ENSMUSG00000018566	Slc2a4	4.67758409223484	1.78112138839829e-05	True	5.645536164442482	3.655989777076217	1.9895463873662647	2.0359237605177847	0.07033257760729185	0.5347478072554195	False	4.454848038872407	3.655989777076217	0.7988582617961897	1.129973969124784	0.2916238460901116	0.6872809146752342	False
ENSMUSG00000032294	Pkm	1.65641559737793	0.0195771473155356	True	9.982097404306923	9.199067963660784	0.7830294406461391	1.6203299924975556	0.1364350898196667	0.6245834905415828	False	9.290551064745445	9.199067963660784	0.09148310108466085	0.5694852647475718	0.5773583373150409	0.8518359673254713	False
ENSMUSG00000032060	Cryab	4.32360636737058	3.39147070639424e-05	True	7.041522644655048	5.519851036911328	1.5216716077437198	1.8108088440639012	0.10315598958501607	0.5783779792864289	False	5.79189567490602	5.519851036911328	0.2720446379946919	2.4069761840537964	0.03050570503621832	0.3575409418176134	False
ENSMUSG00000072720	Myo18b	6.86530417915509	8.58092751533957e-06	True	4.35175459059168	2.177076248674953	2.174678341916727	1.751241888150153	0.10986052799610503	0.587224147627279	False	2.6125024858444883	2.177076248674953	0.4354262371695352	0.8565518601284065	0.4061171076276524	0.7309372455827362	False
ENSMUSG00000007122	Casq1	9.33902256281818	0.0008425141532921	True	3.1152772107435833	0.6737475540068532	2.44152965673673	1.6820332705594065	0.12491587034937197	0.6074858308654271	False	1.0466695724999662	0.6737475540068532	0.372922018493113	0.6928366005757055	0.5031194096421601	0.8050684780295624	False
ENSMUSG00000030399	Ckm	11.3541412253129	7.1937588373858e-07	True	4.910107491517747	1.2996886033331732	3.610418888184574	1.9646722804196235	0.07866868421538149	0.5540656734146852	False	2.4441627547011247	1.2996886033331732	1.1444741513679515	1.1415172412292351	0.282892338101472	0.6872809146752342	False
ENSMUSG00000048279	Sacs	1.73156302807515	0.0146904523376595	True	7.150246631813926	6.62103211162582	0.5292145201881056	0.9708233800821792	0.35469321321979824	0.7260012415207409	False	6.382953716027551	6.62103211162582	-0.2380783955982695	-1.353672777077607	0.19526718676544924	0.6020766005801577	False
ENSMUSG00000059668	Krt4	0.985570009654957	0.840484273146476	False	1.7565544988830755	0.2716223173597342	1.4849321815233414	1.173634850434469	0.26996904312624515	0.7176894261647344	False	0.3877701875698083	0.2716223173597342	0.11614787021007411	0.4792239545573402	0.6396943564847283	0.8893112510037747	False
ENSMUSG00000061816	Myl1	11.6801133696945	9.71288264837285e-07	True	3.8926544780177403	0.5808112963741334	3.311843181643607	1.9950760555945215	0.0762761091548358	0.548175436325314	False	1.5341452381725327	0.5808112963741334	0.9533339417983993	1.4511042060735977	0.18305710185240373	0.5940079225559416	False
