tissue	reference_samples	query_samples	programs	pc1_variance_fraction	pc2_variance_fraction	reference_nearest_neighbor_95pct_threshold_20pc	query_within_reference_95pct_nn_fraction	query_median_to_reference_nn_distance_20pc	reference_median_nn_distance_20pc
thymus	1362	117	387	0.1105240296264704	0.05702581333961318	12.768895241234672	1.0	4.325657744997881	2.6470757972267123
skin	2593	151	319	0.1260731314257483	0.10666214327054385	7.076951742911289	1.0	4.331091415711037	2.3445979895501194
liver	5000	197	364	0.17414744797178677	0.1268643836847437	8.373596026934385	1.0	2.6169643072731765	1.9954649347282385
spleen	6289	109	360	0.09684856361288716	0.08522923233202054	6.236264716862387	1.0	3.7889555008892253	2.07393576355898
