tissue	atlas_tissue	compartment	atlas_cells	rank	gene_id	atlas_log2cpm	specificity_log2_fold
thymus	thymus	stromal	293	23	ENSMUSG00000026208	10.713845252990723	9.98969841003418
thymus	thymus	stromal	293	24	ENSMUSG00000035783	13.315567016601562	9.938763618469238
thymus	thymus	stromal	293	25	ENSMUSG00000031502	10.58065414428711	9.912667274475098
thymus	thymus	stromal	293	26	ENSMUSG00000001870	10.738194465637207	9.782313346862793
thymus	thymus	stromal	293	27	ENSMUSG00000021186	10.285758018493652	9.774373054504395
thymus	thymus	stromal	293	28	ENSMUSG00000001240	10.670764923095703	9.681313514709473
thymus	thymus	stromal	293	29	ENSMUSG00000040181	9.970428466796875	9.604826927185059
thymus	thymus	stromal	293	30	ENSMUSG00000026365	11.934881210327148	9.523097038269043
skin	skin of body	epidermal	4803	1	ENSMUSG00000053797	9.771835327148438	8.539091110229492
skin	skin of body	epidermal	4803	2	ENSMUSG00000048013	7.612029552459717	7.612029552459717
skin	skin of body	epidermal	4803	3	ENSMUSG00000030713	7.416430473327637	7.416430473327637
skin	skin of body	epidermal	4803	4	ENSMUSG00000023041	7.209395408630371	7.209395408630371
skin	skin of body	epidermal	4803	5	ENSMUSG00000005628	6.95420503616333	6.95420503616333
skin	skin of body	epidermal	4803	6	ENSMUSG00000057933	6.421210289001465	6.421210289001465
skin	skin of body	epidermal	4803	7	ENSMUSG00000026605	6.865528106689453	6.413228988647461
skin	skin of body	epidermal	4803	8	ENSMUSG00000057604	6.3974609375	6.3974609375
skin	skin of body	epidermal	4803	9	ENSMUSG00000027761	6.396782875061035	6.396782875061035
skin	skin of body	epidermal	4803	10	ENSMUSG00000042250	6.365411281585693	6.365411281585693
skin	skin of body	epidermal	4803	11	ENSMUSG00000044748	6.256979942321777	6.256979942321777
skin	skin of body	epidermal	4803	12	ENSMUSG00000039760	6.06608772277832	6.06608772277832
skin	skin of body	epidermal	4803	13	ENSMUSG00000045730	9.977901458740234	6.048318386077881
skin	skin of body	epidermal	4803	14	ENSMUSG00000031075	6.884418964385986	5.9897541999816895
skin	skin of body	epidermal	4803	15	ENSMUSG00000050370	5.956748008728027	5.956748008728027
skin	skin of body	epidermal	4803	16	ENSMUSG00000026241	5.940017223358154	5.940017223358154
skin	skin of body	epidermal	4803	17	ENSMUSG00000005355	5.916502475738525	5.916502475738525
skin	skin of body	epidermal	4803	18	ENSMUSG00000002020	7.5868682861328125	5.904603004455566
skin	skin of body	epidermal	4803	19	ENSMUSG00000008461	6.011325359344482	5.844301700592041
skin	skin of body	epidermal	4803	20	ENSMUSG00000000120	5.825557708740234	5.825557708740234
skin	skin of body	epidermal	4803	21	ENSMUSG00000061397	10.27270221710205	5.805995464324951
skin	skin of body	epidermal	4803	22	ENSMUSG00000045871	5.755879878997803	5.755879878997803
skin	skin of body	epidermal	4803	23	ENSMUSG00000050296	5.755375862121582	5.755375862121582
skin	skin of body	epidermal	4803	24	ENSMUSG00000063060	5.74007511138916	5.74007511138916
skin	skin of body	epidermal	4803	25	ENSMUSG00000024526	5.733284950256348	5.733284950256348
skin	skin of body	epidermal	4803	26	ENSMUSG00000061126	5.727387428283691	5.727387428283691
skin	skin of body	epidermal	4803	27	ENSMUSG00000055368	6.232749938964844	5.6565093994140625
skin	skin of body	epidermal	4803	28	ENSMUSG00000074604	5.639955043792725	5.639955043792725
skin	skin of body	epidermal	4803	29	ENSMUSG00000032291	5.575677871704102	5.575677871704102
skin	skin of body	epidermal	4803	30	ENSMUSG00000015533	6.223052024841309	5.532680988311768
skin	skin of body	immune	40	1	ENSMUSG00000019122	13.86202621459961	13.659188270568848
skin	skin of body	immune	40	2	ENSMUSG00000029304	13.812313079833984	12.839714050292969
skin	skin of body	immune	40	3	ENSMUSG00000058427	13.109465599060059	12.656437873840332
skin	skin of body	immune	40	4	ENSMUSG00000069516	14.243924140930176	11.550271987915039
skin	skin of body	immune	40	5	ENSMUSG00000002033	13.89169979095459	11.428426742553711
skin	skin of body	immune	40	6	ENSMUSG00000000982	11.114274978637695	11.091318130493164
skin	skin of body	immune	40	7	ENSMUSG00000038642	13.102677345275879	11.049769401550293
skin	skin of body	immune	40	8	ENSMUSG00000005763	11.657937049865723	10.973860740661621
skin	skin of body	immune	40	9	ENSMUSG00000026395	11.411825180053711	10.941991806030273
skin	skin of body	immune	40	10	ENSMUSG00000018927	11.26744270324707	10.654565811157227
skin	skin of body	immune	40	11	ENSMUSG00000058715	13.274707794189453	10.421852111816406
