tissue	first_term	first_label	second_term	second_label	within_accession_residual_score_correlation	shared_reactome_genes	reactome_gene_jaccard
thymus	R-MMU-73894_DNA_REPAIR	DNA repair	R-MMU-8980692_RHOA_GTPASE_CYCLE	RHOA cytoskeletal cycle	0.9180864951974285	0	0.0
thymus	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Lymphoid-stromal interactions	0.7719814639188417	10	0.03436426116838488
thymus	R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Lymphoid-stromal interactions	R-MMU-8980692_RHOA_GTPASE_CYCLE	RHOA cytoskeletal cycle	0.7597016204526669	0	0.0
thymus	R-MMU-73894_DNA_REPAIR	DNA repair	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	0.7516810015356536	6	0.01411764705882353
thymus	R-MMU-69278_CELL_CYCLE_MITOTIC	Mitotic cell cycle	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	0.711045293020206	40	0.06884681583476764
thymus	R-MMU-166166_MYD88_INDEPENDENT_TLR4_CASCADE	Innate TLR signaling	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	Extracellular matrix organization	0.582966013122358	1	0.0027397260273972603
thymus	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	R-MMU-8980692_RHOA_GTPASE_CYCLE	RHOA cytoskeletal cycle	0.5180282619961531	2	0.008298755186721992
thymus	R-MMU-8980692_RHOA_GTPASE_CYCLE	RHOA cytoskeletal cycle	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	Extracellular matrix organization	-0.6155620465959823	1	0.0024691358024691358
thymus	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	R-MMU-166166_MYD88_INDEPENDENT_TLR4_CASCADE	Innate TLR signaling	-0.640893701176731	22	0.12154696132596685
thymus	R-MMU-166166_MYD88_INDEPENDENT_TLR4_CASCADE	Innate TLR signaling	R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Lymphoid-stromal interactions	-0.691288731455477	0	0.0
thymus	R-MMU-69278_CELL_CYCLE_MITOTIC	Mitotic cell cycle	R-MMU-166166_MYD88_INDEPENDENT_TLR4_CASCADE	Innate TLR signaling	-0.6973181422646587	17	0.02809917355371901
thymus	R-MMU-166166_MYD88_INDEPENDENT_TLR4_CASCADE	Innate TLR signaling	R-MMU-8980692_RHOA_GTPASE_CYCLE	RHOA cytoskeletal cycle	-0.7172368779434782	0	0.0
thymus	R-MMU-73894_DNA_REPAIR	DNA repair	R-MMU-166166_MYD88_INDEPENDENT_TLR4_CASCADE	Innate TLR signaling	-0.7303861690337612	7	0.01647058823529412
thymus	R-MMU-69278_CELL_CYCLE_MITOTIC	Mitotic cell cycle	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	Extracellular matrix organization	-0.8481792989436493	0	0.0
thymus	R-MMU-202403_TCR_SIGNALING	T-cell receptor signaling	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	Extracellular matrix organization	-0.8646796654012097	0	0.0
thymus	R-MMU-73894_DNA_REPAIR	DNA repair	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	Extracellular matrix organization	-0.8650595582628096	1	0.0016863406408094434
thymus	R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	Lymphoid-stromal interactions	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	Extracellular matrix organization	-0.9186506111334054	12	0.02654867256637168
