tissue	term	effect_seed2020	effect_seed2021	effect_seed2022	short_label	evidence_role	curated_pathway	family_representative	primary_absolute_percentile	all_three_seeds_available	all_three_direction_concordant	seed_effect_median	seed_effect_minimum	seed_effect_maximum
liver	R-MMU-156590_GLUTATHIONE_CONJUGATION	0.029082913687851448		0.0033489520159565413	Glutathione conjugation	context_sensitive	True	False	0.653179190751445	False	True	0.016215932851903994	0.0033489520159565413	0.029082913687851448
liver	R-MMU-1566948_ELASTIC_FIBRE_FORMATION	-0.01757891295520122	-0.0869272544762417	0.006513470045746039			False	False	0.5895953757225434	True	False	-0.01757891295520122	-0.0869272544762417	0.006513470045746039
liver	R-MMU-157579_TELOMERE_MAINTENANCE	0.015147520568646797	0.010260525297266818	0.010425888739848739			False	False	0.5664739884393064	True	True	0.010425888739848739	0.010260525297266818	0.015147520568646797
liver	R-MMU-157858_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	0.017091814583902003	-0.000189931644790289	0.007458896886276415			False	False	0.5809248554913294	True	False	0.007458896886276415	-0.000189931644790289	0.017091814583902003
liver	R-MMU-15869_METABOLISM_OF_NUCLEOTIDES	-0.028206694474856398	-0.03939214815208721	-0.042457271913291364			False	False	0.6445086705202312	True	True	-0.03939214815208721	-0.042457271913291364	-0.028206694474856398
liver	R-MMU-162582_SIGNAL_TRANSDUCTION	-0.030183704145309596	-0.0626268133573988	-0.08147920720093227			False	False	0.6647398843930635	True	True	-0.0626268133573988	-0.08147920720093227	-0.030183704145309596
liver	R-MMU-1630316_GLYCOSAMINOGLYCAN_METABOLISM	-0.03930497797692755	-0.0388279428569596	-0.046802564180831535			False	False	0.7196531791907514	True	True	-0.03930497797692755	-0.046802564180831535	-0.0388279428569596
liver	R-MMU-163125_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	-0.06514546287258131	0.07668228369038113	0.05021199275876085			False	False	0.838150289017341	True	False	0.05021199275876085	-0.06514546287258131	0.07668228369038113
liver	R-MMU-1632852_MACROAUTOPHAGY	-0.0012178593336144164	-0.00016404006384872417	-0.002305448814921579			False	False	0.3063583815028902	True	True	-0.0012178593336144164	-0.002305448814921579	-0.00016404006384872417
liver	R-MMU-163685_INTEGRATION_OF_ENERGY_METABOLISM	0.0018140464739176848	-0.15606276415373155	-0.003043021259063386			False	False	0.37283236994219654	True	False	-0.003043021259063386	-0.15606276415373155	0.0018140464739176848
liver	R-MMU-1638074_KERATAN_SULFATE_KERATIN_METABOLISM	-0.00018670302547039706					False	False	0.08959537572254335	False	True	-0.00018670302547039706	-0.00018670302547039706	-0.00018670302547039706
liver	R-MMU-1640170_CELL_CYCLE	-0.12611435471694016	-0.1656898267782899	-0.20449752190737613			False	False	0.9653179190751445	True	True	-0.1656898267782899	-0.20449752190737613	-0.12611435471694016
liver	R-MMU-1650814_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES	0.008499942989378052	-0.10629027439929115	-0.04237282553046595			False	False	0.5317919075144508	True	False	-0.04237282553046595	-0.10629027439929115	0.008499942989378052
liver	R-MMU-166016_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	0.1945450405277786	-0.010377670887804448	0.002190219101231121			False	True	0.9942196531791907	True	False	0.002190219101231121	-0.010377670887804448	0.1945450405277786
liver	R-MMU-166058_MYD88_MAL_TIRAP_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	0.0029051562207118215	-0.0004135524246411031	0.004664324396930992			False	False	0.42485549132947975	True	False	0.0029051562207118215	-0.0004135524246411031	0.004664324396930992
liver	R-MMU-166166_MYD88_INDEPENDENT_TLR4_CASCADE	0.0003264769885365129	-0.007314560150242055	-0.0020938359375133843			False	False	0.11849710982658959	True	False	-0.0020938359375133843	-0.007314560150242055	0.0003264769885365129
liver	R-MMU-166520_SIGNALING_BY_NTRKS	-0.0009624288911306599	-0.0019433911560804485	0.0015593469905097075			False	False	0.27167630057803466	True	False	-0.0009624288911306599	-0.0019433911560804485	0.0015593469905097075
liver	R-MMU-166658_COMPLEMENT_CASCADE	-0.14197568629130491	-0.11395130236913383	-0.09025932608793519			False	False	0.976878612716763	True	True	-0.11395130236913383	-0.14197568629130491	-0.09025932608793519
liver	R-MMU-166663_INITIAL_TRIGGERING_OF_COMPLEMENT	-0.03870027355075317	0.0022541120499879027	0.05963728094368988			False	False	0.7109826589595376	True	False	0.0022541120499879027	-0.03870027355075317	0.05963728094368988
liver	R-MMU-168138_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE	0.0034320713248511326	3.823210750752513e-05	-0.01630676913564217			False	False	0.4479768786127168	True	False	3.823210750752513e-05	-0.01630676913564217	0.0034320713248511326
liver	R-MMU-168142_TOLL_LIKE_RECEPTOR_10_TLR10_CASCADE	-0.0013272310338723167	0.00010144785363521676	0.0015863285973251474			False	False	0.315028901734104	True	False	0.00010144785363521676	-0.0013272310338723167	0.0015863285973251474
liver	R-MMU-168164_TOLL_LIKE_RECEPTOR_3_TLR3_CASCADE	-0.002172628923797733	0.0021013309471275164	0.0018711148878600321			False	False	0.38439306358381503	True	False	0.0018711148878600321	-0.002172628923797733	0.0021013309471275164
liver	R-MMU-168176_TOLL_LIKE_RECEPTOR_5_TLR5_CASCADE	-0.003341918969097202	-0.0008114232966886399	-0.0010313688959844656			False	False	0.4421965317919075	True	True	-0.0010313688959844656	-0.003341918969097202	-0.0008114232966886399
liver	R-MMU-168179_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE		-0.002752066389020732	-0.0008930700085921029			False	False		False	True	-0.0018225681988064174	-0.002752066389020732	-0.0008930700085921029
liver	R-MMU-168181_TOLL_LIKE_RECEPTOR_7_8_TLR7_8_CASCADE	-0.00034439580716937485	0.007513831526868253	0.005615920443071726			False	False	0.1329479768786127	True	False	0.005615920443071726	-0.00034439580716937485	0.007513831526868253
liver	R-MMU-168188_TOLL_LIKE_RECEPTOR_TLR6_TLR2_CASCADE	0.0016209061852318907	0.000543368766862398				False	False	0.3439306358381503	False	True	0.0010821374760471444	0.000543368766862398	0.0016209061852318907
liver	R-MMU-168249_INNATE_IMMUNE_SYSTEM	0.008171063323000511	-0.18065583402002278	-0.2687302892200801			False	False	0.5260115606936416	True	False	-0.18065583402002278	-0.2687302892200801	0.008171063323000511
liver	R-MMU-168256_IMMUNE_SYSTEM	-0.20061652107533617	-0.21001269405687656	-0.2646020909966185			False	False	0.9971098265895953	True	True	-0.21001269405687656	-0.2646020909966185	-0.20061652107533617
liver	R-MMU-168898_TOLL_LIKE_RECEPTOR_CASCADES	-0.09064088252706633	-0.10989535889180276	-0.20012470960681447			False	False	0.9017341040462428	True	True	-0.10989535889180276	-0.20012470960681447	-0.09064088252706633
liver	R-MMU-170834_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	-0.02678574324981889	-0.013684001295346573	0.033060804997850336			False	False	0.638728323699422	True	False	-0.013684001295346573	-0.02678574324981889	0.033060804997850336
liver	R-MMU-174824_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	0.03888011079885203	0.08881633393987658	0.08124370723834985			False	False	0.7138728323699421	True	True	0.08124370723834985	0.03888011079885203	0.08881633393987658
liver	R-MMU-181438_TOLL_LIKE_RECEPTOR_2_TLR2_CASCADE	0.0017485734810387468					False	False	0.3670520231213873	False	True	0.0017485734810387468	0.0017485734810387468	0.0017485734810387468
liver	R-MMU-1852241_ORGANELLE_BIOGENESIS_AND_MAINTENANCE	0.005742486871587862		0.0018419872768180921			False	False	0.48554913294797686	False	True	0.0037922370742029775	0.0018419872768180921	0.005742486871587862
liver	R-MMU-186797_SIGNALING_BY_PDGF	-0.01616518310430596	-0.0664400472781269	-0.006174925182074971			False	False	0.569364161849711	True	True	-0.01616518310430596	-0.0664400472781269	-0.006174925182074971
liver	R-MMU-187037_SIGNALING_BY_NTRK1_TRKA	-0.0016982709276084946	-0.0006589681581055582	-0.0026485755864912005			False	False	0.3554913294797688	True	True	-0.0016982709276084946	-0.0026485755864912005	-0.0006589681581055582
liver	R-MMU-189445_METABOLISM_OF_PORPHYRINS	-0.0032622309706651365	0.06062807898144799	0.03171004826540034			False	False	0.4393063583815029	True	False	0.03171004826540034	-0.0032622309706651365	0.06062807898144799
liver	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	0.00015058177578420904	0.04902574591810405	0.0027505696936557895			False	False	0.07225433526011561	True	True	0.0027505696936557895	0.00015058177578420904	0.04902574591810405
liver	R-MMU-190861_GAP_JUNCTION_ASSEMBLY			0.0014991804978634522			False	False		False	True	0.0014991804978634522	0.0014991804978634522	0.0014991804978634522
liver	R-MMU-191273_CHOLESTEROL_BIOSYNTHESIS	-0.09930969310347389	0.007831400458814336	0.039297982674566946			False	False	0.9277456647398844	True	False	0.007831400458814336	-0.09930969310347389	0.039297982674566946
liver	R-MMU-192105_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS	-0.00031216321040570166	0.01307257320142051	0.0026390365266879936			False	False	0.11271676300578035	True	False	0.0026390365266879936	-0.00031216321040570166	0.01307257320142051
liver	R-MMU-193368_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_7ALPHA_HYDROXYCHOLESTEROL	-0.0008166313872489947		0.000145229017402404			False	False	0.24277456647398843	False	False	-0.0003357011849232953	-0.0008166313872489947	0.000145229017402404
liver	R-MMU-193648_NRAGE_SIGNALS_DEATH_THROUGH_JNK	-1.2698821134334372e-05	0.0011762822195129298	0.0021934110223702876			False	False	0.011560693641618497	True	False	0.0011762822195129298	-1.2698821134334372e-05	0.0021934110223702876
liver	R-MMU-193704_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	-0.007564963575967606	-0.14012784770261383	-0.03257529832378533			False	False	0.5202312138728323	True	True	-0.03257529832378533	-0.14012784770261383	-0.007564963575967606
liver	R-MMU-194068_BILE_ACID_AND_BILE_SALT_METABOLISM	0.0034999188333486595	0.004421720052649243	-0.028836062187208095			False	False	0.45375722543352603	True	False	0.0034999188333486595	-0.028836062187208095	0.004421720052649243
liver	R-MMU-194138_SIGNALING_BY_VEGF	-0.10317610424228454	-0.06928241457655229	-0.07970336130415555			False	False	0.9421965317919075	True	True	-0.07970336130415555	-0.10317610424228454	-0.06928241457655229
liver	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	0.0399437893172124	-0.2038935374466701	-0.11563057136792756			False	False	0.7254335260115607	True	False	-0.11563057136792756	-0.2038935374466701	0.0399437893172124
liver	R-MMU-195258_RHO_GTPASE_EFFECTORS	-0.10463634811710402	-0.16615972453313982	-0.06493725341331033			False	False	0.9450867052023122	True	True	-0.10463634811710402	-0.16615972453313982	-0.06493725341331033
liver	R-MMU-195721_SIGNALING_BY_WNT	-0.016199183176354846	-0.04137611544613009	0.03886871172027384			False	False	0.5722543352601156	True	False	-0.016199183176354846	-0.04137611544613009	0.03886871172027384
liver	R-MMU-196071_METABOLISM_OF_STEROID_HORMONES	0.15126132716027968	0.04268614104725513	0.12161121262191374			False	False	0.9826589595375722	True	True	0.12161121262191374	0.04268614104725513	0.15126132716027968
liver	R-MMU-196849_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	0.05237605792276443	0.05419984297463849	0.08094903568360998			False	False	0.7601156069364162	True	True	0.05419984297463849	0.05237605792276443	0.08094903568360998
liver	R-MMU-196854_METABOLISM_OF_VITAMINS_AND_COFACTORS	-0.007435574699746672	0.027135124241776443	0.03747892391714487			False	False	0.5115606936416185	True	False	0.027135124241776443	-0.007435574699746672	0.03747892391714487
liver	R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	-0.07568945013437356	0.0005873218278411585	-0.09643904187697742			False	False	0.869942196531792	True	False	-0.07568945013437356	-0.09643904187697742	0.0005873218278411585
liver	R-MMU-199418_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	-0.030868752236910844	0.0019470708369293565	0.003941378202492051			False	False	0.6676300578034682	True	False	0.0019470708369293565	-0.030868752236910844	0.003941378202492051
liver	R-MMU-199977_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	0.0001587478050264319	0.001684016362511595	-0.0018814133295870423			False	False	0.07803468208092486	True	False	0.0001587478050264319	-0.0018814133295870423	0.001684016362511595
liver	R-MMU-199991_MEMBRANE_TRAFFICKING	-0.05570717869657884	-0.08081682557646672	-0.12326173683608213			False	False	0.7774566473988439	True	True	-0.08081682557646672	-0.12326173683608213	-0.05570717869657884
liver	R-MMU-201681_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	-0.016867857148009147	0.01412968460186088	-0.01740150190443851			False	False	0.5780346820809249	True	False	-0.016867857148009147	-0.01740150190443851	0.01412968460186088
liver	R-MMU-2022090_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	0.0025990426062532323	-0.03939384852910769	-0.0106226970051411			False	False	0.41329479768786126	True	False	-0.0106226970051411	-0.03939384852910769	0.0025990426062532323
liver	R-MMU-202403_TCR_SIGNALING	-0.09655078716473306	-0.06387227765345879	-0.009684486587108854	T-cell receptor signaling	complementary	True	False	0.9248554913294798	True	True	-0.06387227765345879	-0.09655078716473306	-0.009684486587108854
liver	R-MMU-202733_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	-0.1484330415392139	-0.20076579179606968	-0.18376024794686463			False	False	0.9797687861271677	True	True	-0.18376024794686463	-0.20076579179606968	-0.1484330415392139
liver	R-MMU-2029480_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	0.008637922342971314	-0.003574572738581494	-0.007611259737668108			False	False	0.5346820809248555	True	False	-0.003574572738581494	-0.007611259737668108	0.008637922342971314
liver	R-MMU-2029482_REGULATION_OF_ACTIN_DYNAMICS_FOR_PHAGOCYTIC_CUP_FORMATION	-0.000668098696319259	0.00044706026519159383	-0.00036678963473843734			False	False	0.21676300578034682	True	False	-0.00036678963473843734	-0.000668098696319259	0.00044706026519159383
liver	R-MMU-204998_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	-0.01829036815943156	-0.00663471709992447	-0.05479289864489113			False	False	0.5924855491329479	True	True	-0.01829036815943156	-0.05479289864489113	-0.00663471709992447
liver	R-MMU-211859_BIOLOGICAL_OXIDATIONS	0.09189007144443095	0.09444625312001645	0.015538163705554253			False	False	0.9075144508670521	True	True	0.09189007144443095	0.015538163705554253	0.09444625312001645
liver	R-MMU-211897_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	0.2391881175291052	0.11310702927089895	0.04497890037767542	Cytochrome P450	context_sensitive	True	True	1.0	True	True	0.11310702927089895	0.04497890037767542	0.2391881175291052
liver	R-MMU-211935_FATTY_ACIDS	0.0004409445524141529	0.0027686203585093098	0.007981150430302435			False	False	0.16473988439306358	True	True	0.0027686203585093098	0.0004409445524141529	0.007981150430302435
liver	R-MMU-211945_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	0.0022575331925136334	0.06477677417740721	0.14494758377112135			False	False	0.3872832369942196	True	True	0.06477677417740721	0.0022575331925136334	0.14494758377112135
liver	R-MMU-211958_MISCELLANEOUS_SUBSTRATES	-0.0015215324842354839		-0.0038955357848596884			False	False	0.32947976878612717	False	True	-0.002708534134547586	-0.0038955357848596884	-0.0015215324842354839
liver	R-MMU-211976_ENDOGENOUS_STEROLS	0.000834883281605417					False	False	0.2514450867052023	False	True	0.000834883281605417	0.000834883281605417	0.000834883281605417
liver	R-MMU-211981_XENOBIOTICS	0.0017184126873712186	-0.015734675731761315	0.23774359840338763			False	False	0.36127167630057805	True	False	0.0017184126873712186	-0.015734675731761315	0.23774359840338763
liver	R-MMU-212165_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	0.00948074519032625	-0.003955138059104588	-0.005568525012312513			False	False	0.5433526011560693	True	False	-0.003955138059104588	-0.005568525012312513	0.00948074519032625
liver	R-MMU-212300_PRC2_METHYLATES_HISTONES_AND_DNA	0.0003634132509155714	-0.0007621226894894836	-0.0005106512363883232			False	False	0.1416184971098266	True	False	-0.0005106512363883232	-0.0007621226894894836	0.0003634132509155714
liver	R-MMU-212436_GENERIC_TRANSCRIPTION_PATHWAY	0.03537053863846577	0.018539049797982547	-0.04511719375020165			False	False	0.6820809248554913	True	False	0.018539049797982547	-0.04511719375020165	0.03537053863846577
liver	R-MMU-2129379_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	-0.02984217472029651	0.0168215852505997	-0.07183749377228694			False	False	0.6589595375722543	True	False	-0.02984217472029651	-0.07183749377228694	0.0168215852505997
liver	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	-0.16017220024177137	-0.029073511183877417	-0.15765867258879396	MHC class II antigen presentation	complementary	True	True	0.9884393063583815	True	True	-0.15765867258879396	-0.16017220024177137	-0.029073511183877417
liver	R-MMU-2142691_SYNTHESIS_OF_LEUKOTRIENES_LT_AND_EOXINS_EX		-0.03407440093646698	0.0013180322538977097			False	False		False	False	-0.016378184341284633	-0.03407440093646698	0.0013180322538977097
liver	R-MMU-2142753_ARACHIDONATE_METABOLISM	-0.06838882930292098	-0.16658528500367803	-0.15083835596135614			False	False	0.8439306358381503	True	True	-0.15083835596135614	-0.16658528500367803	-0.06838882930292098
liver	R-MMU-216083_INTEGRIN_CELL_SURFACE_INTERACTIONS	-0.03414068042259143	0.013767731287438906	-0.018117190328545814			False	False	0.6763005780346821	True	False	-0.018117190328545814	-0.03414068042259143	0.013767731287438906
liver	R-MMU-2162123_SYNTHESIS_OF_PROSTAGLANDINS_PG_AND_THROMBOXANES_TX	9.385567352286681e-06		-0.0010487890449950956			False	False	0.008670520231213872	False	False	-0.0005197017388214045	-0.0010487890449950956	9.385567352286681e-06
liver	R-MMU-2168880_SCAVENGING_OF_HEME_FROM_PLASMA		-0.015477711112161984				False	False		False	True	-0.015477711112161984	-0.015477711112161984	-0.015477711112161984
liver	R-MMU-2172127_DAP12_INTERACTIONS	-0.0004697368784836203					False	False	0.17052023121387283	False	True	-0.0004697368784836203	-0.0004697368784836203	-0.0004697368784836203
