tissue	term	expimap_accession_balanced_effect	expimap_n_accessions	expimap_accessions_positive	expimap_accessions_negative	expimap_project_balanced_effect	expimap_n_projects	expimap_projects_positive	expimap_projects_negative	ssgsea_accession_balanced_effect	ssgsea_n_accessions	ssgsea_accessions_positive	ssgsea_accessions_negative	ssgsea_project_balanced_effect	ssgsea_n_projects	ssgsea_projects_positive	ssgsea_projects_negative	gsea_nes	gsea_nominal_p	gsea_fdr	gsea_leading_edge_genes	short_label	evidence_role	family_representative	curated_pathway	expimap_ssgsea_direction_match	expimap_gsea_direction_match	heldout_project_direction_concordance	heldout_projects	effect_seed2020	effect_seed2021	effect_seed2022	all_three_seeds_available	all_three_direction_concordant	within_accession_unadjusted_effect	composition_proxy_adjusted_effect	adjusted_direction_matches_unadjusted	absolute_effect_ratio_adjusted_to_unadjusted	ssgsea_direction_support	preranked_gsea_direction_support	heldout_direction_support	seed_direction_support	composition_proxy_support	robustness_status	robustness_support_count
skin	R-MMU-428157_SPHINGOLIPID_METABOLISM	-0.1943057259062245	6	2	4	-0.2782457200162181	4	1	3	-0.0017489837777368	6.0	2.0	4.0	0.0011576221360679	4.0	1.0	3.0	-0.8302041855592661	0.6928471248246845	0.8967964300385546	ENSMUSG00000043461;ENSMUSG00000022686;ENSMUSG00000021263;ENSMUSG00000075296;ENSMUSG00000030510	Sphingolipid metabolism	complementary	False	True	True	True	0.75	4	-0.1943057259062245	-0.1789788699221083	-0.1985733076614124	True	True	-0.2839137521263589	-0.1956367577039675	True	0.6890710866900777	True	True	True	True	True	triangulated	5
skin	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	-0.196829532122068	6	1	5	-0.2530908066551474	4	1	3	0.0030318449725601	6.0	2.0	4.0	0.0009613845109718	4.0	2.0	2.0	-1.7562997260362307	0.0011709601873536	0.0069692189393679	ENSMUSG00000039385;ENSMUSG00000069267;ENSMUSG00000062727;ENSMUSG00000094777;ENSMUSG00000094338;ENSMUSG00000069303;ENSMUSG00000069300;ENSMUSG00000069310;ENSMUSG00000095217;ENSMUSG00000069274;ENSMUSG00000101972;ENSMUSG00000061615;ENSMUSG00000069265;ENSMUSG00000074403;ENSMUSG00000069266;ENSMUSG00000069301;ENSMUSG00000101355;ENSMUSG00000081058;ENSMUSG00000064220;ENSMUSG00000069305;ENSMUSG00000064288;ENSMUSG00000069308;ENSMUSG00000071478;ENSMUSG00000049932;ENSMUSG00000094248;ENSMUSG00000061048;ENSMUSG00000063954	Cell-cell junction organization	aligned	False	True	False	True	0.75	4	-0.196829532122068	-0.1617548554955165	-0.0762576979297258	True	True	-0.253033264945627	-0.1729356760513842	True	0.6834503601277305	False	True	True	True	True	internally robust, incomplete conventional support	4
skin	R-MMU-190828_GAP_JUNCTION_TRAFFICKING	-0.4075693501595991	6	2	4	-0.5283236781276561	4	1	3	-0.0254869298950392	6.0	2.0	4.0	-0.0337648731050453	4.0	1.0	3.0	-1.7017215502022405	0.0075187969924812	0.0116325824577117	ENSMUSG00000046352;ENSMUSG00000040055;ENSMUSG00000062380;ENSMUSG00000050953;ENSMUSG00000001473;ENSMUSG00000058672;ENSMUSG00000043091;ENSMUSG00000045136;ENSMUSG00000046623;ENSMUSG00000042367;ENSMUSG00000033577	Gap-junction trafficking	complementary	True	True	True	True	0.75	4	-0.4075693501595991			False	True	-0.530747121737926	-0.4642899663317155	True	0.8747856508602491	True	True	True	False	True	method-supported, model-sensitive	4
skin	R-MMU-6805567_KERATINIZATION	-1.220864622405193	6	1	5	-1.483945117925971	4	1	3	-0.0670714641866072	6.0	1.0	5.0	-0.0812611876675641	4.0	0.0	4.0	-2.652310339745056	0.0	0.0	ENSMUSG00000057723;ENSMUSG00000035831;ENSMUSG00000035592;ENSMUSG00000051879;ENSMUSG00000067615;ENSMUSG00000047641;ENSMUSG00000067613;ENSMUSG00000048981;ENSMUSG00000017588;ENSMUSG00000116336;ENSMUSG00000048013;ENSMUSG00000043485;ENSMUSG00000091212;ENSMUSG00000063661;ENSMUSG00000067614;ENSMUSG00000075570;ENSMUSG00000056605;ENSMUSG00000059632;ENSMUSG00000055937;ENSMUSG00000056350;ENSMUSG00000069722;ENSMUSG00000052415;ENSMUSG00000047253;ENSMUSG00000001804;ENSMUSG00000064201;ENSMUSG00000020916;ENSMUSG00000046095;ENSMUSG00000054046;ENSMUSG00000069721;ENSMUSG00000041984;ENSMUSG00000023041;ENSMUSG00000020913;ENSMUSG00000005355;ENSMUSG00000064023;ENSMUSG00000053797	Keratinization	aligned	True	True	True	True	0.75	4	-1.220864622405193	-2.156122311388092	0.2536014879811711	True	False	-1.47374250689969	-1.264866939601364	True	0.8582686145507622	True	True	True	False	True	method-supported, model-sensitive	4
skin	R-MMU-156580_PHASE_II_CONJUGATION_OF_COMPOUNDS	-0.2548713580596757	6	1	5	-0.3038900606160286	4	0	4	-0.0070361612575086	6.0	2.0	4.0	-0.0093076665715672	4.0	1.0	3.0	-1.1815066106305003	0.261455525606469	0.38097261329913	ENSMUSG00000006345;ENSMUSG00000027313;ENSMUSG00000003271;ENSMUSG00000027597;ENSMUSG00000002797;ENSMUSG00000032350;ENSMUSG00000074183;ENSMUSG00000022562;ENSMUSG00000028124;ENSMUSG00000111709	Phase II detoxification	context_sensitive	True	True	True	True	1.0	4	-0.2548713580596757	0.1031965034173179	-0.5275699838715665	True	False	-0.3010765618494488	-0.2204490712017291	True	0.7322026990329562	True	True	True	False	True	method-supported, model-sensitive	4
soleus	R-MMU-73894_DNA_REPAIR	0.1401184675925924	3	3	0	0.1401184675925924	3	3	0	0.0149528292004243	3.0	3.0	0.0	0.0149528292004243	3.0	3.0	0.0	2.097216298085653	0.0	0.001382347698413	ENSMUSG00000010461;ENSMUSG00000037474;ENSMUSG00000094777;ENSMUSG00000062727;ENSMUSG00000069301;ENSMUSG00000069274;ENSMUSG00000063021;ENSMUSG00000061615;ENSMUSG00000040204;ENSMUSG00000071516;ENSMUSG00000075031;ENSMUSG00000042489;ENSMUSG00000027715;ENSMUSG00000017146;ENSMUSG00000094338;ENSMUSG00000069302;ENSMUSG00000071478;ENSMUSG00000056394;ENSMUSG00000069305;ENSMUSG00000069272;ENSMUSG00000095217	DNA repair	complementary	True	True	True	True	1.0	3	0.1401184675925924	0.2342777875925925	0.2209639696296295	True	True	0.1559553007608695	-0.0024176193635349	False	0.0155020018668165	True	True	True	True	False	method-supported, model-sensitive	4
soleus	R-MMU-1630316_GLYCOSAMINOGLYCAN_METABOLISM	-0.1173810345407407	3	0	3	-0.1173810345407407	3	0	3	-0.0028613862801477	3.0	1.0	2.0	-0.0028613862801477	3.0	1.0	2.0	-1.13504143931495	0.2983257229832572	0.7593934601441426	ENSMUSG00000041559;ENSMUSG00000019932;ENSMUSG00000117789;ENSMUSG00000041577;ENSMUSG00000031375;ENSMUSG00000021477;ENSMUSG00000022367;ENSMUSG00000017009;ENSMUSG00000031119;ENSMUSG00000021390;ENSMUSG00000052353;ENSMUSG00000055653;ENSMUSG00000019929;ENSMUSG00000036446;ENSMUSG00000030657;ENSMUSG00000041936;ENSMUSG00000025743;ENSMUSG00000021614;ENSMUSG00000038181;ENSMUSG00000051650	Glycosaminoglycan metabolism	complementary	False	True	True	True	1.0	3	-0.1173810345407407	-0.1358074133888889	-0.1192545646185185	True	True	-0.1339873702826087	-0.0220717261677962	True	0.1647299004469013	True	True	True	True	False	method-supported, model-sensitive	4
soleus	R-MMU-8978868_FATTY_ACID_METABOLISM	-0.198262297574074	3	2	1	-0.198262297574074	3	2	1	-0.0109939133525158	3.0	0.0	3.0	-0.0109939133525158	3.0	0.0	3.0	-1.343407679692496	0.0776978417266187	0.5085852458463923	ENSMUSG00000034853;ENSMUSG00000022040;ENSMUSG00000036880;ENSMUSG00000035686;ENSMUSG00000017969;ENSMUSG00000033715;ENSMUSG00000076435;ENSMUSG00000049537;ENSMUSG00000026385;ENSMUSG00000020532;ENSMUSG00000072949;ENSMUSG00000018796;ENSMUSG00000042010;ENSMUSG00000032315;ENSMUSG00000032883	Fatty-acid metabolism	context_sensitive	True	True	True	True	0.0	3	-0.198262297574074	-0.1705157967629629	-0.1101987319722222	True	True	-0.2490405462499999	0.0777290807111427	False	0.3121141592466404	True	True	False	True	False	sensitivity-dependent	3
soleus	R-MMU-1280215_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	-0.0789358253648148	3	0	3	-0.0789358253648148	3	0	3	0.0113525679175943	3.0	2.0	1.0	0.0113525679175943	3.0	2.0	1.0	1.2374834365661285	0.0582959641255605	0.3007507775156089	ENSMUSG00000034457;ENSMUSG00000024222;ENSMUSG00000101355;ENSMUSG00000099517;ENSMUSG00000023905;ENSMUSG00000021948;ENSMUSG00000069310;ENSMUSG00000028444;ENSMUSG00000001473;ENSMUSG00000043091;ENSMUSG00000024617;ENSMUSG00000069267;ENSMUSG00000003283;ENSMUSG00000024789;ENSMUSG00000053113;ENSMUSG00000066800;ENSMUSG00000022372;ENSMUSG00000052684;ENSMUSG00000021250;ENSMUSG00000034116;ENSMUSG00000090877;ENSMUSG00000091971;ENSMUSG00000041827;ENSMUSG00000019942;ENSMUSG00000020027;ENSMUSG00000034394;ENSMUSG00000074403;ENSMUSG00000018932;ENSMUSG00000042351;ENSMUSG00000004266;ENSMUSG00000039936	Cytokine signaling	context_sensitive	False	True	False	False	1.0	3	-0.0789358253648148	0.0980360255555555	0.0112772457407408	True	False	-0.0719731327760869	-0.0381113928657077	True	0.5295224953494063	False	False	True	False	True	sensitivity-dependent	2
soleus	R-MMU-390522_STRIATED_MUSCLE_CONTRACTION	0.0901879572222222	3	1	2	0.0901879572222222	3	1	2	0.000884092855357	3.0	2.0	1.0	0.000884092855357	3.0	2.0	1.0	1.0614476686804852	0.3620689655172414	0.4764091053371423	ENSMUSG00000006457;ENSMUSG00000038670;ENSMUSG00000061816;ENSMUSG00000028328;ENSMUSG00000032366	Striated-muscle contraction	context_sensitive	True	True	True	True	0.0	3	0.0901879572222222	-0.0331361516666669	-0.0146709929629631	True	False	0.1309371119565217	-0.2169376623275732	False	1.6568080591208425	True	True	False	False	False	sensitivity-dependent	2
