tissue	method	accession	term	effect	project
thymus	expimap	OSD-244	R-MMU-2029485_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	-0.03644246069473685	RR-6
thymus	expimap	OSD-244	R-MMU-204998_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	0.07713985246105264	RR-6
thymus	expimap	OSD-244	R-MMU-211859_BIOLOGICAL_OXIDATIONS	0.3617163815789475	RR-6
thymus	expimap	OSD-244	R-MMU-211945_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	-0.1120175675263157	RR-6
thymus	expimap	OSD-244	R-MMU-212300_PRC2_METHYLATES_HISTONES_AND_DNA	0.013987681199999998	RR-6
thymus	expimap	OSD-244	R-MMU-212436_GENERIC_TRANSCRIPTION_PATHWAY	-0.7018271947894734	RR-6
thymus	expimap	OSD-244	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	0.17934294963157893	RR-6
thymus	expimap	OSD-244	R-MMU-2142753_ARACHIDONATE_METABOLISM	0.025584235789473664	RR-6
thymus	expimap	OSD-244	R-MMU-216083_INTEGRIN_CELL_SURFACE_INTERACTIONS	0.05354737147368421	RR-6
thymus	expimap	OSD-244	R-MMU-2168880_SCAVENGING_OF_HEME_FROM_PLASMA	0.900972707368421	RR-6
thymus	expimap	OSD-244	R-MMU-2172127_DAP12_INTERACTIONS	-0.023147362105263247	RR-6
thymus	expimap	OSD-244	R-MMU-2173782_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	0.11189368052631588	RR-6
thymus	expimap	OSD-244	R-MMU-2173789_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	-0.006107711601578948	RR-6
thymus	expimap	OSD-244	R-MMU-2187338_VISUAL_PHOTOTRANSDUCTION	0.03868146358947369	RR-6
thymus	expimap	OSD-244	R-MMU-2262752_CELLULAR_RESPONSES_TO_STRESS	-0.7486874671578942	RR-6
thymus	expimap	OSD-244	R-MMU-2299718_CONDENSATION_OF_PROPHASE_CHROMOSOMES	-0.020945187858947365	RR-6
thymus	expimap	OSD-244	R-MMU-2454202_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	-0.27663881152631586	RR-6
thymus	expimap	OSD-244	R-MMU-2467813_SEPARATION_OF_SISTER_CHROMATIDS	0.01937306172721053	RR-6
thymus	expimap	OSD-244	R-MMU-2500257_RESOLUTION_OF_SISTER_CHROMATID_COHESION	0.025289161582105264	RR-6
thymus	expimap	OSD-244	R-MMU-2555396_MITOTIC_METAPHASE_AND_ANAPHASE	-0.10051084210526315	RR-6
thymus	expimap	OSD-244	R-MMU-2559583_CELLULAR_SENESCENCE	0.1401886832105263	RR-6
thymus	expimap	OSD-244	R-MMU-2559586_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	-0.4929623951578948	RR-6
thymus	expimap	OSD-244	R-MMU-2565942_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION	-0.0019790253315789476	RR-6
thymus	expimap	OSD-244	R-MMU-2672351_STIMULI_SENSING_CHANNELS	0.26170929731578957	RR-6
thymus	expimap	OSD-244	R-MMU-2980736_PEPTIDE_HORMONE_METABOLISM	0.2049360263157891	RR-6
thymus	expimap	OSD-244	R-MMU-2990846_SUMOYLATION	0.0590206779368421	RR-6
thymus	expimap	OSD-244	R-MMU-3000171_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.2452068500000002	RR-6
thymus	expimap	OSD-244	R-MMU-3108232_SUMO_E3_LIGASES_SUMOYLATE_TARGET_PROTEINS	-0.0036758913836842117	RR-6
thymus	expimap	OSD-244	R-MMU-3214842_HDMS_DEMETHYLATE_HISTONES	-0.0015034091354736844	RR-6
thymus	expimap	OSD-244	R-MMU-3214847_HATS_ACETYLATE_HISTONES	-0.0004612201210526315	RR-6
thymus	expimap	OSD-244	R-MMU-3214858_RMTS_METHYLATE_HISTONE_ARGININES	0.0015295469105842112	RR-6
thymus	expimap	OSD-244	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	-0.48642754105263164	RR-6
thymus	expimap	OSD-244	R-MMU-3700989_TRANSCRIPTIONAL_REGULATION_BY_TP53	0.0236505169	RR-6
thymus	expimap	OSD-244	R-MMU-372790_SIGNALING_BY_GPCR	0.2823775284210527	RR-6
thymus	expimap	OSD-244	R-MMU-373076_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	-0.2032620507894737	RR-6
thymus	expimap	OSD-244	R-MMU-375165_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	-0.01143145457105263	RR-6
thymus	expimap	OSD-244	R-MMU-375276_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.20792614387526315	RR-6
thymus	expimap	OSD-244	R-MMU-380108_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0.17896127000000006	RR-6
thymus	expimap	OSD-244	R-MMU-380320_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.00527721256894737	RR-6
thymus	expimap	OSD-244	R-MMU-381426_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.7112810710526318	RR-6
thymus	expimap	OSD-244	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	0.4106134631578944	RR-6
thymus	expimap	OSD-244	R-MMU-383280_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	-0.03073126562105264	RR-6
thymus	expimap	OSD-244	R-MMU-388396_GPCR_DOWNSTREAM_SIGNALLING	-0.5549620105263158	RR-6
thymus	expimap	OSD-244	R-MMU-388841_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY	-0.5868226170526315	RR-6
thymus	expimap	OSD-244	R-MMU-389948_CO_INHIBITION_BY_PD_1	0.07382358105263154	RR-6
thymus	expimap	OSD-244	R-MMU-392499_METABOLISM_OF_PROTEINS	-0.5377682263157899	RR-6
thymus	expimap	OSD-244	R-MMU-397014_MUSCLE_CONTRACTION	0.47419899673684196	RR-6
thymus	expimap	OSD-244	R-MMU-416476_G_ALPHA_Q_SIGNALLING_EVENTS	-0.13977929689473673	RR-6
thymus	expimap	OSD-244	R-MMU-416482_G_ALPHA_12_13_SIGNALLING_EVENTS	-0.05010656000000002	RR-6
thymus	expimap	OSD-244	R-MMU-418555_G_ALPHA_S_SIGNALLING_EVENTS	-0.06022606483684209	RR-6
thymus	expimap	OSD-244	R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS	0.2332231942105264	RR-6
thymus	expimap	OSD-244	R-MMU-418990_ADHERENS_JUNCTIONS_INTERACTIONS	0.012679230263157926	RR-6
thymus	expimap	OSD-244	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	0.06332919789473679	RR-6
thymus	expimap	OSD-244	R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	-0.11631473860526319	RR-6
thymus	expimap	OSD-244	R-MMU-422475_AXON_GUIDANCE	-0.140363725263158	RR-6
thymus	expimap	OSD-244	R-MMU-425407_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	0.3925688194736844	RR-6
thymus	expimap	OSD-244	R-MMU-4420097_VEGFA_VEGFR2_PATHWAY	0.034151367231578945	RR-6
thymus	expimap	OSD-244	R-MMU-446203_ASPARAGINE_N_LINKED_GLYCOSYLATION	0.37440391226315783	RR-6
thymus	expimap	OSD-244	R-MMU-446728_CELL_JUNCTION_ORGANIZATION	0.10307621947368417	RR-6
thymus	expimap	OSD-244	R-MMU-448424_INTERLEUKIN_17_SIGNALING	-0.0040805875515789475	RR-6
thymus	expimap	OSD-244	R-MMU-449147_SIGNALING_BY_INTERLEUKINS	0.47286062210526325	RR-6
thymus	expimap	OSD-244	R-MMU-450294_MAP_KINASE_ACTIVATION	0.005329145977368421	RR-6
thymus	expimap	OSD-244	R-MMU-451927_INTERLEUKIN_2_FAMILY_SIGNALING	-0.002106634785263158	RR-6
thymus	expimap	OSD-244	R-MMU-453274_MITOTIC_G2_G2_M_PHASES	0.09520480185789476	RR-6
thymus	expimap	OSD-244	R-MMU-453276_REGULATION_OF_MITOTIC_CELL_CYCLE	-0.007281451947368422	RR-6
thymus	expimap	OSD-244	R-MMU-453279_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	0.02486288648263158	RR-6
thymus	expimap	OSD-244	R-MMU-4839726_CHROMATIN_ORGANIZATION	-0.49234172578947377	RR-6
