tissue	method	accession	term	effect	project
thymus	expimap	OSD-421	R-MMU-983712_ION_CHANNEL_TRANSPORT	-0.04102121999999997	RR-9
thymus	expimap	OSD-421	R-MMU-9841922_MLL4_AND_MLL3_COMPLEXES_REGULATE_EXPRESSION_OF_PPARG_TARGET_GENES_IN_ADIPOGENESIS_AND_HEPATIC_STEATOSIS	0.07816010749999999	RR-9
thymus	expimap	OSD-421	R-MMU-9842860_REGULATION_OF_ENDOGENOUS_RETROELEMENTS	0.000797825890000001	RR-9
thymus	expimap	OSD-421	R-MMU-9843940_REGULATION_OF_ENDOGENOUS_RETROELEMENTS_BY_KRAB_ZFP_PROTEINS	0.0038997651170000003	RR-9
thymus	expimap	OSD-421	R-MMU-9851695_EPIGENETIC_REGULATION_OF_ADIPOGENESIS_GENES_BY_MLL3_AND_MLL4_COMPLEXES	-1.8770664774	RR-9
thymus	expimap	OSD-421	R-MMU-9855142_CELLULAR_RESPONSES_TO_MECHANICAL_STIMULI	-0.003858223109999998	RR-9
thymus	expimap	OSD-421	R-MMU-9860931_RESPONSE_OF_ENDOTHELIAL_CELLS_TO_SHEAR_STRESS	0.007288847509999998	RR-9
thymus	expimap	OSD-421	R-MMU-9909648_REGULATION_OF_PD_L1_CD274_EXPRESSION	-0.05742476839999999	RR-9
thymus	expimap	OSD-421	R-MMU-9909649_REGULATION_OF_PD_L1_CD274_TRANSCRIPTION	0.020999583399999987	RR-9
thymus	expimap	OSD-421	R-MMU-9917777_EPIGENETIC_REGULATION_BY_WDR5_CONTAINING_HISTONE_MODIFYING_COMPLEXES	-0.008978384495	RR-9
thymus	expimap	OSD-421	R-MMU-9932444_ATP_DEPENDENT_CHROMATIN_REMODELERS	0.4108193225	RR-9
thymus	expimap	OSD-421	R-MMU-9937848_CHD_CHROMATIN_REMODELERS	-0.002672538950000001	RR-9
thymus	expimap	OSD-421	R-MMU-9937850_NURD_COMPLEX_ASSEMBLY	-0.013658040370000001	RR-9
thymus	expimap	OSD-421	R-MMU-9940951_INTERACTION_OF_NURD_COMPLEXES_WITH_TRANSCRIPTION_FACTORS	-0.1023078976	RR-9
thymus	expimap	OSD-421	R-MMU-9943965_CHD3_CHD4_CHD5_SUBFAMILY	0.007618908859999999	RR-9
thymus	expimap	OSD-421	R-MMU-9958825_ACTIVATION_OF_STAT3_BY_CADHERIN_ENGAGEMENT	-0.05774839950700001	RR-9
thymus	expimap	OSD-421	R-MMU-9958863_SLC_MEDIATED_TRANSPORT_OF_AMINO_ACIDS	0.022196016999999957	RR-9
thymus	expimap	OSD-421	R-MMU-9975921_ASSEMBLY_OF_THE_9_0_PRIMARY_CILIUM	0.058900000000000174	RR-9
thymus	expimap	OSD-457	R-MMU-109581_APOPTOSIS	-0.23223389999999977	MHU-3
thymus	expimap	OSD-457	R-MMU-109582_HEMOSTASIS	0.29504564166666736	MHU-3
thymus	expimap	OSD-457	R-MMU-110330_RECOGNITION_AND_ASSOCIATION_OF_DNA_GLYCOSYLASE_WITH_SITE_CONTAINING_AN_AFFECTED_PURINE	0.01088659714166667	MHU-3
thymus	expimap	OSD-457	R-MMU-110331_CLEAVAGE_OF_THE_DAMAGED_PURINE	0.0005789827595833333	MHU-3
thymus	expimap	OSD-457	R-MMU-111885_OPIOID_SIGNALLING	-0.0033851383333333342	MHU-3
thymus	expimap	OSD-457	R-MMU-112314_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	-0.36092127541666674	MHU-3
thymus	expimap	OSD-457	R-MMU-112315_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	-0.008858924166666782	MHU-3
thymus	expimap	OSD-457	R-MMU-112316_NEURONAL_SYSTEM	0.24917988333333363	MHU-3
thymus	expimap	OSD-457	R-MMU-114608_PLATELET_DEGRANULATION	0.0004002874999999573	MHU-3
thymus	expimap	OSD-457	R-MMU-1169410_ANTIMICROBIAL_MECHANISM_OF_IFN_STIMULATED_GENES	0.34136561558333334	MHU-3
thymus	expimap	OSD-457	R-MMU-1236975_ANTIGEN_PROCESSING_CROSS_PRESENTATION	-0.014624113499999997	MHU-3
thymus	expimap	OSD-457	R-MMU-1257604_PIP3_ACTIVATES_AKT_SIGNALING	-0.11617463500000014	MHU-3
thymus	expimap	OSD-457	R-MMU-1266738_DEVELOPMENTAL_BIOLOGY	0.2269098500000002	MHU-3
thymus	expimap	OSD-457	R-MMU-1280215_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	0.29429240833333337	MHU-3
thymus	expimap	OSD-457	R-MMU-1280218_ADAPTIVE_IMMUNE_SYSTEM	-0.190316141666667	MHU-3
thymus	expimap	OSD-457	R-MMU-1296071_POTASSIUM_CHANNELS	-0.25279258288333334	MHU-3
thymus	expimap	OSD-457	R-MMU-141424_AMPLIFICATION_OF_SIGNAL_FROM_THE_KINETOCHORES	0.0034492277500000022	MHU-3
thymus	expimap	OSD-457	R-MMU-141444_AMPLIFICATION_OF_SIGNAL_FROM_UNATTACHED_KINETOCHORES_VIA_A_MAD2_INHIBITORY_SIGNAL	-0.0015868429999999992	MHU-3
thymus	expimap	OSD-457	R-MMU-1428517_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	0.06935410495833334	MHU-3
thymus	expimap	OSD-457	R-MMU-1430728_METABOLISM	0.4506691583333322	MHU-3
thymus	expimap	OSD-457	R-MMU-1433557_SIGNALING_BY_SCF_KIT	-0.010625021833333345	MHU-3
thymus	expimap	OSD-457	R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	-0.17593604166666665	MHU-3
thymus	expimap	OSD-457	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	0.3009235000000001	MHU-3
thymus	expimap	OSD-457	R-MMU-1474290_COLLAGEN_FORMATION	-0.22351734999999984	MHU-3
thymus	expimap	OSD-457	R-MMU-1483257_PHOSPHOLIPID_METABOLISM	0.02201888416666664	MHU-3
thymus	expimap	OSD-457	R-MMU-1500931_CELL_CELL_COMMUNICATION	-0.13481699583333318	MHU-3
thymus	expimap	OSD-457	R-MMU-1566948_ELASTIC_FIBRE_FORMATION	-0.15801708000000003	MHU-3
thymus	expimap	OSD-457	R-MMU-157118_SIGNALING_BY_NOTCH	0.10578051205	MHU-3
thymus	expimap	OSD-457	R-MMU-157579_TELOMERE_MAINTENANCE	-0.2747192333333333	MHU-3
thymus	expimap	OSD-457	R-MMU-157858_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	-0.0011477613270833337	MHU-3
thymus	expimap	OSD-457	R-MMU-15869_METABOLISM_OF_NUCLEOTIDES	-0.5809345139166666	MHU-3
thymus	expimap	OSD-457	R-MMU-162582_SIGNAL_TRANSDUCTION	0.37458920833333353	MHU-3
thymus	expimap	OSD-457	R-MMU-1630316_GLYCOSAMINOGLYCAN_METABOLISM	-0.2014160249999999	MHU-3
thymus	expimap	OSD-457	R-MMU-163125_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	0.18322088666666658	MHU-3
thymus	expimap	OSD-457	R-MMU-1640170_CELL_CYCLE	-0.3003341558333331	MHU-3
thymus	expimap	OSD-457	R-MMU-166016_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE	0.001698105916666668	MHU-3
thymus	expimap	OSD-457	R-MMU-166058_MYD88_MAL_TIRAP_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	-0.002886921283333334	MHU-3
thymus	expimap	OSD-457	R-MMU-166166_MYD88_INDEPENDENT_TLR4_CASCADE	0.30077187933333344	MHU-3
thymus	expimap	OSD-457	R-MMU-166520_SIGNALING_BY_NTRKS	-0.0055774084775	MHU-3
thymus	expimap	OSD-457	R-MMU-166658_COMPLEMENT_CASCADE	0.005149456616666659	MHU-3
thymus	expimap	OSD-457	R-MMU-168138_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE	0.25400669381666663	MHU-3
thymus	expimap	OSD-457	R-MMU-168142_TOLL_LIKE_RECEPTOR_10_TLR10_CASCADE	-0.010544117082499999	MHU-3
thymus	expimap	OSD-457	R-MMU-168164_TOLL_LIKE_RECEPTOR_3_TLR3_CASCADE	0.003949538416666665	MHU-3
thymus	expimap	OSD-457	R-MMU-168176_TOLL_LIKE_RECEPTOR_5_TLR5_CASCADE	-0.002558757974999999	MHU-3
thymus	expimap	OSD-457	R-MMU-168179_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE	0.006048545670833335	MHU-3
thymus	expimap	OSD-457	R-MMU-168181_TOLL_LIKE_RECEPTOR_7_8_TLR7_8_CASCADE	0.021874950383333334	MHU-3
thymus	expimap	OSD-457	R-MMU-168188_TOLL_LIKE_RECEPTOR_TLR6_TLR2_CASCADE	-0.003653844083333333	MHU-3
thymus	expimap	OSD-457	R-MMU-168249_INNATE_IMMUNE_SYSTEM	0.06775912083333335	MHU-3
thymus	expimap	OSD-457	R-MMU-168256_IMMUNE_SYSTEM	0.3414457500000001	MHU-3
thymus	expimap	OSD-457	R-MMU-168643_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	0.01245951019750001	MHU-3
thymus	expimap	OSD-457	R-MMU-168898_TOLL_LIKE_RECEPTOR_CASCADES	0.09775550083333334	MHU-3
thymus	expimap	OSD-457	R-MMU-170834_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	0.29404638678333334	MHU-3
thymus	expimap	OSD-457	R-MMU-174824_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE	0.08201100758333332	MHU-3
thymus	expimap	OSD-457	R-MMU-177929_SIGNALING_BY_EGFR	-0.0547084346	MHU-3
thymus	expimap	OSD-457	R-MMU-181438_TOLL_LIKE_RECEPTOR_2_TLR2_CASCADE	0.011495537266666666	MHU-3
thymus	expimap	OSD-457	R-MMU-193648_NRAGE_SIGNALS_DEATH_THROUGH_JNK	0.009095172158333335	MHU-3
thymus	expimap	OSD-457	R-MMU-193704_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING	0.025602896625000003	MHU-3
thymus	expimap	OSD-457	R-MMU-194138_SIGNALING_BY_VEGF	-0.012339332750000008	MHU-3
thymus	expimap	OSD-457	R-MMU-194315_SIGNALING_BY_RHO_GTPASES	-0.03666408333333315	MHU-3
thymus	expimap	OSD-457	R-MMU-195258_RHO_GTPASE_EFFECTORS	-0.14794833975833332	MHU-3
thymus	expimap	OSD-457	R-MMU-195721_SIGNALING_BY_WNT	-0.10191913833333333	MHU-3
thymus	expimap	OSD-457	R-MMU-196849_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	-0.16986809616666673	MHU-3
thymus	expimap	OSD-457	R-MMU-196854_METABOLISM_OF_VITAMINS_AND_COFACTORS	-0.17406709166666667	MHU-3
thymus	expimap	OSD-457	R-MMU-198933_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	-0.2910010500000002	MHU-3
thymus	expimap	OSD-457	R-MMU-199418_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	-0.020025289061666667	MHU-3
thymus	expimap	OSD-457	R-MMU-199977_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT	0.0008562948666666673	MHU-3
thymus	expimap	OSD-457	R-MMU-199991_MEMBRANE_TRAFFICKING	-0.17102341666666687	MHU-3
thymus	expimap	OSD-457	R-MMU-201681_TCF_DEPENDENT_SIGNALING_IN_RESPONSE_TO_WNT	-0.27620554141666664	MHU-3
thymus	expimap	OSD-457	R-MMU-2022090_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	-0.08406808333333338	MHU-3
thymus	expimap	OSD-457	R-MMU-202403_TCR_SIGNALING	-0.2067610666666666	MHU-3
thymus	expimap	OSD-457	R-MMU-202427_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	-0.11762602583333331	MHU-3
thymus	expimap	OSD-457	R-MMU-202733_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	0.017251640275000008	MHU-3
thymus	expimap	OSD-457	R-MMU-2029485_ROLE_OF_PHOSPHOLIPIDS_IN_PHAGOCYTOSIS	-0.04281126938833332	MHU-3
thymus	expimap	OSD-457	R-MMU-204998_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	0.01828569800000001	MHU-3
thymus	expimap	OSD-457	R-MMU-211859_BIOLOGICAL_OXIDATIONS	0.0938510566666666	MHU-3
thymus	expimap	OSD-457	R-MMU-211945_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS	-0.03537292666666658	MHU-3
thymus	expimap	OSD-457	R-MMU-212300_PRC2_METHYLATES_HISTONES_AND_DNA	0.013163197372499994	MHU-3
thymus	expimap	OSD-457	R-MMU-212436_GENERIC_TRANSCRIPTION_PATHWAY	-0.4140427999999998	MHU-3
thymus	expimap	OSD-457	R-MMU-2132295_MHC_CLASS_II_ANTIGEN_PRESENTATION	0.3233014525833333	MHU-3
thymus	expimap	OSD-457	R-MMU-2142753_ARACHIDONATE_METABOLISM	0.047548258333333426	MHU-3
thymus	expimap	OSD-457	R-MMU-216083_INTEGRIN_CELL_SURFACE_INTERACTIONS	0.25292083691666667	MHU-3
thymus	expimap	OSD-457	R-MMU-2168880_SCAVENGING_OF_HEME_FROM_PLASMA	0.06287568166666668	MHU-3
thymus	expimap	OSD-457	R-MMU-2172127_DAP12_INTERACTIONS	0.19874393083333336	MHU-3
thymus	expimap	OSD-457	R-MMU-2173782_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS	0.10778841583333326	MHU-3
thymus	expimap	OSD-457	R-MMU-2173789_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	0.003256661258000001	MHU-3
thymus	expimap	OSD-457	R-MMU-2187338_VISUAL_PHOTOTRANSDUCTION	-0.013019561666666624	MHU-3
thymus	expimap	OSD-457	R-MMU-2262752_CELLULAR_RESPONSES_TO_STRESS	-0.28474939166666635	MHU-3
thymus	expimap	OSD-457	R-MMU-2299718_CONDENSATION_OF_PROPHASE_CHROMOSOMES	0.014539151083333327	MHU-3
thymus	expimap	OSD-457	R-MMU-2454202_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	0.01352000416666671	MHU-3
thymus	expimap	OSD-457	R-MMU-2467813_SEPARATION_OF_SISTER_CHROMATIDS	0.0062857013233333335	MHU-3
thymus	expimap	OSD-457	R-MMU-2500257_RESOLUTION_OF_SISTER_CHROMATID_COHESION	0.01046588615	MHU-3
thymus	expimap	OSD-457	R-MMU-2555396_MITOTIC_METAPHASE_AND_ANAPHASE	-0.07333136583333333	MHU-3
thymus	expimap	OSD-457	R-MMU-2559583_CELLULAR_SENESCENCE	0.06040372999999999	MHU-3
thymus	expimap	OSD-457	R-MMU-2559586_DNA_DAMAGE_TELOMERE_STRESS_INDUCED_SENESCENCE	-0.5459332333333329	MHU-3
thymus	expimap	OSD-457	R-MMU-2565942_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION	0.0017880915633333334	MHU-3
thymus	expimap	OSD-457	R-MMU-2672351_STIMULI_SENSING_CHANNELS	0.17682126833333334	MHU-3
thymus	expimap	OSD-457	R-MMU-2980736_PEPTIDE_HORMONE_METABOLISM	0.19230892749999984	MHU-3
thymus	expimap	OSD-457	R-MMU-2990846_SUMOYLATION	0.022670412448083335	MHU-3
thymus	expimap	OSD-457	R-MMU-3000171_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS	0.11583661666666689	MHU-3
thymus	expimap	OSD-457	R-MMU-3108232_SUMO_E3_LIGASES_SUMOYLATE_TARGET_PROTEINS	-0.005225436376166666	MHU-3
thymus	expimap	OSD-457	R-MMU-3214842_HDMS_DEMETHYLATE_HISTONES	0.0006364776416666663	MHU-3
thymus	expimap	OSD-457	R-MMU-3214847_HATS_ACETYLATE_HISTONES	0.0046251926666666665	MHU-3
thymus	expimap	OSD-457	R-MMU-3214858_RMTS_METHYLATE_HISTONE_ARGININES	-0.004088088875833333	MHU-3
thymus	expimap	OSD-457	R-MMU-3247509_CHROMATIN_MODIFYING_ENZYMES	-0.5837901666666667	MHU-3
thymus	expimap	OSD-457	R-MMU-3700989_TRANSCRIPTIONAL_REGULATION_BY_TP53	0.007394841166666666	MHU-3
thymus	expimap	OSD-457	R-MMU-372790_SIGNALING_BY_GPCR	0.36091613833333347	MHU-3
thymus	expimap	OSD-457	R-MMU-373076_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	0.23602424409500003	MHU-3
thymus	expimap	OSD-457	R-MMU-375165_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH	0.00032372059083333343	MHU-3
thymus	expimap	OSD-457	R-MMU-375276_PEPTIDE_LIGAND_BINDING_RECEPTORS	-0.04618303916666677	MHU-3
thymus	expimap	OSD-457	R-MMU-380108_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	-0.09630380000000005	MHU-3
thymus	expimap	OSD-457	R-MMU-380320_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES	0.007953730406666666	MHU-3
thymus	expimap	OSD-457	R-MMU-381426_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.14807693833333335	MHU-3
thymus	expimap	OSD-457	R-MMU-382551_TRANSPORT_OF_SMALL_MOLECULES	0.28853593333333283	MHU-3
thymus	expimap	OSD-457	R-MMU-383280_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY	0.12938141458333335	MHU-3
thymus	expimap	OSD-457	R-MMU-388396_GPCR_DOWNSTREAM_SIGNALLING	-0.18522819166666693	MHU-3
thymus	expimap	OSD-457	R-MMU-388841_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY	0.010382363333333311	MHU-3
thymus	expimap	OSD-457	R-MMU-389948_CO_INHIBITION_BY_PD_1	0.1332939033333333	MHU-3
thymus	expimap	OSD-457	R-MMU-392499_METABOLISM_OF_PROTEINS	-0.28456119999999885	MHU-3
thymus	expimap	OSD-457	R-MMU-397014_MUSCLE_CONTRACTION	0.3483388833333336	MHU-3
thymus	expimap	OSD-457	R-MMU-416476_G_ALPHA_Q_SIGNALLING_EVENTS	0.009623934999999917	MHU-3
thymus	expimap	OSD-457	R-MMU-416482_G_ALPHA_12_13_SIGNALLING_EVENTS	0.006046775773333339	MHU-3
thymus	expimap	OSD-457	R-MMU-418555_G_ALPHA_S_SIGNALLING_EVENTS	0.0124451741666666	MHU-3
thymus	expimap	OSD-457	R-MMU-418594_G_ALPHA_I_SIGNALLING_EVENTS	0.07411237268333334	MHU-3
thymus	expimap	OSD-457	R-MMU-418990_ADHERENS_JUNCTIONS_INTERACTIONS	0.06638786916666672	MHU-3
thymus	expimap	OSD-457	R-MMU-421270_CELL_CELL_JUNCTION_ORGANIZATION	0.30214996166666674	MHU-3
thymus	expimap	OSD-457	R-MMU-422356_REGULATION_OF_INSULIN_SECRETION	-0.2410519783333334	MHU-3
thymus	expimap	OSD-457	R-MMU-422475_AXON_GUIDANCE	-0.17807786000000003	MHU-3
thymus	expimap	OSD-457	R-MMU-425407_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	0.34460934333333326	MHU-3
thymus	expimap	OSD-457	R-MMU-4420097_VEGFA_VEGFR2_PATHWAY	0.01010794508333333	MHU-3
thymus	expimap	OSD-457	R-MMU-446203_ASPARAGINE_N_LINKED_GLYCOSYLATION	0.2050706041666669	MHU-3
thymus	expimap	OSD-457	R-MMU-446728_CELL_JUNCTION_ORGANIZATION	0.03233930833333343	MHU-3
thymus	expimap	OSD-457	R-MMU-448424_INTERLEUKIN_17_SIGNALING	-0.006292397430833333	MHU-3
thymus	expimap	OSD-457	R-MMU-449147_SIGNALING_BY_INTERLEUKINS	0.12018329083333334	MHU-3
thymus	expimap	OSD-457	R-MMU-450294_MAP_KINASE_ACTIVATION	0.0005170658833333341	MHU-3
thymus	expimap	OSD-457	R-MMU-451927_INTERLEUKIN_2_FAMILY_SIGNALING	0.0032401317545833336	MHU-3
thymus	expimap	OSD-457	R-MMU-453274_MITOTIC_G2_G2_M_PHASES	0.025306507833333325	MHU-3
thymus	expimap	OSD-457	R-MMU-453276_REGULATION_OF_MITOTIC_CELL_CYCLE	0.008927065860833333	MHU-3
thymus	expimap	OSD-457	R-MMU-453279_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	0.008667141183333334	MHU-3
thymus	expimap	OSD-457	R-MMU-4839726_CHROMATIN_ORGANIZATION	-0.196887108333333	MHU-3
thymus	expimap	OSD-457	R-MMU-500792_GPCR_LIGAND_BINDING	0.05532355833333358	MHU-3
thymus	expimap	OSD-457	R-MMU-512988_INTERLEUKIN_3_INTERLEUKIN_5_AND_GM_CSF_SIGNALING	-0.0024383242000000005	MHU-3
thymus	expimap	OSD-457	R-MMU-5173105_O_LINKED_GLYCOSYLATION	0.02779609458333332	MHU-3
thymus	expimap	OSD-457	R-MMU-5357801_PROGRAMMED_CELL_DEATH	-0.24348762666666635	MHU-3
thymus	expimap	OSD-457	R-MMU-5358351_SIGNALING_BY_HEDGEHOG	-0.022186828333333325	MHU-3
thymus	expimap	OSD-457	R-MMU-556833_METABOLISM_OF_LIPIDS	0.0337746000000001	MHU-3
thymus	expimap	OSD-457	R-MMU-5610787_HEDGEHOG_OFF_STATE	-1.8844399999999768e-05	MHU-3
thymus	expimap	OSD-457	R-MMU-5617833_CILIUM_ASSEMBLY	-0.28337588833333327	MHU-3
thymus	expimap	OSD-457	R-MMU-5621481_C_TYPE_LECTIN_RECEPTORS_CLRS	0.009951121416666708	MHU-3
thymus	expimap	OSD-457	R-MMU-5653656_VESICLE_MEDIATED_TRANSPORT	0.030292482499999995	MHU-3
thymus	expimap	OSD-457	R-MMU-5663220_RHO_GTPASES_ACTIVATE_FORMINS	0.001905573475000001	MHU-3
thymus	expimap	OSD-457	R-MMU-5668541_TNFR2_NON_CANONICAL_NF_KB_PATHWAY	-0.13366503750000014	MHU-3
thymus	expimap	OSD-457	R-MMU-5673001_RAF_MAP_KINASE_CASCADE	-0.26812545	MHU-3
thymus	expimap	OSD-457	R-MMU-5683057_MAPK_FAMILY_SIGNALING_CASCADES	-0.11850539666666668	MHU-3
thymus	expimap	OSD-457	R-MMU-5684996_MAPK1_MAPK3_SIGNALING	0.24682257583333334	MHU-3
thymus	expimap	OSD-457	R-MMU-5685942_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR	-0.011340632769166668	MHU-3
thymus	expimap	OSD-457	R-MMU-5688426_DEUBIQUITINATION	-0.23846257833333334	MHU-3
thymus	expimap	OSD-457	R-MMU-5689880_UB_SPECIFIC_PROCESSING_PROTEASES	0.005743650133333334	MHU-3
thymus	expimap	OSD-457	R-MMU-5689901_METALLOPROTEASE_DUBS	0.0009000750416666668	MHU-3
thymus	expimap	OSD-457	R-MMU-5693532_DNA_DOUBLE_STRAND_BREAK_REPAIR	0.00737625725	MHU-3
thymus	expimap	OSD-457	R-MMU-5693538_HOMOLOGY_DIRECTED_REPAIR	0.015833358083333332	MHU-3
thymus	expimap	OSD-457	R-MMU-5693565_RECRUITMENT_AND_ATM_MEDIATED_PHOSPHORYLATION_OF_REPAIR_AND_SIGNALING_PROTEINS_AT_DNA_DOUBLE_STRAND_BREAKS	0.0024849049374999995	MHU-3
thymus	expimap	OSD-457	R-MMU-5693567_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR_OR_SINGLE_STRAND_ANNEALING_SSA	-0.004010186456666665	MHU-3
thymus	expimap	OSD-457	R-MMU-5693571_NONHOMOLOGOUS_END_JOINING_NHEJ	0.005648880708333328	MHU-3
thymus	expimap	OSD-457	R-MMU-5693606_DNA_DOUBLE_STRAND_BREAK_RESPONSE	0.03998669333333333	MHU-3
thymus	expimap	OSD-457	R-MMU-5693607_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS	0.00898562525	MHU-3
thymus	expimap	OSD-457	R-MMU-597592_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.34335555524999994	MHU-3
thymus	expimap	OSD-457	R-MMU-606279_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	0.014938657750000004	MHU-3
thymus	expimap	OSD-457	R-MMU-6791226_MAJOR_PATHWAY_OF_RRNA_PROCESSING_IN_THE_NUCLEOLUS_AND_CYTOSOL	-0.291431095	MHU-3
thymus	expimap	OSD-457	R-MMU-6798695_NEUTROPHIL_DEGRANULATION	0.28712079999999984	MHU-3
thymus	expimap	OSD-457	R-MMU-6803157_ANTIMICROBIAL_PEPTIDES	0.07373091666666687	MHU-3
thymus	expimap	OSD-457	R-MMU-6805567_KERATINIZATION	0.2482608291666667	MHU-3
thymus	expimap	OSD-457	R-MMU-6809371_FORMATION_OF_THE_CORNIFIED_ENVELOPE	0.16426378333333336	MHU-3
thymus	expimap	OSD-457	R-MMU-6811434_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC	-0.4619663504166666	MHU-3
thymus	expimap	OSD-457	R-MMU-6811442_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	-0.0007078853333333315	MHU-3
thymus	expimap	OSD-457	R-MMU-68875_MITOTIC_PROPHASE	-0.002717793116666668	MHU-3
thymus	expimap	OSD-457	R-MMU-68877_MITOTIC_PROMETAPHASE	-0.006489602083333334	MHU-3
thymus	expimap	OSD-457	R-MMU-68882_MITOTIC_ANAPHASE	0.007943227333333334	MHU-3
thymus	expimap	OSD-457	R-MMU-68886_M_PHASE	0.047076451666666574	MHU-3
thymus	expimap	OSD-457	R-MMU-69002_DNA_REPLICATION_PRE_INITIATION	-0.001770974808333333	MHU-3
thymus	expimap	OSD-457	R-MMU-69052_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE	0.004317248166666669	MHU-3
thymus	expimap	OSD-457	R-MMU-69206_G1_S_TRANSITION	-0.0014076822166666694	MHU-3
thymus	expimap	OSD-457	R-MMU-69236_G1_PHASE	-0.004851003470833334	MHU-3
thymus	expimap	OSD-457	R-MMU-69239_SYNTHESIS_OF_DNA	-0.0018326326458333333	MHU-3
thymus	expimap	OSD-457	R-MMU-69242_S_PHASE	0.004877346416666657	MHU-3
thymus	expimap	OSD-457	R-MMU-69275_G2_M_TRANSITION	-0.009025925541666667	MHU-3
thymus	expimap	OSD-457	R-MMU-69278_CELL_CYCLE_MITOTIC	-0.7433297166666664	MHU-3
thymus	expimap	OSD-457	R-MMU-69306_DNA_REPLICATION	0.002370379399999998	MHU-3
thymus	expimap	OSD-457	R-MMU-69473_G2_M_DNA_DAMAGE_CHECKPOINT	-0.0054505107833333335	MHU-3
thymus	expimap	OSD-457	R-MMU-69481_G2_M_CHECKPOINTS	0.00012477665583333474	MHU-3
thymus	expimap	OSD-457	R-MMU-69618_MITOTIC_SPINDLE_CHECKPOINT	-0.003660902996666666	MHU-3
thymus	expimap	OSD-457	R-MMU-69620_CELL_CYCLE_CHECKPOINTS	-0.01593603458333334	MHU-3
thymus	expimap	OSD-457	R-MMU-71291_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.14482121416666666	MHU-3
thymus	expimap	OSD-457	R-MMU-71387_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES	-0.018939770833333314	MHU-3
