tissue	term	within_accession_unadjusted_effect	composition_proxy_adjusted_effect	adjusted_direction_matches_unadjusted	absolute_effect_ratio_adjusted_to_unadjusted	absolute_attenuation_fraction	short_label	evidence_role	family_representative	curated_pathway
thymus	R-MMU-1280218_ADAPTIVE_IMMUNE_SYSTEM	-0.337620246953405	-0.1151344257130376	True	0.3410175389419916	0.6589824610580084			False	False
thymus	R-MMU-1296071_POTASSIUM_CHANNELS	-0.34999627943369177	-0.13139471213952814	True	0.3754174540144545	0.6245825459855455			False	False
thymus	R-MMU-141424_AMPLIFICATION_OF_SIGNAL_FROM_THE_KINETOCHORES	0.010704429751899641	0.009630832383315295	True	0.8997053188756905	0.1002946811243095			False	False
thymus	R-MMU-141444_AMPLIFICATION_OF_SIGNAL_FROM_UNATTACHED_KINETOCHORES_VIA_A_MAD2_INHIBITORY_SIGNAL	-0.0035294317888888887	-0.0029464698958678866	True	0.8348284007481764	0.16517159925182356			False	False
thymus	R-MMU-1428517_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT	0.6289751812670251	0.3931353436189676	True	0.6250411070704329	0.3749588929295671			True	False
thymus	R-MMU-1430728_METABOLISM	0.5971489838709676	0.3696818242970588	True	0.6190780429711658	0.38092195702883425			False	False
thymus	R-MMU-1433557_SIGNALING_BY_SCF_KIT	-0.03536074551792114	-0.0029426658450991744	True	0.08321843337855546	0.9167815666214445			False	False
thymus	R-MMU-1474228_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	-0.2012288448028674	0.0072231039872656085	False	0.03589497318012076	0.9641050268198792			False	False
thymus	R-MMU-1474244_EXTRACELLULAR_MATRIX_ORGANIZATION	0.46945978265232974	0.06540754952627344	True	0.13932513911359398	0.860674860886406	Extracellular matrix organization	complementary	True	True
thymus	R-MMU-1474290_COLLAGEN_FORMATION	-0.16699269193548386	-0.16668021207707737	True	0.9981287812371621	0.0018712187628379118			False	False
thymus	R-MMU-1483257_PHOSPHOLIPID_METABOLISM	0.06860666455197131	-0.032048614178043215	False	0.4671355820507141	0.5328644179492859			False	False
thymus	R-MMU-1500931_CELL_CELL_COMMUNICATION	-0.18479715082437273	-0.0972948747958573	True	0.526495535033028	0.47350446496697196			False	False
thymus	R-MMU-1566948_ELASTIC_FIBRE_FORMATION	0.0028659202526881864	-0.14623837773934756	False	51.0266737541557	-50.0266737541557			False	False
thymus	R-MMU-157118_SIGNALING_BY_NOTCH	-0.08680493776903225	0.0088780147035563	False	0.10227545726924696	0.8977245427307531			False	False
thymus	R-MMU-157579_TELOMERE_MAINTENANCE	-0.5307764929964157	-0.36369048368967394	True	0.685204579495441	0.314795420504559			False	False
thymus	R-MMU-157858_GAP_JUNCTION_TRAFFICKING_AND_REGULATION	-0.00346023880188172	-0.006236210022684039	True	1.8022484515498505	-0.8022484515498505			False	False
thymus	R-MMU-15869_METABOLISM_OF_NUCLEOTIDES	-1.0299124269211468	-0.5830251628166778	True	0.5660919778971809	0.4339080221028191			False	False
thymus	R-MMU-162582_SIGNAL_TRANSDUCTION	0.4701523964157705	0.09411761027913601	True	0.20018532500662797	0.799814674993372			True	False
thymus	R-MMU-1630316_GLYCOSAMINOGLYCAN_METABOLISM	-0.2800614716129032	-0.2731690145826416	True	0.9753894850635212	0.02461051493647881			False	False
