series_id	osdr_accessions	exclusion_reason
GSE131954	OSD-255	OSDR-linked GEO series excluded from ARCHS4 pretraining
GSE152382	OSD-457	OSDR-linked GEO series excluded from ARCHS4 pretraining
GSE159771	OSD-397	OSDR-linked GEO series excluded from ARCHS4 pretraining
GSE165565	OSD-426	OSDR-linked GEO series excluded from ARCHS4 pretraining
GSE178822	OSD-401	OSDR-linked GEO series excluded from ARCHS4 pretraining
GSE223803	OSD-599	OSDR-linked GEO series excluded from ARCHS4 pretraining
GSE240654	OSD-690	OSDR-linked GEO series excluded from ARCHS4 pretraining
GSE240751	OSD-686	OSDR-linked GEO series excluded from ARCHS4 pretraining
GSE280403	OSD-901	OSDR-linked GEO series excluded from ARCHS4 pretraining
