gene_id	x	y	consensus
ENSMUSG00000020919	-72.77287	13.871395	4
ENSMUSG00000036214	-3.626908	43.194565	1
ENSMUSG00000097368	-21.784925	-50.34209	0
ENSMUSG00000039230	-27.87036	82.73163	2
ENSMUSG00000035713	18.822088	-23.198477	0
ENSMUSG00000059995	-3.0511901	30.985266	1
ENSMUSG00000033831	-54.912266	-82.99813	10
ENSMUSG00000029730	7.5222206	45.63161	1
ENSMUSG00000019841	-70.652885	33.765396	3
ENSMUSG00000040543	-2.9817781	-12.300991	8
ENSMUSG00000091537	-51.546406	9.072183	4
ENSMUSG00000027550	61.44735	61.03943	1
ENSMUSG00000028607	-61.88861	-17.540998	5
ENSMUSG00000039210	1.4109305	58.6082	2
ENSMUSG00000032231	-20.432487	4.2973347	2
ENSMUSG00000028165	-56.24068	51.37378	3
ENSMUSG00000075273	34.271584	37.73037	1
ENSMUSG00000002496	-83.97908	29.473852	3
ENSMUSG00000055692	-6.9210477	-57.58116	0
ENSMUSG00000030983	-58.30669	-5.4015326	7
ENSMUSG00000078640	22.49911	-74.296036	0
ENSMUSG00000046675	70.20292	39.688168	1
ENSMUSG00000051811	-21.912104	-74.58871	0
ENSMUSG00000028651	9.634323	21.981415	1
ENSMUSG00000024425	-51.396385	-33.960148	9
ENSMUSG00000046613	68.295815	-57.25418	0
ENSMUSG00000070501	-15.680098	-40.238323	0
ENSMUSG00000091996	-19.148312	-75.04635	0
ENSMUSG00000042216	78.41452	9.534934	1
ENSMUSG00000079407	75.74518	-69.02599	0
ENSMUSG00000021823	-68.67267	35.441357	3
ENSMUSG00000033808	-0.71959245	22.797855	1
ENSMUSG00000051098	48.87864	68.621414	1
ENSMUSG00000056870	33.443756	-7.9920325	0
ENSMUSG00000030093	81.98852	-48.49067	0
ENSMUSG00000000194	-30.825764	62.836132	2
ENSMUSG00000043207	-83.27225	13.261458	4
ENSMUSG00000005667	16.826435	-34.973778	0
ENSMUSG00000073830	94.54807	22.267443	1
ENSMUSG00000039703	-74.878845	-0.71517944	4
ENSMUSG00000031068	-53.320915	-5.9459825	7
ENSMUSG00000051154	-52.93712	5.227235	4
ENSMUSG00000025487	-60.58591	44.05468	3
ENSMUSG00000005354	-57.035976	-28.061083	5
ENSMUSG00000025892	-0.84752554	-30.875658	0
ENSMUSG00000074071	-16.318687	66.214966	2
ENSMUSG00000057182	2.1542172	-30.149105	0
ENSMUSG00000020390	-52.92966	-2.9841437	4
ENSMUSG00000031283	32.270454	-6.5419974	1
ENSMUSG00000038429	-72.4551	16.47414	4
ENSMUSG00000034810	23.28664	10.401278	1
ENSMUSG00000018733	12.971653	41.57698	1
ENSMUSG00000022037	-59.629944	-77.08204	10
ENSMUSG00000085260	19.377743	-71.91773	0
ENSMUSG00000029610	32.053196	28.430065	1
ENSMUSG00000042185	3.4200845	27.168753	1
ENSMUSG00000006021	23.406801	34.270668	1
ENSMUSG00000046408	68.31756	-66.94112	0
ENSMUSG00000020599	10.935379	-35.753582	0
ENSMUSG00000030775	-14.449609	-78.87161	0
ENSMUSG00000015149	-63.647007	59.046074	3
ENSMUSG00000046434	-69.363396	27.632523	3
ENSMUSG00000031377	-12.230471	-24.697987	0
ENSMUSG00000031774	-10.289605	86.34656	2
ENSMUSG00000050627	-75.178734	33.870506	3
ENSMUSG00000031878	-41.3953	62.608425	2
ENSMUSG00000030322	50.18098	-18.366087	0
ENSMUSG00000020696	-18.90419	65.842354	2
ENSMUSG00000097162	71.98565	24.137503	1
ENSMUSG00000045201	14.065615	-67.43577	0
ENSMUSG00000059479	-11.309435	-27.250973	0
ENSMUSG00000077239	3.6035721	-79.03076	0
ENSMUSG00000031755	83.969406	18.8897	1
ENSMUSG00000038379	-10.6170845	-27.945906	0
ENSMUSG00000002109	87.87002	17.885838	1
ENSMUSG00000041840	79.97601	13.154741	1
ENSMUSG00000021555	-45.47454	51.41549	3
ENSMUSG00000022814	-59.187065	17.902184	4
ENSMUSG00000028782	-25.856024	-70.11656	0
ENSMUSG00000095028	14.507352	-82.55905	0
ENSMUSG00000057223	83.30973	-53.344536	0
ENSMUSG00000034413	24.61487	-18.292246	0
ENSMUSG00000087579	-47.56724	-35.8614	6
ENSMUSG00000025127	-52.778942	-32.68617	9
ENSMUSG00000030222	36.287247	-27.538548	0
ENSMUSG00000040133	22.819048	-65.66024	0
ENSMUSG00000027845	74.59437	57.444572	1
ENSMUSG00000028003	-62.31361	10.376352	4
ENSMUSG00000030054	-14.479716	-32.077305	0
ENSMUSG00000034227	-7.1148386	-66.60961	0
ENSMUSG00000003435	-72.98315	23.166893	4
ENSMUSG00000049280	81.85018	-43.5201	0
ENSMUSG00000022309	53.557655	19.99855	1
ENSMUSG00000093460	82.96846	-22.372013	0
ENSMUSG00000029684	-82.18533	-5.1388836	7
ENSMUSG00000027531	-75.473785	23.392984	4
ENSMUSG00000031565	21.152548	10.0484495	1
ENSMUSG00000070047	-72.54921	-15.18642	5
ENSMUSG00000030057	-57.964176	-53.540043	6
ENSMUSG00000024353	-13.723127	-25.193838	0
ENSMUSG00000060002	-49.68693	-31.371542	13
ENSMUSG00000034471	1.6179284	51.195126	1
ENSMUSG00000028246	-21.58476	-77.2269	0
ENSMUSG00000022749	-41.253895	74.81778	2
ENSMUSG00000029919	28.305168	-33.344574	0
ENSMUSG00000000739	51.490826	-24.696777	0
ENSMUSG00000037020	77.60398	1.0687134	1
ENSMUSG00000035933	-63.140583	58.965523	3
ENSMUSG00000059639	80.743774	-64.55732	0
ENSMUSG00000028359	35.536617	48.69116	1
ENSMUSG00000021464	-15.031078	-86.16327	0
ENSMUSG00000044338	-0.34285724	-19.28042	0
ENSMUSG00000002633	1.3908317	-88.91362	0
ENSMUSG00000067713	-33.792812	67.76357	2
ENSMUSG00000021591	-61.53428	47.820545	3
ENSMUSG00000069184	64.34811	52.41521	1
ENSMUSG00000027171	12.521445	-78.89292	0
ENSMUSG00000031539	75.50188	5.544787	1
ENSMUSG00000022221	47.913654	-10.643703	0
ENSMUSG00000025410	-66.56247	-4.523535	7
ENSMUSG00000027332	-75.18361	-29.441805	5
ENSMUSG00000025268	5.3570814	28.953074	1
ENSMUSG00000026519	-4.847699	62.65911	2
ENSMUSG00000043323	39.6729	69.537506	1
ENSMUSG00000060803	-49.153503	-54.753513	6
ENSMUSG00000026117	-36.36773	40.840992	2
ENSMUSG00000098912	-4.1508718	-85.35377	0
ENSMUSG00000062175	20.05599	-21.211065	0
ENSMUSG00000028035	-53.851788	74.8045	3
